Uf,CityIbgeCode,City,Neighborhood,NormalizedName,Latitude,Longitude,Source,IsActive
AC,1200013,Acrelândia,Centro,centro,-10.0766449,-67.0557741,brasil_aberto,True
AC,1200054,Assis Brasil,Centro,centro,-10.938799,-69.5662391,brasil_aberto,True
AC,1200054,Assis Brasil,Terra Indígena Mamoadate,terra indigena mamoadate,-10.5509271,-69.8996964,brasil_aberto,True
AC,1200104,Brasiléia,Centro,centro,-11.0157243,-68.7501181,brasil_aberto,True
AC,1200138,Bujari,Centro,centro,,,brasil_aberto,True
AC,1200179,Capixaba,Conquista,conquista,-10.5755081,-67.6773032,brasil_aberto,True
AC,1200203,Cruzeiro do Sul,Centro,centro,-29.5129727,-51.98558999999999,brasil_aberto,True
AC,1200252,Epitaciolândia,Centro,centro,-11.0253173,-68.7454805,brasil_aberto,True
AC,1200302,Feijó,Centro,centro,-8.1638974,-70.3539752,brasil_aberto,True
AC,1200302,Feijó,Terra Indígena Alto Tarauacá,terra indigena alto tarauaca,-9.599924,-71.9050481,brasil_aberto,True
AC,1200302,Feijó,Terra Indígena Kampa e Isolados do Rio Envira,terra indigena kampa e isolados do rio envira,-9.811430999999999,-71.7598819,brasil_aberto,True
AC,1200302,Feijó,Terra Indígena Kaxinawá do Rio Humaitá,terra indigena kaxinawa do rio humaita,-9.0690095,-71.4545008,brasil_aberto,True
AC,1200302,Feijó,Terra Indígena Kulina do Rio Envira,terra indigena kulina do rio envira,-9.4551756,-71.3811539,brasil_aberto,True
AC,1200302,Feijó,Terra Indígena Riozinho do Alto Envira,terra indigena riozinho do alto envira,-9.724484499999999,-71.1883867,brasil_aberto,True
AC,1200328,Jordão,Centro,centro,-9.1901084,-71.9505625,brasil_aberto,True
AC,1200328,Jordão,Terra Indígena Igarapé Taboca do Alto Tarauacá,terra indigena igarape taboca do alto tarauaca,-9.4395271,-71.8962258,brasil_aberto,True
AC,1200344,Manoel Urbano,Centro,centro,-8.8369498,-69.2581703,brasil_aberto,True
AC,1200351,Marechal Thaumaturgo,Centro,centro,-8.947882,-72.7893354,brasil_aberto,True
AC,1200336,Mâncio Lima,Centro,centro,-7.6113613,-72.90428469999999,brasil_aberto,True
AC,1200385,Plácido de Castro,Campinas,campinas,-10.0720752,-67.29372599999999,brasil_aberto,True
AC,1200385,Plácido de Castro,Centro,centro,-10.3320082,-67.1865652,brasil_aberto,True
AC,1200807,Porto Acre,Centro,centro,,,brasil_aberto,True
AC,1200393,Porto Walter,Centro,centro,-8.2672986,-72.7417348,brasil_aberto,True
AC,1200401,Rio Branco,7º BEC,7º bec,-9.9652399,-67.8269643,brasil_aberto,True
AC,1200401,Rio Branco,Abraão Alab,abraao alab,-9.972254,-67.8246318,brasil_aberto,True
AC,1200401,Rio Branco,Adalberto Aragão,adalberto aragao,-9.9932025,-67.827669,brasil_aberto,True
AC,1200401,Rio Branco,Aeroporto Velho,aeroporto velho,-9.9933095,-67.8196364,brasil_aberto,True
AC,1200401,Rio Branco,Alto Alegre,alto alegre,-9.9252495,-67.8277642,brasil_aberto,True
AC,1200401,Rio Branco,Amapá,amapa,-10.0098255,-67.8287159,brasil_aberto,True
AC,1200401,Rio Branco,Areal,areal,-10.0075945,-67.8017646,brasil_aberto,True
AC,1200401,Rio Branco,Aviário,aviario,-9.9657472,-67.803309,brasil_aberto,True
AC,1200401,Rio Branco,Ayrton Senna,ayrton senna,-9.9977082,-67.8263812,brasil_aberto,True
AC,1200401,Rio Branco,Bahia Nova,bahia nova,-9.9912194,-67.8260924,brasil_aberto,True
AC,1200401,Rio Branco,Bahia Velha,bahia velha,-9.989623,-67.8301891,brasil_aberto,True
AC,1200401,Rio Branco,Baixa da Colina,baixa da colina,-9.9585699,-67.8044101,brasil_aberto,True
AC,1200401,Rio Branco,Baixada da Cadeia Velha,baixada da cadeia velha,-9.9716301,-67.7927789,brasil_aberto,True
AC,1200401,Rio Branco,Baixada da Habitasa,baixada da habitasa,-9.9702616,-67.7974291,brasil_aberto,True
AC,1200401,Rio Branco,Base,base,-9.9799661,-67.810415,brasil_aberto,True
AC,1200401,Rio Branco,Belo Jardim I,belo jardim i,-10.0056157,-67.7853758,brasil_aberto,True
AC,1200401,Rio Branco,Belo Jardim II,belo jardim ii,-10.0118944,-67.7702777,brasil_aberto,True
AC,1200401,Rio Branco,Boa Esperança,boa esperanca,-9.9548833,-67.8246135,brasil_aberto,True
AC,1200401,Rio Branco,Boa União,boa uniao,-9.9934799,-67.8266421,brasil_aberto,True
AC,1200401,Rio Branco,Boa Vista,boa vista,-10.0044097,-67.83579879999999,brasil_aberto,True
AC,1200401,Rio Branco,Bosque,bosque,-9.9696008,-67.8140303,brasil_aberto,True
AC,1200401,Rio Branco,Cadeia Velha,cadeia velha,-9.9707979,-67.7910766,brasil_aberto,True
AC,1200401,Rio Branco,Calafate,calafate,-9.9776339,-67.8857222,brasil_aberto,True
AC,1200401,Rio Branco,Capoeira,capoeira,-9.9691583,-67.808468,brasil_aberto,True
AC,1200401,Rio Branco,Casa Nova,casa nova,-9.9740249,-67.8098191,brasil_aberto,True
AC,1200401,Rio Branco,Centro,centro,-9.9758401,-67.8094975,brasil_aberto,True
AC,1200401,Rio Branco,Cerâmica,ceramica,-9.9710855,-67.8021177,brasil_aberto,True
AC,1200401,Rio Branco,Chico Mendes,chico mendes,-9.9412862,-67.8110317,brasil_aberto,True
AC,1200401,Rio Branco,Chácara Ipê,chacara ipe,-9.9659339,-67.8734472,brasil_aberto,True
AC,1200401,Rio Branco,Cidade Nova,cidade nova,-9.976628,-67.8159415,brasil_aberto,True
AC,1200401,Rio Branco,Cidade do Povo,cidade do povo,-10.0243585,-67.75202519999999,brasil_aberto,True
AC,1200401,Rio Branco,Comara,comara,-9.9963405,-67.8071512,brasil_aberto,True
AC,1200401,Rio Branco,Conjunto Adalberto Sena,conjunto adalberto sena,-9.931855,-67.82183,brasil_aberto,True
AC,1200401,Rio Branco,Conjunto Bela Vista,conjunto bela vista,-9.9766958,-67.8323327,brasil_aberto,True
AC,1200401,Rio Branco,Conjunto Castelo Branco,conjunto castelo branco,-9.9777117,-67.8288432,brasil_aberto,True
AC,1200401,Rio Branco,Conjunto Esperança,conjunto esperanca,-9.968971,-67.8427045,brasil_aberto,True
AC,1200401,Rio Branco,Conjunto Guiomard Santos,conjunto guiomard santos,-9.9581236,-67.8104929,brasil_aberto,True
AC,1200401,Rio Branco,Conjunto Habitar Brasil,conjunto habitar brasil,-9.9754582,-67.8477923,brasil_aberto,True
AC,1200401,Rio Branco,Conjunto Jardim São Francisco,conjunto jardim sao francisco,-9.9634517,-67.7975884,brasil_aberto,True
AC,1200401,Rio Branco,Conjunto Jardim Universitário,conjunto jardim universitario,-9.9633149,-67.8774212,brasil_aberto,True
AC,1200401,Rio Branco,Conjunto Laélia Alcântara,conjunto laelia alcantara,-9.9864815,-67.8841049,brasil_aberto,True
AC,1200401,Rio Branco,Conjunto Manoel Julião,conjunto manoel juliao,-9.9539769,-67.8330684,brasil_aberto,True
AC,1200401,Rio Branco,Conjunto Mariana,conjunto mariana,-9.956278,-67.8500296,brasil_aberto,True
AC,1200401,Rio Branco,Conjunto Mascarenhas de Moraes,conjunto mascarenhas de moraes,-9.9492576,-67.8558534,brasil_aberto,True
AC,1200401,Rio Branco,Conjunto Oscar Passos,conjunto oscar passos,-9.954878,-67.7984785,brasil_aberto,True
AC,1200401,Rio Branco,Conjunto Ouricurí,conjunto ouricuri,-9.9353599,-67.8084016,brasil_aberto,True
AC,1200401,Rio Branco,Conjunto Paulo César de Oliveira,conjunto paulo cesar de oliveira,-9.9595811,-67.8466625,brasil_aberto,True
AC,1200401,Rio Branco,Conjunto Rui Lino,conjunto rui lino,-9.949278,-67.856649,brasil_aberto,True
