Uf,CityIbgeCode,City,Neighborhood,NormalizedName,Latitude,Longitude,Source,IsActive
AL,2700201,Anadia,Centro,centro,-9.683845,-36.3041835,brasil_aberto,True
AL,2700300,Arapiraca,Alazão,alazao,-9.7883658,-36.6344773,brasil_aberto,True
AL,2700300,Arapiraca,Alto do Cruzeiro,alto do cruzeiro,-9.74981785,-36.65417099,brasil_aberto,True
AL,2700300,Arapiraca,Baixa Grande,baixa grande,-9.73352623,-36.67300034,brasil_aberto,True
AL,2700300,Arapiraca,Baixa da Onça,baixa da onca,-9.81736183,-36.66744614,brasil_aberto,True
AL,2700300,Arapiraca,Baixa do Capim,baixa do capim,-9.7555596,-36.6639697,brasil_aberto,True
AL,2700300,Arapiraca,Baixão,baixao,-9.7504046,-36.6707655,brasil_aberto,True
AL,2700300,Arapiraca,Bananeiras,bananeiras,-9.816666999999999,-36.616667,brasil_aberto,True
AL,2700300,Arapiraca,Batingas,batingas,-9.792045,-36.628964,brasil_aberto,True
AL,2700300,Arapiraca,Boa Vista,boa vista,-9.7791033,-36.6353364,brasil_aberto,True
AL,2700300,Arapiraca,Bom Jardim,bom jardim,-9.7555596,-36.6639697,brasil_aberto,True
AL,2700300,Arapiraca,Bom Sucesso,bom sucesso,-9.7237386,-36.6790041,brasil_aberto,True
AL,2700300,Arapiraca,Brasiliana,brasiliana,-9.7368151,-36.6642199,brasil_aberto,True
AL,2700300,Arapiraca,Brasília,brasilia,-9.75231838,-36.64439774,brasil_aberto,True
AL,2700300,Arapiraca,Bálsamo,balsamo,-9.7555596,-36.6639697,brasil_aberto,True
AL,2700300,Arapiraca,Cacimbas,cacimbas,-9.75901031,-36.66777802,brasil_aberto,True
AL,2700300,Arapiraca,Caititus,caititus,-9.7399186,-36.6588197,brasil_aberto,True
AL,2700300,Arapiraca,Cajarana,cajarana,-9.7444975,-36.6905154,brasil_aberto,True
AL,2700300,Arapiraca,Canafístula,canafistula,-9.759393,-36.6369304,brasil_aberto,True
AL,2700300,Arapiraca,Canaã,canaa,-9.71242237,-36.70954132,brasil_aberto,True
AL,2700300,Arapiraca,Cangandu,cangandu,-9.7555559,-36.6639747,brasil_aberto,True
AL,2700300,Arapiraca,Capiatã,capiata,-9.7436926,-36.6636363,brasil_aberto,True
AL,2700300,Arapiraca,Carrasco,carrasco,-9.7555596,-36.6639697,brasil_aberto,True
AL,2700300,Arapiraca,Cavaco,cavaco,-9.7393244,-36.6780865,brasil_aberto,True
AL,2700300,Arapiraca,Centro,centro,-9.75086021,-36.65984344,brasil_aberto,True
AL,2700300,Arapiraca,Deputado Nezinho,deputado nezinho,-9.7372582,-36.6317786,brasil_aberto,True
