Uf,CityIbgeCode,City,Neighborhood,NormalizedName,Latitude,Longitude,Source,IsActive
AM,1300029,Alvarães,Centro,centro,-3.213752,-64.80952239999999,brasil_aberto,True
AM,1300060,Amaturá,Centro,centro,-7.522149,-63.03204919999999,brasil_aberto,True
AM,1300086,Anamã,Centro,centro,-3.5782959,-61.4056084,brasil_aberto,True
AM,1300102,Anori,Centro,centro,-3.7439774,-61.6587138,brasil_aberto,True
AM,1300144,Apuí,Centro,centro,-7.198217199999999,-59.88926459999999,brasil_aberto,True
AM,1300144,Apuí,Sucunduri,sucunduri,,,brasil_aberto,True
AM,1300201,Atalaia do Norte,Centro,centro,-4.3651303,-70.1910692,brasil_aberto,True
AM,1300201,Atalaia do Norte,Estirão do Equador,estirao do equador,-4.5360144,-71.6236404,brasil_aberto,True
AM,1300201,Atalaia do Norte,Terra Indígena Vale do Javari,terra indigena vale do javari,-4.367027,-70.1908113,brasil_aberto,True
AM,1300300,Autazes,Centro,centro,-3.5863261,-59.13056619999999,brasil_aberto,True
AM,1300300,Autazes,Murutinga,murutinga,-3.5789467,-59.13448169999999,brasil_aberto,True
AM,1300300,Autazes,Novo Céu,novo ceu,-3.5789467,-59.13448169999999,brasil_aberto,True
AM,1300300,Autazes,Santa Luzia,santa luzia,-4.1285379,-59.90546029999999,brasil_aberto,True
AM,1300409,Barcelos,Carvoeiro,carvoeiro,,,brasil_aberto,True
AM,1300409,Barcelos,Centro,centro,-0.9698881,-62.9252439,brasil_aberto,True
AM,1300409,Barcelos,Moura,moura,,,brasil_aberto,True
AM,1300409,Barcelos,Terra Indígena Yanomami,terra indigena yanomami,,,brasil_aberto,True
AM,1300508,Barreirinha,Ariaú,ariau,-3.1641545,-57.2376344,brasil_aberto,True
AM,1300508,Barreirinha,Cametá,cameta,-2.9994313,-57.34964900000001,brasil_aberto,True
AM,1300508,Barreirinha,Centro,centro,-2.7940999,-57.0692428,brasil_aberto,True
AM,1300508,Barreirinha,Freguesia do Andirá,freguesia do andira,-2.859959,-56.99949729999999,brasil_aberto,True
AM,1300508,Barreirinha,Pedras,pedras,-2.7747433,-57.2366964,brasil_aberto,True
AM,1300607,Benjamin Constant,Colônia,colonia,-4.3818907,-70.02757000000001,brasil_aberto,True
AM,1300607,Benjamin Constant,Feijoal,feijoal,-4.2966545,-69.5372708,brasil_aberto,True
AM,1300631,Beruri,São Francisco,sao francisco,-3.8972061,-61.3732982,brasil_aberto,True
AM,1300680,Boa Vista do Ramos,Centro,centro,,,brasil_aberto,True
AM,1300680,Boa Vista do Ramos,Lago Preto,lago preto,,,brasil_aberto,True
AM,1300680,Boa Vista do Ramos,Massauari,massauari,,,brasil_aberto,True
AM,1300706,Boca do Acre,Floriano Peixoto,floriano peixoto,-9.2552222,-67.6662231,brasil_aberto,True
AM,1300706,Boca do Acre,Platô do Piquiá,plato do piquia,-8.7725226,-67.33219919999999,brasil_aberto,True
AM,1300805,Borba,Axinim,axinim,-4.0456667,-59.3708837,brasil_aberto,True
AM,1300805,Borba,Canumã,canuma,-4.044866,-59.0791483,brasil_aberto,True
AM,1300805,Borba,Centro,centro,-3.4168427,-65.8560646,brasil_aberto,True
AM,1300839,Caapiranga,Araras,araras,-22.3636618,-47.3783709,brasil_aberto,True
AM,1300839,Caapiranga,Centro,centro,-3.0882548,-59.8938632,brasil_aberto,True
AM,1300904,Canutama,Centro,centro,-6.5346847,-64.3854357,brasil_aberto,True
AM,1300904,Canutama,Terra Indígena Juma,terra indigena juma,-6.530502599999999,-64.3866781,brasil_aberto,True
AM,1301001,Carauari,Centro,centro,-4.8779914,-66.8963249,brasil_aberto,True
AM,1301100,Careiro,Careiro Parauá,careiro paraua,-3.8231563,-60.36443370000001,brasil_aberto,True
AM,1301100,Careiro,Janauacá,janauaca,,,brasil_aberto,True
AM,1301100,Careiro,Purupuru,purupuru,-3.3846461,-59.72037090000001,brasil_aberto,True
AM,1301100,Careiro,Terra Nova,terra nova,-3.8231563,-60.36443370000001,brasil_aberto,True
AM,1301100,Careiro,Vista Alegre,vista alegre,-3.8231563,-60.36443370000001,brasil_aberto,True
AM,1301159,Careiro da Várzea,Centro,centro,-3.1982788,-59.8256594,brasil_aberto,True
AM,1301209,Coari,Centro,centro,,,brasil_aberto,True
AM,1301308,Codajás,Badajós,badajos,-3.4143957,-62.6596564,brasil_aberto,True
AM,1301308,Codajás,Centro,centro,-3.8403521,-62.060718,brasil_aberto,True
AM,1301308,Codajás,Murituba,murituba,-3.8640245,-62.48413739999999,brasil_aberto,True
AM,1301407,Eirunepé,Centro,centro,-6.6670652,-69.86503650000002,brasil_aberto,True
AM,1301506,Envira,Centro,centro,-7.4330822,-70.0269306,brasil_aberto,True
AM,1301605,Fonte Boa,Cidade Nova,cidade nova,-2.5158541,-66.09575579999999,brasil_aberto,True
