Uf,CityIbgeCode,City,Neighborhood,NormalizedName,Latitude,Longitude,Source,IsActive
AP,1600105,Amapá,Centro,centro,0.0157011,-51.0637733,brasil_aberto,True
AP,1600105,Amapá,Sucuriju,sucuriju,1.6781719,-49.9343237,brasil_aberto,True
AP,1600204,Calçoene,Centro,centro,2.4929117,-50.9483435,brasil_aberto,True
AP,1600204,Calçoene,Cunani,cunani,2.8587745,-51.1292111,brasil_aberto,True
AP,1600204,Calçoene,Lourenço,lourenco,2.307765,-51.63243,brasil_aberto,True
AP,1600204,Calçoene,Vila Carnot,vila carnot,,,brasil_aberto,True
AP,1600212,Cutias,Centro,centro,0.9710291,-50.8006691,brasil_aberto,True
AP,1600238,Ferreira Gomes,Centro,centro,0.8561197,-51.1835277,brasil_aberto,True
AP,1600238,Ferreira Gomes,Paredão,paredao,0.8582569999999999,-51.1800169,brasil_aberto,True
AP,1600253,Itaubal,Centro,centro,-19.919168,-43.9386558,brasil_aberto,True
AP,1600279,Laranjal do Jari,Agreste,agreste,-0.8447296,-52.5240434,brasil_aberto,True
AP,1600279,Laranjal do Jari,Boca do Jari,boca do jari,-1.134625,-51.9027595,brasil_aberto,True
AP,1600303,Macapá,Abacate da Pedreira,abacate da pedreira,0.2707019,-50.91563379999999,brasil_aberto,True
AP,1600303,Macapá,Alvorada,alvorada,0.0371915,-51.0939722,brasil_aberto,True
AP,1600303,Macapá,Ambé,ambe,0.3287368,-50.969456,brasil_aberto,True
AP,1600303,Macapá,Araxá,araxa,0.0098022,-51.058611,brasil_aberto,True
AP,1600303,Macapá,Ariri,ariri,0.04052170000000001,-51.0560957,brasil_aberto,True
AP,1600303,Macapá,Bailique,bailique,0.8720451,-50.04680399999999,brasil_aberto,True
AP,1600303,Macapá,Beirol,beirol,0.0169793,-51.0635191,brasil_aberto,True
AP,1600303,Macapá,Boné Azul,bone azul,0.0943388,-51.0651551,brasil_aberto,True
AP,1600303,Macapá,Brasil Novo,brasil novo,0.0929052,-51.0857086,brasil_aberto,True
AP,1600303,Macapá,Buritizal,buritizal,0.0174826,-51.0717238,brasil_aberto,True
AP,1600303,Macapá,Cabralzinho,cabralzinho,0.0283171,-51.1089404,brasil_aberto,True
AP,1600303,Macapá,Cantanzal,cantanzal,0.04052170000000001,-51.0560957,brasil_aberto,True
AP,1600303,Macapá,Carmo,carmo,0.5100207999999999,-50.7469696,brasil_aberto,True
AP,1600303,Macapá,Central,central,0.0363104,-51.05165059999999,brasil_aberto,True
AP,1600303,Macapá,Cidade Nova,cidade nova,0.0938736,-51.059188,brasil_aberto,True
AP,1600303,Macapá,Congós,congos,0.0085552,-51.0955337,brasil_aberto,True
AP,1600303,Macapá,Corre Água,corre agua,0.04052170000000001,-51.0560957,brasil_aberto,True
AP,1600303,Macapá,Curiaú,curiau,0.1236766,-51.0614041,brasil_aberto,True
AP,1600303,Macapá,Fazendinha,fazendinha,-0.0495531,-51.1147592,brasil_aberto,True
AP,1600303,Macapá,Gaivota,gaivota,0.0241152,-51.1254197,brasil_aberto,True
AP,1600303,Macapá,Goiabal,goiabal,0.0320806,-51.1296116,brasil_aberto,True
AP,1600303,Macapá,Gurupora,gurupora,0.04052170000000001,-51.0560957,brasil_aberto,True
AP,1600303,Macapá,Inajá,inaja,0.04052170000000001,-51.0560957,brasil_aberto,True
