Uf,CityIbgeCode,City,Neighborhood,NormalizedName,Latitude,Longitude,Source,IsActive
BA,2900207,Abaré,Centro,centro,-8.72228718,-39.11528397,brasil_aberto,True
BA,2900207,Abaré,Ibó,ibo,-8.631295,-39.2470677,brasil_aberto,True
BA,2900207,Abaré,Icozeira,icozeira,,,brasil_aberto,True
BA,2900108,Abaíra,Catolés,catoles,-13.29334164,-41.84770584,brasil_aberto,True
BA,2900108,Abaíra,Centro,centro,-13.2500504,-41.6648707,brasil_aberto,True
BA,2900306,Acajutiba,Centro,centro,-11.6609597,-38.0186793,brasil_aberto,True
BA,2900355,Adustina,Centro,centro,-10.53524303,-38.11959457,brasil_aberto,True
BA,2900603,Aiquara,Centro,centro,,,brasil_aberto,True
BA,2900702,Alagoinhas,Alagoinhas Velha,alagoinhas velha,,,brasil_aberto,True
BA,2900702,Alagoinhas,Barreiro,barreiro,,,brasil_aberto,True
BA,2900702,Alagoinhas,Boa União,boa uniao,-12.1330593,-38.4013718,brasil_aberto,True
BA,2900702,Alagoinhas,Catu,catu,,,brasil_aberto,True
BA,2900702,Alagoinhas,Centro,centro,,,brasil_aberto,True
BA,2900702,Alagoinhas,Coqueiral,coqueiral,,,brasil_aberto,True
BA,2900702,Alagoinhas,Distrito Industrial I,distrito industrial i,,,brasil_aberto,True
BA,2900702,Alagoinhas,Dois de Julho,dois de julho,,,brasil_aberto,True
BA,2900702,Alagoinhas,Jardim Pedro Braga,jardim pedro braga,,,brasil_aberto,True
BA,2900702,Alagoinhas,Jardim Petrolar,jardim petrolar,-12.1500462,-38.4162914,brasil_aberto,True
BA,2900702,Alagoinhas,Juracy Magalhães,juracy magalhaes,,,brasil_aberto,True
BA,2900702,Alagoinhas,Kennedy,kennedy,,,brasil_aberto,True
BA,2900702,Alagoinhas,Mangalô,mangalo,,,brasil_aberto,True
BA,2900702,Alagoinhas,Narandiba,narandiba,,,brasil_aberto,True
BA,2900702,Alagoinhas,Novo Horizonte,novo horizonte,,,brasil_aberto,True
BA,2900702,Alagoinhas,Parque Vitória,parque vitoria,,,brasil_aberto,True
BA,2900702,Alagoinhas,Pinto Aguiar,pinto aguiar,,,brasil_aberto,True
BA,2900702,Alagoinhas,Pirinel,pirinel,,,brasil_aberto,True
BA,2900702,Alagoinhas,Riacho da Guia,riacho da guia,-11.9559654,-38.3769837,brasil_aberto,True
BA,2900702,Alagoinhas,Santa Isabel,santa isabel,,,brasil_aberto,True
BA,2900702,Alagoinhas,Santa Terezinha,santa terezinha,,,brasil_aberto,True
BA,2900702,Alagoinhas,Severino Vieira,severino vieira,,,brasil_aberto,True
BA,2900702,Alagoinhas,Silva Jardim,silva jardim,,,brasil_aberto,True
BA,2900702,Alagoinhas,Teresópolis,teresopolis,,,brasil_aberto,True
BA,2900702,Alagoinhas,Terezópolis,terezopolis,,,brasil_aberto,True
BA,2900702,Alagoinhas,Área Rural de Alagoinhas,area rural de alagoinhas,,,brasil_aberto,True
BA,2900801,Alcobaça,Centro,centro,-17.54099464,-39.19329834,brasil_aberto,True
BA,2900801,Alcobaça,São José de Alcobaça,sao jose de alcobaca,,,brasil_aberto,True
BA,2900900,Almadina,Centro,centro,-14.70292282,-39.63699722,brasil_aberto,True
BA,2901007,Amargosa,Centro,centro,-13.0296908,-39.6044255,brasil_aberto,True
BA,2901007,Amargosa,Corta Mão,corta mao,-13.07200718,-39.50284958,brasil_aberto,True
BA,2901007,Amargosa,Diógenes Sampaio,diogenes sampaio,-12.9568621,-39.5901681,brasil_aberto,True
BA,2901007,Amargosa,Itachama,itachama,-13.0273377,-39.7219063,brasil_aberto,True
BA,2901106,Amélia Rodrigues,Centro,centro,-22.80243683,-43.37079239,brasil_aberto,True
BA,2901106,Amélia Rodrigues,Inhata,inhata,-12.40223217,-38.6997757,brasil_aberto,True
BA,2901106,Amélia Rodrigues,Mata da Aliança,mata da alianca,-12.45809746,-38.68009186,brasil_aberto,True
BA,2901155,América Dourada,Belo Campo,belo campo,,,brasil_aberto,True
BA,2901155,América Dourada,Centro,centro,,,brasil_aberto,True
BA,2901155,América Dourada,Ipanema,ipanema,-11.366986,-41.5956178,brasil_aberto,True
BA,2901155,América Dourada,Prevenido,prevenido,,,brasil_aberto,True
BA,2901155,América Dourada,Soares,soares,,,brasil_aberto,True
BA,2901205,Anagé,Centro,centro,,,brasil_aberto,True
BA,2901205,Anagé,Coquinhos,coquinhos,-14.55834675,-40.68153381,brasil_aberto,True
BA,2901304,Andaraí,Centro,centro,-9.40068245,-38.22309113,brasil_aberto,True
BA,2901304,Andaraí,Igatu,igatu,-12.8962374,-41.3188379,brasil_aberto,True
BA,2901304,Andaraí,Ubiraitá,ubiraita,-12.59213066,-41.0118866,brasil_aberto,True
BA,2901353,Andorinha,Centro,centro,38.70822525,-9.13774776,brasil_aberto,True
BA,2901353,Andorinha,Sítio da Baraúna,sitio da barauna,,,brasil_aberto,True
BA,2901353,Andorinha,Tanquinho do Poço,tanquinho do poco,-10.4057272,-39.9381958,brasil_aberto,True
BA,2901403,Angical,Centro,centro,,,brasil_aberto,True
BA,2901403,Angical,Missão de Aricobé,missao de aricobe,-12.05860615,-44.46332932,brasil_aberto,True
BA,2901403,Angical,Missão do Aricobe,missao do aricobe,,,brasil_aberto,True
BA,2901502,Anguera,Centro,centro,,,brasil_aberto,True
BA,2901601,Antas,Boa Vista,boa vista,,,brasil_aberto,True
BA,2901601,Antas,Centro,centro,-12.6712324,-38.5493523,brasil_aberto,True
BA,2901601,Antas,Duas Serras,duas serras,,,brasil_aberto,True
BA,2901601,Antas,Entroncamento,entroncamento,,,brasil_aberto,True
BA,2901601,Antas,Frei Apolônio,frei apolonio,,,brasil_aberto,True
BA,2901601,Antas,Rangel,rangel,,,brasil_aberto,True
BA,2901700,Antônio Cardoso,Centro,centro,-12.436436,-39.1196004,brasil_aberto,True
BA,2901809,Antônio Gonçalves,Caldeirão do Mulato,caldeirao do mulato,,,brasil_aberto,True
BA,2901809,Antônio Gonçalves,Centro,centro,-10.57144642,-40.2764473,brasil_aberto,True
BA,2901908,Aporá,Centro,centro,-11.660468,-38.0803409,brasil_aberto,True
BA,2901908,Aporá,Itamira,itamira,-11.7150983,-38.2277557,brasil_aberto,True
BA,2901957,Apuarema,Centro,centro,-13.8554951,-39.7443567,brasil_aberto,True
BA,2901957,Apuarema,Filanésia,filanesia,-13.83518314,-39.73736572,brasil_aberto,True
BA,2902005,Aracatu,Centro,centro,-14.42936802,-41.45999527,brasil_aberto,True
BA,2902005,Aracatu,Piabanha,piabanha,-14.4280991,-41.4639925,brasil_aberto,True
BA,2902005,Aracatu,Várzea da Pedra,varzea da pedra,,,brasil_aberto,True
BA,2902104,Araci,Centro,centro,-11.3356154,-38.9618334,brasil_aberto,True
BA,2902104,Araci,Pedra Alta,pedra alta,-11.13978004,-39.16917038,brasil_aberto,True
BA,2902203,Aramari,Centro,centro,-12.09043026,-38.49727631,brasil_aberto,True
BA,2902252,Arataca,Centro,centro,-22.89881897,-43.17983246,brasil_aberto,True
BA,2902252,Arataca,Itatingui,itatingui,-15.19591808,-39.44132233,brasil_aberto,True
BA,2902302,Aratuípe,Centro,centro,-13.0786111,-39.0011556,brasil_aberto,True
BA,2902302,Aratuípe,Maragogipinho,maragogipinho,-13.0542962,-38.9651286,brasil_aberto,True
BA,2902054,Araçás,Centro,centro,-12.2118578,-38.20300293,brasil_aberto,True
BA,2902401,Aurelino Leal,Centro,centro,-14.3176902,-39.3218027,brasil_aberto,True
BA,2902401,Aurelino Leal,Laje do Banco,laje do banco,-14.36466599,-39.41184998,brasil_aberto,True
BA,2902401,Aurelino Leal,Poço Central,poco central,-14.35639095,-39.61613083,brasil_aberto,True
BA,2902500,Baianópolis,Centro,centro,,,brasil_aberto,True
BA,2902500,Baianópolis,Várzeas,varzeas,-11.25700283,-40.94285583,brasil_aberto,True
BA,2902609,Baixa Grande,Centro,centro,-11.9604602,-40.1673651,brasil_aberto,True
BA,2902658,Banzaê,Centro,centro,-10.58110905,-38.61278915,brasil_aberto,True
BA,2902658,Banzaê,Mirandela,mirandela,-10.65844345,-38.63220978,brasil_aberto,True
BA,2902708,Barra,Ibiraba,ibiraba,-10.7894173,-42.8251719,brasil_aberto,True
BA,2902708,Barra,Igarité,igarite,-11.504118,-43.5606946,brasil_aberto,True
BA,2902708,Barra,Papagaio,papagaio,-11.09065723,-43.14463425,brasil_aberto,True
BA,2902807,Barra da Estiva,Centro,centro,-13.6271035,-41.32904690000001,brasil_aberto,True
BA,2902807,Barra da Estiva,Triunfo do Sincorá,triunfo do sincora,-13.62051964,-41.09524155,brasil_aberto,True
BA,2902906,Barra do Choça,Barra Nova,barra nova,,,brasil_aberto,True
BA,2902906,Barra do Choça,Centro,centro,,,brasil_aberto,True
BA,2903003,Barra do Mendes,Antarí,antari,-12.16090488,-42.02403641,brasil_aberto,True
BA,2903003,Barra do Mendes,Barrolandia,barrolandia,-11.80937958,-42.06050873,brasil_aberto,True
BA,2903003,Barra do Mendes,Minas do Espírito Santo,minas do espirito santo,-12.0536843,-42.1377669,brasil_aberto,True
BA,2903102,Barra do Rocha,Centro,centro,-12.98177814,-38.49123764,brasil_aberto,True
BA,2903201,Barreiras,Alphaville,alphaville,-12.1425177,-44.9807516,brasil_aberto,True
BA,2903201,Barreiras,Antonio Geraldo,antonio geraldo,-12.14611244,-44.99604797,brasil_aberto,True
BA,2903201,Barreiras,Aratu,aratu,-12.15753078,-44.99443817,brasil_aberto,True
