Uf,CityIbgeCode,City,Neighborhood,NormalizedName,Latitude,Longitude,Source,IsActive
DF,5300108,Brasília,Alto da Boa Vista (Sobradinho),alto da boa vista (sobradinho),-15.6210352,-47.7704171,brasil_aberto,True
DF,5300108,Brasília,Arapoanga (Planaltina),arapoanga (planaltina),-15.6104876,-47.6522551,brasil_aberto,True
DF,5300108,Brasília,Areal (Águas Claras),areal (aguas claras),-15.852733,-48.0332282,brasil_aberto,True
DF,5300108,Brasília,Asa Norte,asa norte,-15.7507513,-47.8855873,brasil_aberto,True
DF,5300108,Brasília,Asa Sul,asa sul,-15.823167,-47.8836838,brasil_aberto,True
DF,5300108,Brasília,Bela Vista (São Sebastião),bela vista (sao sebastiao),-15.91268,-47.75595,brasil_aberto,True
DF,5300108,Brasília,Bonsucesso (São Sebastião),bonsucesso (sao sebastiao),-15.9052266,-47.7800968,brasil_aberto,True
DF,5300108,Brasília,Bora Manso,bora manso,-15.7975154,-47.89188739999999,brasil_aberto,True
DF,5300108,Brasília,Brazlândia,brazlandia,-15.6919249,-48.146669,brasil_aberto,True
DF,5300108,Brasília,Campus Universitário Darcy Ribeiro,campus universitario darcy ribeiro,-15.7658436,-47.87217510000001,brasil_aberto,True
DF,5300108,Brasília,Candangolândia,candangolandia,-15.7081709,-47.9148844,brasil_aberto,True
DF,5300108,Brasília,Ceilândia Centro (Ceilândia),ceilandia centro (ceilandia),-15.817813,-48.1032208,brasil_aberto,True
DF,5300108,Brasília,Ceilândia Norte (Ceilândia),ceilandia norte (ceilandia),-15.8126585,-48.1150921,brasil_aberto,True
DF,5300108,Brasília,Ceilândia Sul (Ceilândia),ceilandia sul (ceilandia),-15.8257115,-48.092489,brasil_aberto,True
DF,5300108,Brasília,Centro (São Sebastião),centro (sao sebastiao),-15.8992188,-47.7705145,brasil_aberto,True
DF,5300108,Brasília,Cidade Nova (Gama),cidade nova (gama),,,brasil_aberto,True
DF,5300108,Brasília,Complexo Urbanístico Aldeias do Cerrado (São Sebastião),complexo urbanistico aldeias do cerrado (sao sebastiao),-15.9632829,-47.78438999999999,brasil_aberto,True
DF,5300108,Brasília,Condomínio Chácaras Ana Maria (Santa Maria),condominio chacaras ana maria (santa maria),-16.0407808,-47.9904881,brasil_aberto,True
DF,5300108,Brasília,Condomínio Comercial e Residencial Sobradinho (Sobradinho),condominio comercial e residencial sobradinho (sobradinho),-15.6323478,-47.8289463,brasil_aberto,True
DF,5300108,Brasília,Condomínio Coohaplan - Itiquira (Planaltina),condominio coohaplan - itiquira (planaltina),-15.6000127,-47.6811167,brasil_aberto,True
DF,5300108,Brasília,Condomínio Guirra (Planaltina),condominio guirra (planaltina),-15.6365444,-47.6587441,brasil_aberto,True
DF,5300108,Brasília,Condomínio Império dos Nobres (Sobradinho),condominio imperio dos nobres (sobradinho),-15.6852548,-47.8340863,brasil_aberto,True
DF,5300108,Brasília,Condomínio Mansões Sobradinho (Sobradinho),condominio mansoes sobradinho (sobradinho),-15.6368174,-47.8482971,brasil_aberto,True
DF,5300108,Brasília,Condomínio Mestre D'Armas (Planaltina),condominio mestre d'armas (planaltina),-15.6408644,-47.8482087,brasil_aberto,True
DF,5300108,Brasília,Condomínio Mirante da Serra (Sobradinho),condominio mirante da serra (sobradinho),-15.6248697,-47.84330629999999,brasil_aberto,True
DF,5300108,Brasília,Condomínio Nosso Lar (Planaltina),condominio nosso lar (planaltina),-15.6362804,-47.6737085,brasil_aberto,True
DF,5300108,Brasília,Condomínio Nova Esperança (Planaltina),condominio nova esperanca (planaltina),-15.6052236,-47.6822434,brasil_aberto,True
DF,5300108,Brasília,Condomínio Parque Mônaco (Planaltina),condominio parque monaco (planaltina),-15.6035147,-47.673223,brasil_aberto,True
DF,5300108,Brasília,Condomínio Parque Mônaco II (Planaltina),condominio parque monaco ii (planaltina),-15.6035147,-47.673223,brasil_aberto,True
DF,5300108,Brasília,Condomínio Prado (Planaltina),condominio prado (planaltina),-15.6331916,-47.6464258,brasil_aberto,True
DF,5300108,Brasília,Condomínio Privê Lucena Roriz (Ceilândia),condominio prive lucena roriz (ceilandia),-15.7827683,-48.1383431,brasil_aberto,True
DF,5300108,Brasília,Condomínio Residencial Morada Nobre (Planaltina),condominio residencial morada nobre (planaltina),-15.6196728,-47.8506867,brasil_aberto,True
DF,5300108,Brasília,Condomínio Residencial Santa Maria (Santa Maria),condominio residencial santa maria (santa maria),-15.6408644,-47.8482087,brasil_aberto,True
DF,5300108,Brasília,Condomínio Residencial Santa Mônica (Santa Maria),condominio residencial santa monica (santa maria),,,brasil_aberto,True
DF,5300108,Brasília,Condomínio Santa Mônica (Planaltina),condominio santa monica (planaltina),-15.6331916,-47.6464258,brasil_aberto,True
DF,5300108,Brasília,Condomínio Vale dos Pinheiros (Sobradinho),condominio vale dos pinheiros (sobradinho),-15.6609331,-47.8387846,brasil_aberto,True
DF,5300108,Brasília,Crixá (São Sebastião),crixa (sao sebastiao),-15.8986267,-47.7732955,brasil_aberto,True
DF,5300108,Brasília,Cruzeiro Novo,cruzeiro novo,-15.7938221,-47.9306488,brasil_aberto,True
DF,5300108,Brasília,Cruzeiro Velho,cruzeiro velho,-15.7852521,-47.9340972,brasil_aberto,True
DF,5300108,Brasília,Del Lago I (Itapoã),del lago i (itapoa),-15.7461232,-47.7611709,brasil_aberto,True
DF,5300108,Brasília,Del Lago II (Itapoã),del lago ii (itapoa),-15.7464532,-47.7713014,brasil_aberto,True
DF,5300108,Brasília,Engenho das Lages (Gama),engenho das lages (gama),-16.0443991,-48.2506677,brasil_aberto,True
DF,5300108,Brasília,Estância Mestre D'Armas I (Planaltina),estancia mestre d'armas i (planaltina),-15.6167992,-47.6892371,brasil_aberto,True
DF,5300108,Brasília,Estância Mestre D'Armas II (Planaltina),estancia mestre d'armas ii (planaltina),,,brasil_aberto,True
DF,5300108,Brasília,Estância Mestre D'Armas III (Planaltina),estancia mestre d'armas iii (planaltina),,,brasil_aberto,True
DF,5300108,Brasília,Estância Mestre D'Armas IV (Planaltina),estancia mestre d'armas iv (planaltina),,,brasil_aberto,True
DF,5300108,Brasília,Estância Mestre D'Armas V (Planaltina),estancia mestre d'armas v (planaltina),-15.6167992,-47.6892371,brasil_aberto,True
DF,5300108,Brasília,Estância Mestre D'Armas VI (Planaltina),estancia mestre d'armas vi (planaltina),-15.6127306,-47.683349,brasil_aberto,True
DF,5300108,Brasília,Estância Planaltina (Planaltina),estancia planaltina (planaltina),-15.6060524,-47.6686761,brasil_aberto,True
DF,5300108,Brasília,Estâncias Vila Rica (Sobradinho),estancias vila rica (sobradinho),-15.6079751,-47.77458660000001,brasil_aberto,True
DF,5300108,Brasília,Fazenda Mestre D'Armas (Etapa I - Planaltina),fazenda mestre d'armas (etapa i - planaltina),-15.6585204,-47.6409572,brasil_aberto,True
DF,5300108,Brasília,Fazenda Mestre D'Armas (Etapa II - Planaltina),fazenda mestre d'armas (etapa ii - planaltina),-15.6585204,-47.6409572,brasil_aberto,True
DF,5300108,Brasília,Fazenda Mestre D'Armas (Etapa III - Planaltina),fazenda mestre d'armas (etapa iii - planaltina),-15.7890845,-48.0073886,brasil_aberto,True
DF,5300108,Brasília,Fazenda Papuda,fazenda papuda,-15.9098074,-47.8112284,brasil_aberto,True
DF,5300108,Brasília,Fazendinha (Itapoã),fazendinha (itapoa),-15.7525659,-47.7679401,brasil_aberto,True
DF,5300108,Brasília,Gama,gama,-15.9630197,-48.0234757,brasil_aberto,True
DF,5300108,Brasília,Grande Colorado (Sobradinho),grande colorado (sobradinho),-15.6545347,-47.8467306,brasil_aberto,True
DF,5300108,Brasília,Granja do Torto,granja do torto,-15.7080557,-47.914336,brasil_aberto,True
DF,5300108,Brasília,Guará I,guara i,-15.8112291,-47.9747057,brasil_aberto,True
DF,5300108,Brasília,Guará II,guara ii,-15.8308323,-47.9875643,brasil_aberto,True
DF,5300108,Brasília,Incra 8 (Brazlândia),incra 8 (brazlandia),-15.7433235,-48.1717326,brasil_aberto,True
DF,5300108,Brasília,Itapoã I,itapoa i,-15.7461232,-47.7611709,brasil_aberto,True
DF,5300108,Brasília,Itapoã II,itapoa ii,-15.7520065,-47.780032,brasil_aberto,True
DF,5300108,Brasília,Itapoã Parque (Itapoã),itapoa parque (itapoa),-15.7306264,-47.7806214,brasil_aberto,True
DF,5300108,Brasília,Jardim Roriz (Planaltina),jardim roriz (planaltina),-15.6020559,-47.6528672,brasil_aberto,True
DF,5300108,Brasília,Jardins Mangueiral (Jardim Botânico),jardins mangueiral (jardim botanico),-15.8940497,-47.8007606,brasil_aberto,True
DF,5300108,Brasília,Jardins Mangueiral (São Sebastião),jardins mangueiral (sao sebastiao),-15.8940497,-47.8007606,brasil_aberto,True
DF,5300108,Brasília,João Cândido (São Sebastião),joao candido (sao sebastiao),-15.9080678,-47.7626002,brasil_aberto,True
DF,5300108,Brasília,Mansões Abraão I (Santa Maria),mansoes abraao i (santa maria),-16.0036853,-47.9871936,brasil_aberto,True
DF,5300108,Brasília,Mansões Abraão II (Santa Maria),mansoes abraao ii (santa maria),-16.0036853,-47.9871936,brasil_aberto,True
