Uf,CityIbgeCode,City,Neighborhood,NormalizedName,Latitude,Longitude,Source,IsActive
ES,3200102,Afonso Cláudio,Centro,centro,-20.07513046,-41.12649155,brasil_aberto,True
ES,3200102,Afonso Cláudio,Fazenda Guandu,fazenda guandu,-20.21464539,-41.10301971,brasil_aberto,True
ES,3200102,Afonso Cláudio,Ibicaba,ibicaba,-20.01017761,-41.23738098,brasil_aberto,True
ES,3200102,Afonso Cláudio,Piracema,piracema,-20.18494415,-41.19210052,brasil_aberto,True
ES,3200102,Afonso Cláudio,Pontões,pontoes,-20.20023727,-41.04636383,brasil_aberto,True
ES,3200102,Afonso Cláudio,Serra Pelada,serra pelada,-20.00422859,-41.03057861,brasil_aberto,True
ES,3200102,Afonso Cláudio,São Francisco Xavier do Guandu,sao francisco xavier do guandu,-19.99806786,-41.13439178,brasil_aberto,True
ES,3200201,Alegre,Anutiba,anutiba,-20.60935211,-41.45152664,brasil_aberto,True
ES,3200201,Alegre,Araraí,ararai,-20.59230995,-41.55564117,brasil_aberto,True
ES,3200201,Alegre,Café,cafe,-20.8707987,-41.572056,brasil_aberto,True
ES,3200201,Alegre,Celina,celina,-20.76348305,-41.59156036,brasil_aberto,True
ES,3200201,Alegre,Centro,centro,-20.32141685,-40.3382988,brasil_aberto,True
ES,3200201,Alegre,Rive,rive,-20.75673485,-41.45964813,brasil_aberto,True
ES,3200201,Alegre,Santa Angélica,santa angelica,-20.69161034,-41.45446777,brasil_aberto,True
ES,3200201,Alegre,São João do Norte,sao joao do norte,-20.6759758,-41.50983429,brasil_aberto,True
ES,3200300,Alfredo Chaves,Centro,centro,-19.53380203,-40.62623978,brasil_aberto,True
ES,3200300,Alfredo Chaves,Crubixá,crubixa,-20.64062691,-40.8649559,brasil_aberto,True
ES,3200300,Alfredo Chaves,Ibitiruí,ibitirui,-20.6020031,-40.85991287,brasil_aberto,True
ES,3200300,Alfredo Chaves,Matilde,matilde,-20.55405426,-40.81511307,brasil_aberto,True
ES,3200300,Alfredo Chaves,Ribeirão do Cristo,ribeirao do cristo,-20.48924637,-40.73773575,brasil_aberto,True
ES,3200300,Alfredo Chaves,Sagrada Família,sagrada familia,-20.6351751,-40.7500283,brasil_aberto,True
ES,3200300,Alfredo Chaves,Urânia,urania,-20.47164917,-40.91743469,brasil_aberto,True
ES,3200359,Alto Rio Novo,Centro,centro,-19.40465736,-40.06628418,brasil_aberto,True
ES,3200359,Alto Rio Novo,Monte Carmelo do Rio Novo,monte carmelo do rio novo,-19.06901741,-40.96772766,brasil_aberto,True
ES,3200359,Alto Rio Novo,Palmerino,palmerino,-18.95724106,-40.97289276,brasil_aberto,True
ES,3200409,Anchieta,Alto Pongal,alto pongal,,,brasil_aberto,True
ES,3200409,Anchieta,Centro,centro,-26.5357699,-53.33056089999999,brasil_aberto,True
ES,3200409,Anchieta,Iriri,iriri,-20.8306376,-40.6950139,brasil_aberto,True
ES,3200409,Anchieta,Iriritiba,iriritiba,-20.70700073,-40.75881958,brasil_aberto,True
ES,3200409,Anchieta,Jabaquara,jabaquara,-20.68630028,-40.67758179,brasil_aberto,True
ES,3200409,Anchieta,Mãe-bá,mae-ba,-20.7662875,-40.5755852,brasil_aberto,True
ES,3200409,Anchieta,Planalto,planalto,-20.8194608,-40.622314,brasil_aberto,True
ES,3200409,Anchieta,Ponta de Ubu,ponta de ubu,-20.77474785,-40.57795334,brasil_aberto,True
ES,3200409,Anchieta,Recanto do Sol,recanto do sol,-12.90495968,-38.39032745,brasil_aberto,True
ES,3200409,Anchieta,Ubú,ubu,-20.80191612,-40.5949173,brasil_aberto,True
ES,3200508,Apiacá,Bonsucesso,bonsucesso,-20.98073959,-41.5594902,brasil_aberto,True
ES,3200508,Apiacá,Centro,centro,,,brasil_aberto,True
ES,3200508,Apiacá,José Carlos,jose carlos,-21.14686394,-41.62059784,brasil_aberto,True
ES,3200607,Aracruz,Barra do Riacho,barra do riacho,-19.82595444,-40.06028748,brasil_aberto,True
ES,3200607,Aracruz,Barra do Sahy,barra do sahy,-19.87396431,-40.08406448,brasil_aberto,True
ES,3200607,Aracruz,Bela Vista,bela vista,-19.82319641,-40.28236389,brasil_aberto,True
ES,3200607,Aracruz,Centro,centro,-19.81630707,-40.27019501,brasil_aberto,True
ES,3200607,Aracruz,Centro Empresarial,centro empresarial,-19.8419983,-40.2660917,brasil_aberto,True
ES,3200607,Aracruz,Coqueiral,coqueiral,-19.93271637,-40.14558029,brasil_aberto,True
ES,3200607,Aracruz,Cupido,cupido,-19.81200409,-40.2736702,brasil_aberto,True
ES,3200607,Aracruz,De Carli,de carli,-19.8214817,-40.27820969,brasil_aberto,True
ES,3200607,Aracruz,Fátima,fatima,-19.83495903,-40.26461792,brasil_aberto,True
ES,3200607,Aracruz,Guanabara,guanabara,-19.81999588,-40.27645874,brasil_aberto,True
ES,3200607,Aracruz,Guaraná,guarana,-19.67730904,-40.25785446,brasil_aberto,True
ES,3200607,Aracruz,Guaxindiba,guaxindiba,-19.81200409,-40.2736702,brasil_aberto,True
ES,3200607,Aracruz,Itaparica,itaparica,-19.9726124,-40.1478329,brasil_aberto,True
ES,3200607,Aracruz,Itaputera,itaputera,-19.82758331,-40.28239059,brasil_aberto,True
ES,3200607,Aracruz,Jacupemba,jacupemba,-19.5872612,-40.19577026,brasil_aberto,True
ES,3200607,Aracruz,Jardins,jardins,-19.82275391,-40.27144241,brasil_aberto,True
ES,3200607,Aracruz,Jequitibá,jequitiba,-19.82319641,-40.28236389,brasil_aberto,True
ES,3200607,Aracruz,Limão,limao,-19.82195282,-40.27405167,brasil_aberto,True
ES,3200607,Aracruz,Mar Azul,mar azul,-19.75089455,-40.04416275,brasil_aberto,True
ES,3200607,Aracruz,Morobá,moroba,-19.82319641,-40.28236389,brasil_aberto,True
