Uf,CityIbgeCode,City,Neighborhood,NormalizedName,Latitude,Longitude,Source,IsActive
GO,5200050,Abadia de Goiás,Setor Central,setor central,,,brasil_aberto,True
GO,5200050,Abadia de Goiás,Setor Santa Bárbara,setor santa barbara,,,brasil_aberto,True
GO,5200100,Abadiânia,Centro,centro,,,brasil_aberto,True
GO,5200100,Abadiânia,Fazenda Mariká,fazenda marika,,,brasil_aberto,True
GO,5200100,Abadiânia,Planalmira,planalmira,-16.0568794,-48.8541526,brasil_aberto,True
GO,5200100,Abadiânia,Posse D'Abadia,posse d'abadia,-16.0979889,-48.8003294,brasil_aberto,True
GO,5200134,Acreúna,Arantina,arantina,-17.5331704,-50.1928898,brasil_aberto,True
GO,5200134,Acreúna,Setor Central,setor central,,,brasil_aberto,True
GO,5200159,Adelândia,Jardim Progresso,jardim progresso,,,brasil_aberto,True
GO,5200308,Alexânia,Centro,centro,-16.0827946,-48.5043856,brasil_aberto,True
GO,5200308,Alexânia,Olhos D'Água,olhos d'agua,-15.9622839,-48.5787728,brasil_aberto,True
GO,5200506,Aloândia,Setor Central,setor central,-17.7288498,-49.480455,brasil_aberto,True
GO,5200555,Alto Horizonte,Setor Central,setor central,-14.1968821,-49.3375748,brasil_aberto,True
GO,5200605,Alto Paraíso de Goiás,Centro,centro,-14.1358062,-47.5191874,brasil_aberto,True
GO,5200605,Alto Paraíso de Goiás,São Jorge,sao jorge,-14.1770378,-47.813581,brasil_aberto,True
GO,5200803,Alvorada do Norte,Ipiranga,ipiranga,-14.483025,-46.4896556,brasil_aberto,True
GO,5200829,Amaralina,Setor Central,setor central,-13.9275104,-49.297394,brasil_aberto,True
GO,5200852,Americano do Brasil,Setor Central,setor central,-16.2588209,-49.9846932,brasil_aberto,True
GO,5200902,Amorinópolis,Setor Central,setor central,-16.6123754,-51.0963024,brasil_aberto,True
GO,5201207,Anhanguera,Setor Central,setor central,-16.7234357,-49.2944433,brasil_aberto,True
GO,5201306,Anicuns,Capelinha,capelinha,-16.3473974,-49.8393886,brasil_aberto,True
GO,5201306,Anicuns,Choupana,choupana,-16.4612113,-49.9615772,brasil_aberto,True
GO,5201306,Anicuns,Setor Central,setor central,-16.4608018,-49.9609318,brasil_aberto,True
GO,5201108,Anápolis,Adriana Parque,adriana parque,-16.2784895,-48.9835316,brasil_aberto,True
GO,5201108,Anápolis,Alto da Bela Vista,alto da bela vista,-16.3504543,-48.9369832,brasil_aberto,True
GO,5201108,Anápolis,Alvorada,alvorada,-16.3073024,-48.9398087,brasil_aberto,True
GO,5201108,Anápolis,Andracel Center,andracel center,-16.3076786,-48.9496938,brasil_aberto,True
GO,5201108,Anápolis,Anexo Antônio Fernandes,anexo antonio fernandes,-16.2869734,-48.9557763,brasil_aberto,True
GO,5201108,Anápolis,Anexo Bom Sucesso,anexo bom sucesso,-16.308997,-48.965166,brasil_aberto,True
GO,5201108,Anápolis,Anexo Frei Eustáquio,anexo frei eustaquio,-16.3165527,-48.9682628,brasil_aberto,True
GO,5201108,Anápolis,Anexo Itamaraty,anexo itamaraty,-16.2931987,-48.9724589,brasil_aberto,True
GO,5201108,Anápolis,Anexo Maracananzinho,anexo maracananzinho,-16.3163427,-48.9517805,brasil_aberto,True
GO,5201108,Anápolis,Antônio Fernandes,antonio fernandes,-16.3022666,-48.9536661,brasil_aberto,True
GO,5201108,Anápolis,Anápolis City,anapolis city,-16.328507,-48.9304855,brasil_aberto,True
GO,5201108,Anápolis,Bandeiras,bandeiras,-16.2788514,-48.964907,brasil_aberto,True
GO,5201108,Anápolis,Batista,batista,-16.3400518,-48.9532167,brasil_aberto,True
GO,5201108,Anápolis,Boa Vista,boa vista,-16.3022302,-48.9392169,brasil_aberto,True
GO,5201108,Anápolis,Bom Sucesso,bom sucesso,-16.3102985,-48.9660385,brasil_aberto,True
GO,5201108,Anápolis,Calixto,calixto,-16.3629587,-48.9643563,brasil_aberto,True
GO,5201108,Anápolis,Calixtolândia,calixtolandia,-16.3665349,-48.9635372,brasil_aberto,True
GO,5201108,Anápolis,Calixtolândia 2ª Etapa,calixtolandia 2ª etapa,-16.3698976,-48.9692347,brasil_aberto,True
GO,5201108,Anápolis,Campos Elísios,campos elisios,-16.3618338,-48.9114455,brasil_aberto,True
GO,5201108,Anápolis,Cebrasa,cebrasa,-16.2971414,-48.8136808,brasil_aberto,True
GO,5201108,Anápolis,Centro,centro,-16.3219506,-48.9528093,brasil_aberto,True
GO,5201108,Anápolis,Chácaras Americanas,chacaras americanas,-16.3379889,-48.9140425,brasil_aberto,True
GO,5201108,Anápolis,Chácaras Atibaia,chacaras atibaia,-16.338117,-48.8748268,brasil_aberto,True
GO,5201108,Anápolis,Chácaras Boa Vista,chacaras boa vista,-16.3022302,-48.9392169,brasil_aberto,True
GO,5201108,Anápolis,Chácaras Colorado,chacaras colorado,-16.3077836,-48.9586659,brasil_aberto,True
GO,5201108,Anápolis,Chácaras Jonas Duarte,chacaras jonas duarte,-16.3494909,-48.9600521,brasil_aberto,True
GO,5201108,Anápolis,Chácaras Vale das Antas,chacaras vale das antas,-16.2803566,-48.9061323,brasil_aberto,True
GO,5201108,Anápolis,Chácaras de Recreio Mansões do Planalto,chacaras de recreio mansoes do planalto,-16.2606985,-48.9505597,brasil_aberto,True
GO,5201108,Anápolis,Cidade Jardim,cidade jardim,-16.3155986,-48.9462966,brasil_aberto,True
GO,5201108,Anápolis,Cidade Universitária,cidade universitaria,-16.2936133,-48.9426853,brasil_aberto,True
GO,5201108,Anápolis,Condomínio Alphaville Anápolis,condominio alphaville anapolis,-16.3184058,-48.9246257,brasil_aberto,True
GO,5201108,Anápolis,Condomínio Residencial Belas Artes,condominio residencial belas artes,-16.2937444,-48.9346496,brasil_aberto,True
GO,5201108,Anápolis,Condomínio Residencial Gaudi,condominio residencial gaudi,-16.3559223,-48.8902611,brasil_aberto,True
GO,5201108,Anápolis,Condomínio Residencial Grand Trianon,condominio residencial grand trianon,-16.3042696,-48.9341887,brasil_aberto,True
GO,5201108,Anápolis,Condomínio Residencial Villa Lobos,condominio residencial villa lobos,-16.2524751,-48.9346189,brasil_aberto,True
GO,5201108,Anápolis,Condomínio Terras Alpha Anápolis,condominio terras alpha anapolis,-16.345945,-48.8871619,brasil_aberto,True
GO,5201108,Anápolis,Condomínio Vale dos Pássaros,condominio vale dos passaros,-16.3671985,-48.9561864,brasil_aberto,True
GO,5201108,Anápolis,Conjunto Eldorado,conjunto eldorado,-16.3453945,-48.947169,brasil_aberto,True
GO,5201108,Anápolis,Conjunto Habitacional Esperança II,conjunto habitacional esperanca ii,-16.3767775,-48.9777712,brasil_aberto,True
GO,5201108,Anápolis,Conjunto Habitacional Filostro Machado Carneiro,conjunto habitacional filostro machado carneiro,-16.31396,-48.9042675,brasil_aberto,True
GO,5201108,Anápolis,Conjunto Habitacional Vila União,conjunto habitacional vila uniao,-16.3736329,-48.9865753,brasil_aberto,True
GO,5201108,Anápolis,Conjunto IAPC,conjunto iapc,-16.3369567,-48.9680847,brasil_aberto,True
GO,5201108,Anápolis,Conjunto Raul Balduino,conjunto raul balduino,,,brasil_aberto,True
GO,5201108,Anápolis,Conjunto Residencial Vila Feliz,conjunto residencial vila feliz,-16.3130196,-48.9005395,brasil_aberto,True
GO,5201108,Anápolis,Conjunto Residencial Vila Feliz - II Etapa,conjunto residencial vila feliz - ii etapa,-16.3064548,-48.8965795,brasil_aberto,True
GO,5201108,Anápolis,Conjunto Villa Verde,conjunto villa verde,-16.3427557,-48.9518144,brasil_aberto,True
GO,5201108,Anápolis,Distrito Agroindustrial de Anápolis,distrito agroindustrial de anapolis,-16.4068427,-48.9322482,brasil_aberto,True
GO,5201108,Anápolis,Dom Pedro II,dom pedro ii,-16.3288862,-48.9686689,brasil_aberto,True
GO,5201108,Anápolis,Eldorado,eldorado,-16.3486296,-48.9457991,brasil_aberto,True
GO,5201108,Anápolis,Estância Vale das Brisas,estancia vale das brisas,-16.3650168,-48.8938421,brasil_aberto,True
GO,5201108,Anápolis,Fazenda Barreiro do Meio,fazenda barreiro do meio,-16.2656111,-48.9818803,brasil_aberto,True
GO,5201108,Anápolis,Frei Eustáquio,frei eustaquio,-16.3111986,-48.9396922,brasil_aberto,True
