Uf,CityIbgeCode,City,Neighborhood,NormalizedName,Latitude,Longitude,Source,IsActive
MA,2100105,Afonso Cunha,Centro,centro,-4.1343606,-43.3237817,brasil_aberto,True
MA,2100204,Alcântara,Centro,centro,-2.4039084,-44.4153732,brasil_aberto,True
MA,2100204,Alcântara,São João de Cortes,sao joao de cortes,-2.2157446,-44.5550454,brasil_aberto,True
MA,2100303,Aldeias Altas,Centro,centro,,,brasil_aberto,True
MA,2100402,Altamira do Maranhão,Centro,centro,-4.1669091,-45.4646051,brasil_aberto,True
MA,2100436,Alto Alegre do Maranhão,Centro,centro,-4.2145868,-44.4495628,brasil_aberto,True
MA,2100477,Alto Alegre do Pindaré,Centro,centro,-3.6694263,-45.8491582,brasil_aberto,True
MA,2100477,Alto Alegre do Pindaré,Terra Indígena Caru,terra indigena caru,-3.665842999999999,-45.8447357,brasil_aberto,True
MA,2100501,Alto Parnaíba,Centro,centro,-9.1123648,-45.9320229,brasil_aberto,True
MA,2100501,Alto Parnaíba,Curupa,curupa,-9.8741493,-45.8675128,brasil_aberto,True
MA,2100550,Amapá do Maranhão,Centro,centro,,,brasil_aberto,True
MA,2100600,Amarante do Maranhão,Centro,centro,-5.5730201,-46.7511212,brasil_aberto,True
MA,2100600,Amarante do Maranhão,Terra Indígena Arariboia,terra indigena arariboia,-5.005997499999999,-46.5404416,brasil_aberto,True
MA,2100709,Anajatuba,Centro,centro,-3.2640702,-44.6179239,brasil_aberto,True
MA,2100709,Anajatuba,Porto das Gabarras,porto das gabarras,-3.1065856,-44.5637892,brasil_aberto,True
MA,2100808,Anapurus,Centro,centro,-3.67389441,-43.10768509,brasil_aberto,True
MA,2100832,Apicum-Açu,Centro,centro,-1.5282615,-45.0786169,brasil_aberto,True
MA,2100873,Araguanã,Centro,centro,-2.9514528,-45.6651771,brasil_aberto,True
MA,2100873,Araguanã,Terra Indígena Alto Turiaçu,terra indigena alto turiacu,-2.9511594,-45.6656585,brasil_aberto,True
MA,2100907,Araioses,Conceição,conceicao,-2.8846533,-41.9051451,brasil_aberto,True
MA,2100907,Araioses,Frecheiras,frecheiras,-2.8876129,-41.9041637,brasil_aberto,True
