Uf,CityIbgeCode,City,Neighborhood,NormalizedName,Latitude,Longitude,Source,IsActive
MG,3100104,Abadia dos Dourados,Centro,centro,-18.48430443,-47.402771,brasil_aberto,True
MG,3100203,Abaeté,Centro,centro,-19.1576252,-45.44813538,brasil_aberto,True
MG,3100302,Abre Campo,Centro,centro,-20.30185127,-42.47848892,brasil_aberto,True
MG,3100302,Abre Campo,Granada,granada,-20.16681862,-42.38967133,brasil_aberto,True
MG,3100401,Acaiaca,Centro,centro,-17.3490962,-44.947475,brasil_aberto,True
MG,3100807,Aguanil,Boticão,boticao,-20.9624029,-45.4781155,brasil_aberto,True
MG,3100807,Aguanil,Centro,centro,-20.94252205,-45.39324188,brasil_aberto,True
MG,3101102,Aimorés,Alto Capim,alto capim,-19.86626244,-41.23560333,brasil_aberto,True
MG,3101102,Aimorés,Centro,centro,-19.4917405,-41.0609215,brasil_aberto,True
MG,3101102,Aimorés,Conceição do Capim,conceicao do capim,-19.56556702,-41.22677231,brasil_aberto,True
MG,3101102,Aimorés,Expedicionário Alício,expedicionario alicio,-19.64219475,-41.29835129,brasil_aberto,True
MG,3101102,Aimorés,Mundo Novo de Minas,mundo novo de minas,-19.74415588,-41.35501862,brasil_aberto,True
MG,3101102,Aimorés,Penha do Capim,penha do capim,-19.66914558,-41.25361633,brasil_aberto,True
MG,3101102,Aimorés,Santo Antônio do Rio Doce,santo antonio do rio doce,-19.4416575,-41.0277803,brasil_aberto,True
MG,3101102,Aimorés,São Sebastião da Vala,sao sebastiao da vala,-19.75791931,-41.28355789,brasil_aberto,True
MG,3101102,Aimorés,Tabaúna,tabauna,-19.50025558,-41.30554581,brasil_aberto,True
MG,3101201,Aiuruoca,Centro,centro,-21.97694016,-44.60361099,brasil_aberto,True
MG,3101300,Alagoa,Centro,centro,-22.1705196,-44.63931609999999,brasil_aberto,True
MG,3101409,Albertina,Centro,centro,-22.20090866,-46.61693573,brasil_aberto,True
MG,3101607,Alfenas,Aparecida,aparecida,-21.78909492,-46.55513763,brasil_aberto,True
MG,3101607,Alfenas,Barranco Alto,barranco alto,-21.184618,-45.9622345,brasil_aberto,True
MG,3101607,Alfenas,Campinho,campinho,-21.43761635,-45.94529343,brasil_aberto,True
MG,3101607,Alfenas,Campos Elísios,campos elisios,-21.4077836,-45.9416028,brasil_aberto,True
MG,3101607,Alfenas,Centro,centro,-19.92785454,-43.97912979,brasil_aberto,True
MG,3101607,Alfenas,Chapada,chapada,-21.4234648,-45.9493315,brasil_aberto,True
MG,3101607,Alfenas,Cidade Jardim,cidade jardim,-19.90878487,-43.9256134,brasil_aberto,True
