Uf,CityIbgeCode,City,Neighborhood,NormalizedName,Latitude,Longitude,Source,IsActive
MS,5000252,Alcinópolis,Centro,centro,-18.3274504,-53.714104,brasil_aberto,True
MS,5000609,Amambai,Centro,centro,-23.1173267,-55.2128971,brasil_aberto,True
MS,5000708,Anastácio,Centro,centro,-20.481042,-55.8031961,brasil_aberto,True
MS,5000807,Anaurilândia,Centro,centro,-22.187214,-52.7193725,brasil_aberto,True
MS,5000807,Anaurilândia,Quebracho,quebracho,-22.185081,-52.7183017,brasil_aberto,True
MS,5000856,Angélica,Centro Cívico,centro civico,-22.1593621,-53.7739075,brasil_aberto,True
MS,5000856,Angélica,Ipezal,ipezal,-22.0507854,-54.0692455,brasil_aberto,True
MS,5000906,Antônio João,Campestre,campestre,-22.2149135,-56.1588712,brasil_aberto,True
MS,5000906,Antônio João,Centro,centro,-22.1938927,-55.9457539,brasil_aberto,True
MS,5001003,Aparecida do Taboado,Centro,centro,-20.0793566,-51.1034265,brasil_aberto,True
MS,5001003,Aparecida do Taboado,Cupins,cupins,-19.892501,-51.042513,brasil_aberto,True
MS,5001003,Aparecida do Taboado,Ilha Grande,ilha grande,-20.0862792,-51.1017946,brasil_aberto,True
MS,5001003,Aparecida do Taboado,Oriente,oriente,-20.210935,-51.10606,brasil_aberto,True
MS,5001102,Aquidauana,Camisão,camisao,-20.4845899,-55.63431,brasil_aberto,True
MS,5001102,Aquidauana,Centro,centro,-20.4758498,-55.7962521,brasil_aberto,True
MS,5001102,Aquidauana,Cipolândia,cipolandia,-20.1264534,-55.38920239999999,brasil_aberto,True
MS,5001102,Aquidauana,Piraputanga,piraputanga,-20.4784896,-55.53663960000001,brasil_aberto,True
MS,5001102,Aquidauana,Taunay,taunay,-20.2885529,-56.07942329999999,brasil_aberto,True
MS,5001243,Aral Moreira,Centro,centro,-22.9505522,-55.62894319999999,brasil_aberto,True
MS,5001243,Aral Moreira,Vila Marques,vila marques,-23.0252778,-55.58812169999999,brasil_aberto,True
MS,5001508,Bandeirantes,Centro,centro,-19.9266149,-54.360998,brasil_aberto,True
MS,5001508,Bandeirantes,Congonhas,congonhas,-19.91798,-54.3684202,brasil_aberto,True
MS,5001904,Bataguassu,Centro,centro,-21.7165288,-52.4266295,brasil_aberto,True
MS,5001904,Bataguassu,Porto XV de Novembro,porto xv de novembro,-21.7194148,-52.422511,brasil_aberto,True
MS,5002001,Batayporã,Centro,centro,-22.2995978,-53.2716604,brasil_aberto,True
MS,5002100,Bela Vista,Centro,centro,-22.1092863,-56.5246095,brasil_aberto,True
MS,5002100,Bela Vista,Nossa Senhora de Fátima,nossa senhora de fatima,-22.0833187,-56.5747118,brasil_aberto,True
MS,5002159,Bodoquena,Centro,centro,-20.5523468,-56.6786006,brasil_aberto,True
MS,5002159,Bodoquena,Morraria do Sul,morraria do sul,-20.5353769,-56.8971829,brasil_aberto,True
