Uf,CityIbgeCode,City,Neighborhood,NormalizedName,Latitude,Longitude,Source,IsActive
MT,5100102,Acorizal,Aldeia,aldeia,,,brasil_aberto,True
MT,5100102,Acorizal,Baús,baus,,,brasil_aberto,True
MT,5100102,Acorizal,Centro,centro,,,brasil_aberto,True
MT,5100102,Acorizal,Engenho,engenho,,,brasil_aberto,True
MT,5100250,Alta Floresta,Centro,centro,-9.8792122,-56.0868045,brasil_aberto,True
MT,5100250,Alta Floresta,Novo Cruzeiro,novo cruzeiro,,,brasil_aberto,True
MT,5100250,Alta Floresta,São José do Apuí,sao jose do apui,,,brasil_aberto,True
MT,5100250,Alta Floresta,Vila Mutum,vila mutum,-9.9008731,-56.0732109,brasil_aberto,True
MT,5100300,Alto Araguaia,Buriti,buriti,-17.8730122,-53.6935405,brasil_aberto,True
MT,5100300,Alto Araguaia,Centro,centro,-17.3164035,-53.2134773,brasil_aberto,True
MT,5100359,Alto Boa Vista,Centro,centro,-11.6723148,-51.3792904,brasil_aberto,True
MT,5100409,Alto Garças,Centro,centro,-16.9430516,-53.5312309,brasil_aberto,True
MT,5100508,Alto Paraguai,Campos Novos,campos novos,-14.5121632,-56.4959467,brasil_aberto,True
MT,5100508,Alto Paraguai,Capão Verde,capao verde,-14.9294608,-56.8441304,brasil_aberto,True
MT,5100508,Alto Paraguai,Centro,centro,-14.5132251,-56.4823215,brasil_aberto,True
MT,5100508,Alto Paraguai,Lavouras,lavouras,-14.8839748,-56.67383290000001,brasil_aberto,True
MT,5100508,Alto Paraguai,Tira Sentido,tira sentido,,,brasil_aberto,True
MT,5100607,Alto Taquari,Centro,centro,-17.8301967,-53.2837957,brasil_aberto,True
MT,5100805,Apiacás,Centro,centro,-9.5618511,-57.3892688,brasil_aberto,True
MT,5101001,Araguaiana,Centro,centro,-15.7219655,-51.8357156,brasil_aberto,True
MT,5101209,Araguainha,Centro,centro,-16.8586044,-53.0334584,brasil_aberto,True
MT,5101258,Araputanga,Centro,centro,-15.4701261,-58.3482096,brasil_aberto,True
MT,5101308,Arenápolis,Centro,centro,-16.0704947,-57.6864138,brasil_aberto,True
MT,5101407,Aripuanã,Centro,centro,-10.1762623,-59.45332630000001,brasil_aberto,True
MT,5101407,Aripuanã,Cidade Morena,cidade morena,-10.5796148,-59.3831493,brasil_aberto,True
MT,5101407,Aripuanã,Conselvan,conselvan,-9.927987,-59.91637549999999,brasil_aberto,True
MT,5101704,Barra do Bugres,Assari,assari,-14.8758431,-57.1749902,brasil_aberto,True
MT,5101704,Barra do Bugres,Centro,centro,-15.068166,-57.1798095,brasil_aberto,True
MT,5101704,Barra do Bugres,Nova Fernandopolis,nova fernandopolis,,,brasil_aberto,True
MT,5101704,Barra do Bugres,Tapirapua,tapirapua,-14.8509028,-58.143739,brasil_aberto,True
MT,5101803,Barra do Garças,Anchieta,anchieta,-15.8765038,-52.2360824,brasil_aberto,True
MT,5101803,Barra do Garças,Campinas,campinas,-15.8903642,-52.2643634,brasil_aberto,True
MT,5101803,Barra do Garças,Centro,centro,-14.5390627,-52.8002243,brasil_aberto,True
MT,5101803,Barra do Garças,Condomínio Parque da Serra,condominio parque da serra,-15.8756837,-52.2276131,brasil_aberto,True
