Uf,CityIbgeCode,City,Neighborhood,NormalizedName,Latitude,Longitude,Source,IsActive
PA,1500107,Abaetetuba,Beja,beja,-1.6570989,-48.7682674,brasil_aberto,True
PA,1500107,Abaetetuba,Centro,centro,-1.722646,-48.8883238,brasil_aberto,True
PA,1500131,Abel Figueiredo,Centro,centro,-4.9511479,-48.3943683,brasil_aberto,True
PA,1500206,Acará,Centro,centro,-1.36523724,-48.33889771,brasil_aberto,True
PA,1500206,Acará,Guajará-Miri,guajara-miri,-1.521866,-48.4053701,brasil_aberto,True
PA,1500206,Acará,Jaguarari,jaguarari,-1.718809,-48.42110779999999,brasil_aberto,True
PA,1500305,Afuá,Baturité,baturite,-0.1572135,-50.3913125,brasil_aberto,True
PA,1500305,Afuá,Centro,centro,-0.1572135,-50.3913125,brasil_aberto,True
PA,1500404,Alenquer,Camburão,camburao,-1.6648663,-54.6774917,brasil_aberto,True
PA,1500404,Alenquer,Centro,centro,-1.9496325,-54.7380376,brasil_aberto,True
PA,1500404,Alenquer,Vila de Mamia,vila de mamia,,,brasil_aberto,True
PA,1500503,Almeirim,Arumanduba,arumanduba,-1.4519471,-52.4958112,brasil_aberto,True
PA,1500503,Almeirim,Centro,centro,-1.53075,-52.57796459999999,brasil_aberto,True
PA,1500503,Almeirim,Monte Dourado,monte dourado,-0.8678172,-52.5349937,brasil_aberto,True
PA,1500503,Almeirim,Vila de Munguba,vila de munguba,-0.9101501,-52.431392,brasil_aberto,True
PA,1500602,Altamira,Alberto Soares,alberto soares,-3.1987716,-52.1889881,brasil_aberto,True
PA,1500602,Altamira,Aparecida,aparecida,-3.204353,-52.2079135,brasil_aberto,True
PA,1500602,Altamira,Bela Vista,bela vista,-3.2102848,-52.2357792,brasil_aberto,True
PA,1500602,Altamira,Boa Esperança,boa esperanca,-3.1924515,-52.2084133,brasil_aberto,True
PA,1500602,Altamira,Brasília,brasilia,-3.1964097,-52.2101853,brasil_aberto,True
PA,1500602,Altamira,Cachoeira da Serra,cachoeira da serra,-8.6227088,-55.05106019999999,brasil_aberto,True
PA,1500602,Altamira,Castelo dos Sonhos,castelo dos sonhos,-8.316887699999999,-55.1005023,brasil_aberto,True
PA,1500602,Altamira,Catedral,catedral,-3.2051842,-52.2070087,brasil_aberto,True
PA,1500602,Altamira,Centro,centro,-3.2031718,-52.2059147,brasil_aberto,True
PA,1500602,Altamira,Colinas,colinas,-3.204353,-52.2079135,brasil_aberto,True
PA,1500602,Altamira,Esplanada do Xingú,esplanada do xingu,-3.2134167,-52.2155882,brasil_aberto,True
PA,1500602,Altamira,Iataí,iatai,-3.204353,-52.2079135,brasil_aberto,True
PA,1500602,Altamira,Ibiza,ibiza,-3.225441,-52.230265,brasil_aberto,True
PA,1500602,Altamira,Jardim Altamira,jardim altamira,-3.1972284,-52.2186471,brasil_aberto,True
PA,1500602,Altamira,Jardim Independente I,jardim independente i,-3.2150211,-52.2241228,brasil_aberto,True
PA,1500602,Altamira,Jardim Independente II,jardim independente ii,-3.2217135,-52.2215303,brasil_aberto,True
PA,1500602,Altamira,Jardim Uirapuru,jardim uirapuru,-3.2119764,-52.2292009,brasil_aberto,True
PA,1500602,Altamira,Liberdade,liberdade,-3.2070799,-52.2237249,brasil_aberto,True
PA,1500602,Altamira,Mutirão,mutirao,-3.1891608,-52.2107703,brasil_aberto,True
PA,1500602,Altamira,Nova Altamira,nova altamira,-3.176543,-52.19114500000001,brasil_aberto,True
PA,1500602,Altamira,Perpétuo Socorro,perpetuo socorro,-3.2074761,-52.2162933,brasil_aberto,True
PA,1500602,Altamira,Premem,premem,-3.2113062,-52.2243429,brasil_aberto,True
PA,1500602,Altamira,Recreio,recreio,-3.2086501,-52.2093162,brasil_aberto,True
PA,1500602,Altamira,Sudam I,sudam i,-3.2028507,-52.2122106,brasil_aberto,True
PA,1500602,Altamira,Sudam II,sudam ii,-3.2069172,-52.224254,brasil_aberto,True
PA,1500602,Altamira,Terra Indígena Araweté Igarapé Ipixuna,terra indigena arawete igarape ipixuna,-4.6104677,-52.5732189,brasil_aberto,True
PA,1500602,Altamira,Terra Indígena Cachoeira Seca,terra indigena cachoeira seca,-4.2594904,-53.6605809,brasil_aberto,True
PA,1500602,Altamira,Área Rural de Altamira,area rural de altamira,-3.2044205,-52.2079174,brasil_aberto,True
PA,1500701,Anajás,Centro,centro,-0.9857624999999999,-49.93497,brasil_aberto,True
PA,1500800,Ananindeua,Atalaia,atalaia,-1.3920096,-48.4231966,brasil_aberto,True
PA,1500800,Ananindeua,Aurá,aura,-1.3503045,-48.3376981,brasil_aberto,True
PA,1500800,Ananindeua,Centro,centro,-1.367063,-48.3769026,brasil_aberto,True
PA,1500800,Ananindeua,Cidade Nova,cidade nova,-1.3775195,-48.4134082,brasil_aberto,True
PA,1500800,Ananindeua,Coqueiro,coqueiro,-1.3775195,-48.4134082,brasil_aberto,True
PA,1500800,Ananindeua,Curuçambá,curucamba,-1.331336,-48.3780491,brasil_aberto,True
PA,1500800,Ananindeua,Distrito Industrial,distrito industrial,-1.3498336,-48.3676431,brasil_aberto,True
PA,1500800,Ananindeua,Guanabara,guanabara,-1.4007385,-48.4223032,brasil_aberto,True
PA,1500800,Ananindeua,Icuí-Guajará,icui-guajara,-1.3265916,-48.4150497,brasil_aberto,True
PA,1500800,Ananindeua,Icuí-Laranjeira,icui-laranjeira,-1.3245539,-48.4183938,brasil_aberto,True
PA,1500800,Ananindeua,Ilha João Pilatos,ilha joao pilatos,-1.3649909,-48.3739943,brasil_aberto,True
PA,1500800,Ananindeua,Jibóia Branca,jiboia branca,-1.3386826,-48.4282675,brasil_aberto,True
PA,1500800,Ananindeua,Levilândia,levilandia,-1.3800725,-48.4045658,brasil_aberto,True
PA,1500800,Ananindeua,Maguari,maguari,-1.3481237,-48.3876735,brasil_aberto,True
PA,1500800,Ananindeua,Marituba,marituba,-1.3364095,-48.3946787,brasil_aberto,True
PA,1500800,Ananindeua,Pato Macho,pato macho,-1.3693128,-48.3637026,brasil_aberto,True
