Uf,CityIbgeCode,City,Neighborhood,NormalizedName,Latitude,Longitude,Source,IsActive
PB,2500205,Aguiar,Centro,centro,-7.0930675,-38.1722916,brasil_aberto,True
PB,2500304,Alagoa Grande,Centro,centro,-7.038517,-35.63223267,brasil_aberto,True
PB,2500304,Alagoa Grande,Povoado,povoado,-7.156813199999999,-34.9607032,brasil_aberto,True
PB,2500403,Alagoa Nova,Centro,centro,-7.0597924,-35.7591137,brasil_aberto,True
PB,2500502,Alagoinha,Centro,centro,-6.95011997,-35.54595566,brasil_aberto,True
PB,2500536,Alcantil,Centro,centro,-7.688008,-35.9969297,brasil_aberto,True
PB,2500536,Alcantil,Povoado,povoado,,,brasil_aberto,True
PB,2500577,Algodão de Jandaíra,Centro,centro,-6.90427303,-36.01096344,brasil_aberto,True
PB,2500601,Alhandra,Centro,centro,-7.4313546,-34.9123542,brasil_aberto,True
PB,2500601,Alhandra,Povoado,povoado,,,brasil_aberto,True
PB,2500908,Arara,Centro,centro,-6.8307101,-35.7612682,brasil_aberto,True
PB,2501005,Araruna,Centro,centro,-6.52802849,-35.74185944,brasil_aberto,True
PB,2500809,Araçagi,Centro,centro,-6.8513462,-35.381492,brasil_aberto,True
PB,2500809,Araçagi,Povoado,povoado,,,brasil_aberto,True
PB,2501104,Areia,Centro,centro,-6.96775961,-35.70593643,brasil_aberto,True
PB,2501104,Areia,Cepilho,cepilho,-6.9892032,-35.7191498,brasil_aberto,True
PB,2501104,Areia,Mata Limpa,mata limpa,-6.9323865,-35.71144779999999,brasil_aberto,True
PB,2501104,Areia,Muquém,muquem,-6.9364607,-35.7558182,brasil_aberto,True
PB,2501104,Areia,Usina Santa Maria,usina santa maria,,,brasil_aberto,True
PB,2501153,Areia de Baraúnas,Centro,centro,-7.1237168,-36.9488487,brasil_aberto,True
PB,2501203,Areial,Centro,centro,-7.04933023,-35.92618561,brasil_aberto,True
PB,2501302,Aroeiras,Centro,centro,-7.54609299,-35.71063232,brasil_aberto,True
PB,2501351,Assunção,Centro,centro,-7.07420874,-36.7293663,brasil_aberto,True
PB,2501500,Bananeiras,Centro,centro,-6.7545642,-35.633168,brasil_aberto,True
PB,2501500,Bananeiras,Distritos,distritos,-6.6956612,-35.6364584,brasil_aberto,True
PB,2501500,Bananeiras,Maia,maia,-6.7488521,-35.5548422,brasil_aberto,True
PB,2501500,Bananeiras,Povoado,povoado,,,brasil_aberto,True
PB,2501534,Baraúna,Centro,centro,-5.0788882,-37.6202483,brasil_aberto,True
PB,2501609,Barra de Santa Rosa,Centro,centro,-6.7247438,-36.0561695,brasil_aberto,True
PB,2501575,Barra de Santana,Centro,centro,-7.523144200000001,-35.9987123,brasil_aberto,True
PB,2501575,Barra de Santana,Povoado,povoado,,,brasil_aberto,True
PB,2501807,Bayeux,Alto da Boa Vista,alto da boa vista,-7.1315048,-34.9394863,brasil_aberto,True
PB,2501807,Bayeux,Baralho,baralho,-7.1197801,-34.9005214,brasil_aberto,True
PB,2501807,Bayeux,Brasília,brasilia,-7.12817764,-34.93454361,brasil_aberto,True
PB,2501807,Bayeux,Centro,centro,-6.96315002,-35.70926666,brasil_aberto,True
PB,2501807,Bayeux,Comercial Norte,comercial norte,-7.1529686,-34.9190478,brasil_aberto,True
PB,2501807,Bayeux,Imaculada,imaculada,-7.13358402,-34.92375565,brasil_aberto,True
PB,2501807,Bayeux,Jardim Aeroporto,jardim aeroporto,-7.1391696,-34.9371861,brasil_aberto,True
PB,2501807,Bayeux,Jardim São Severino,jardim sao severino,-7.1244493,-34.9306302,brasil_aberto,True
PB,2501807,Bayeux,Jardim São Vicente,jardim sao vicente,-7.1302108,-34.9209911,brasil_aberto,True
PB,2501807,Bayeux,Mário Andreazza,mario andreazza,-7.1477833,-34.9270199,brasil_aberto,True
PB,2501807,Bayeux,Rio do Meio,rio do meio,-7.13553953,-34.92891693,brasil_aberto,True
PB,2501807,Bayeux,Sesi,sesi,-7.12608528,-34.91140747,brasil_aberto,True
PB,2501807,Bayeux,São Bento,sao bento,-7.1241824,-34.9091681,brasil_aberto,True
PB,2501807,Bayeux,Tambay,tambay,-7.1488523,-34.9230761,brasil_aberto,True
PB,2501807,Bayeux,Área Rural de Bayuex,area rural de bayuex,-7.134528,-34.9251602,brasil_aberto,True
PB,2501401,Baía da Traição,Centro,centro,-6.6873951,-34.9383143,brasil_aberto,True
PB,2501906,Belém,Rua Nova,rua nova,-6.7195096,-35.5390625,brasil_aberto,True
PB,2502003,Belém do Brejo do Cruz,Centro,centro,-6.189523299999999,-37.5370565,brasil_aberto,True
PB,2502052,Bernardino Batista,Centro,centro,-6.4519831,-38.5514439,brasil_aberto,True
PB,2502102,Boa Ventura,Centro,centro,-7.4198563,-38.2174259,brasil_aberto,True
PB,2502151,Boa Vista,Centro,centro,2.8175322,-60.6764775,brasil_aberto,True
PB,2502201,Bom Jesus,Centro,centro,-5.9853584,-35.5825526,brasil_aberto,True
PB,2502300,Bom Sucesso,Distrito Bom Sucesso,distrito bom sucesso,-6.5050846,-38.0064389,brasil_aberto,True
PB,2502409,Bonito de Santa Fé,Centro,centro,-7.3143781,-38.5156786,brasil_aberto,True
PB,2502508,Boqueirão,Centro,centro,-6.9794963,-34.8334217,brasil_aberto,True
PB,2502508,Boqueirão,Povoado,povoado,,,brasil_aberto,True
PB,2502805,Brejo do Cruz,Centro,centro,-6.3496149,-37.492038,brasil_aberto,True
PB,2502904,Brejo dos Santos,Centro,centro,-6.3776421,-37.8247519,brasil_aberto,True
PB,2503001,Caaporã,Centro,centro,-7.51519632,-34.91738892,brasil_aberto,True
PB,2503001,Caaporã,Cupissura,cupissura,-7.454039700000001,-34.9396367,brasil_aberto,True
PB,2503100,Cabaceiras,Centro,centro,-7.490431,-36.2878941,brasil_aberto,True
PB,2503209,Cabedelo,Amazônia Park,amazonia park,-7.0578324,-34.8507355,brasil_aberto,True
PB,2503209,Cabedelo,Areia Dourada,areia dourada,-6.986342899999999,-34.8275614,brasil_aberto,True
