Uf,CityIbgeCode,City,Neighborhood,NormalizedName,Latitude,Longitude,Source,IsActive
PE,2600054,Abreu e Lima,Alto São Miguel,alto sao miguel,-7.901145700000001,-34.9051721,brasil_aberto,True
PE,2600054,Abreu e Lima,Alto da Bela Vista,alto da bela vista,-7.910365499999999,-34.90015,brasil_aberto,True
PE,2600054,Abreu e Lima,Boa Esperança,boa esperanca,-7.9020693,-34.8999868,brasil_aberto,True
PE,2600054,Abreu e Lima,Caetés I,caetes i,-7.9184338,-34.9116104,brasil_aberto,True
PE,2600054,Abreu e Lima,Caetés II,caetes ii,-7.92194271,-34.91568375,brasil_aberto,True
PE,2600054,Abreu e Lima,Caetés III,caetes iii,-7.9119383,-34.908799,brasil_aberto,True
PE,2600054,Abreu e Lima,Centro,centro,-7.9053716,-34.8962665,brasil_aberto,True
PE,2600054,Abreu e Lima,Chã de Cruz,cha de cruz,-7.9012992,-35.0643134,brasil_aberto,True
PE,2600054,Abreu e Lima,Desterro,desterro,-7.891066099999999,-34.9076516,brasil_aberto,True
PE,2600054,Abreu e Lima,Distrito Industrial,distrito industrial,-7.87698603,-34.90560532,brasil_aberto,True
PE,2600054,Abreu e Lima,Jardim Caetés,jardim caetes,-7.90907907,-34.91085434,brasil_aberto,True
PE,2600054,Abreu e Lima,Matinha,matinha,-7.90108013,-34.90842438,brasil_aberto,True
PE,2600054,Abreu e Lima,Planalto,planalto,-8.08222771,-34.91072464,brasil_aberto,True
PE,2600054,Abreu e Lima,Timbó,timbo,-23.45916557,-46.58020782,brasil_aberto,True
PE,2600054,Abreu e Lima,Área Rural de Abreu e Lima,area rural de abreu e lima,-7.9054787,-34.9049499,brasil_aberto,True
PE,2600104,Afogados da Ingazeira,Centro,centro,-7.7359238,-37.6398512,brasil_aberto,True
PE,2600203,Afrânio,Arizona,arizona,-8.6692231,-40.9384914,brasil_aberto,True
PE,2600203,Afrânio,Cachoeira do Roberto,cachoeira do roberto,-8.638403199999999,-41.1470536,brasil_aberto,True
PE,2600203,Afrânio,Centro,centro,-8.5162541,-41.005237,brasil_aberto,True
PE,2600203,Afrânio,Poção de Afrânio,pocao de afranio,-8.689733799999999,-41.2947083,brasil_aberto,True
PE,2600302,Agrestina,Barra do Chata,barra do chata,-8.4994158,-35.9258003,brasil_aberto,True
PE,2600302,Agrestina,Barra do Jardim,barra do jardim,-8.4095477,-35.9968806,brasil_aberto,True
PE,2600302,Agrestina,Centro,centro,-8.457613799999999,-35.9479829,brasil_aberto,True
PE,2600302,Agrestina,Povoado Pe de Serra dos Mendes,povoado pe de serra dos mendes,,,brasil_aberto,True
PE,2600302,Agrestina,Pé-de-Serra dos Mendes,pe-de-serra dos mendes,-8.38020706,-35.92408371,brasil_aberto,True
PE,2600609,Alagoinha,Alverne,alverne,-8.5790054,-36.7625841,brasil_aberto,True
PE,2600609,Alagoinha,Perpétuo Socorro,perpetuo socorro,-8.539218199999999,-36.7218243,brasil_aberto,True
PE,2600708,Aliança,Centro,centro,-7.6039633,-35.2291925,brasil_aberto,True
PE,2600708,Aliança,Distrito Macuje,distrito macuje,-7.4960695,-35.1262214,brasil_aberto,True
PE,2600708,Aliança,Macujé,macuje,-7.503916500000001,-35.1666358,brasil_aberto,True
PE,2600708,Aliança,Povoado Chã de Esconso,povoado cha de esconso,-7.6150593,-35.1509742,brasil_aberto,True
PE,2600708,Aliança,Povoado de Caueira,povoado de caueira,-7.5976411,-35.2308917,brasil_aberto,True
PE,2600708,Aliança,Tupaoca,tupaoca,-7.609477699999999,-35.2301954,brasil_aberto,True
PE,2600708,Aliança,Upatininga,upatininga,-7.66475534,-35.1732254,brasil_aberto,True
PE,2600708,Aliança,Vila da COHAB,vila da cohab,,,brasil_aberto,True
PE,2600807,Altinho,Centro,centro,-8.4896478,-36.0601591,brasil_aberto,True
PE,2600807,Altinho,Ituguaçu,ituguacu,-8.488021999999999,-36.0597471,brasil_aberto,True
PE,2600906,Amaraji,Centro,centro,-8.378843200000002,-35.4520164,brasil_aberto,True
PE,2601003,Angelim,Centro,centro,,,brasil_aberto,True
PE,2601102,Araripina,Centro,centro,-7.5774591,-40.4985139,brasil_aberto,True
PE,2601102,Araripina,Distrito Lagoa do Barro,distrito lagoa do barro,,,brasil_aberto,True
PE,2601102,Araripina,Distrito de Nascente,distrito de nascente,,,brasil_aberto,True
PE,2601102,Araripina,Lagoa do Barro,lagoa do barro,-7.7576771,-40.419909,brasil_aberto,True
PE,2601102,Araripina,Morais,morais,-7.545827,-40.3425296,brasil_aberto,True
PE,2601102,Araripina,Nascente,nascente,-7.9001654,-40.5043161,brasil_aberto,True
PE,2601102,Araripina,Povoado Bom Jardim do Araripe,povoado bom jardim do araripe,,,brasil_aberto,True
PE,2601102,Araripina,Povoado Gergelim,povoado gergelim,,,brasil_aberto,True
PE,2601102,Araripina,Rancharia,rancharia,-7.7071342,-40.5603482,brasil_aberto,True
PE,2601052,Araçoiaba,Centro,centro,-7.792989,-35.0847708,brasil_aberto,True
PE,2601201,Arcoverde,Boa Esperança,boa esperanca,-8.4176445,-37.0585205,brasil_aberto,True
PE,2601201,Arcoverde,Boa Vista,boa vista,-8.4167841,-37.0391028,brasil_aberto,True
PE,2601201,Arcoverde,Caraíbas,caraibas,-8.4176445,-37.0585205,brasil_aberto,True
PE,2601201,Arcoverde,Cardeal,cardeal,-8.4155467,-37.0516839,brasil_aberto,True
PE,2601201,Arcoverde,Centro,centro,-8.4191625,-37.0579378,brasil_aberto,True
PE,2601201,Arcoverde,Cidade Jardim,cidade jardim,-8.4176445,-37.0585205,brasil_aberto,True
PE,2601201,Arcoverde,Coliseu,coliseu,-8.4321442,-37.0717608,brasil_aberto,True
PE,2601201,Arcoverde,Coronel Siqueira Campos,coronel siqueira campos,-8.43443871,-37.06587219,brasil_aberto,True
PE,2601201,Arcoverde,Pôr do Sol,por do sol,-9.03011036,-36.43795013,brasil_aberto,True
PE,2601201,Arcoverde,Riacho do Meio,riacho do meio,-8.4150712,-36.9372082,brasil_aberto,True
PE,2601201,Arcoverde,Santa Luzia,santa luzia,-8.41813183,-37.03286743,brasil_aberto,True
PE,2601201,Arcoverde,Santos Dumont,santos dumont,-18.83869934,-41.90919495,brasil_aberto,True
PE,2601201,Arcoverde,Sucupira,sucupira,-8.4258692,-37.0566177,brasil_aberto,True
PE,2601201,Arcoverde,São Cristóvão,sao cristovao,-8.4062612,-37.0745774,brasil_aberto,True
PE,2601201,Arcoverde,São Geraldo,sao geraldo,-8.41832,-37.0463987,brasil_aberto,True
PE,2601201,Arcoverde,São Miguel,sao miguel,-8.4230629,-37.0526259,brasil_aberto,True
PE,2601201,Arcoverde,Tamboril,tamboril,-8.4182764,-37.060053,brasil_aberto,True
PE,2601201,Arcoverde,Área Rural de Arcoverde,area rural de arcoverde,-8.4176445,-37.0585205,brasil_aberto,True
PE,2601300,Barra de Guabiraba,Centro,centro,-8.419986699999999,-35.6617971,brasil_aberto,True
PE,2601409,Barreiros,Carima,carima,-8.8358746,-35.33452279999999,brasil_aberto,True
PE,2601409,Barreiros,Centro,centro,-8.8129989,-35.1980469,brasil_aberto,True
PE,2601409,Barreiros,Vila Carimã,vila carima,-8.8546688,-35.332389,brasil_aberto,True
PE,2601706,Belo Jardim,Alto Limpo,alto limpo,-8.3465307,-36.4299114,brasil_aberto,True
PE,2601706,Belo Jardim,Ayrton Maciel,ayrton maciel,-8.3307209,-36.41109467,brasil_aberto,True
PE,2601706,Belo Jardim,Boa Vista,boa vista,-8.3339653,-36.41708374,brasil_aberto,True
PE,2601706,Belo Jardim,Bom Conselho,bom conselho,-8.3346246,-36.4275845,brasil_aberto,True
PE,2601706,Belo Jardim,COHAB-I,cohab-i,-8.33133984,-37.32917786,brasil_aberto,True
PE,2601706,Belo Jardim,COHAB-ll,cohab-ll,-8.3438894,-36.4343867,brasil_aberto,True
PE,2601706,Belo Jardim,Centro,centro,-8.33503914,-36.42402267,brasil_aberto,True
