Uf,CityIbgeCode,City,Neighborhood,NormalizedName,Latitude,Longitude,Source,IsActive
PR,4100103,Abatiá,Centro,centro,-23.3020244,-50.3115629,brasil_aberto,True
PR,4100202,Adrianópolis,Centro,centro,-24.6627432,-48.9910185,brasil_aberto,True
PR,4100202,Adrianópolis,Vila Mota,vila mota,,,brasil_aberto,True
PR,4100301,Agudos do Sul,Centro,centro,-25.9895085,-49.3331198,brasil_aberto,True
PR,4100301,Agudos do Sul,Colônia Padre Paulo,colonia padre paulo,-26.1029616,-49.30964119999999,brasil_aberto,True
PR,4100301,Agudos do Sul,Leão,leao,,,brasil_aberto,True
PR,4100400,Almirante Tamandaré,Areias,areias,-25.2515707,-49.3001929,brasil_aberto,True
PR,4100400,Almirante Tamandaré,Betaras,betaras,-25.3128146,-49.299609,brasil_aberto,True
PR,4100400,Almirante Tamandaré,Boichininga,boichininga,,,brasil_aberto,True
PR,4100400,Almirante Tamandaré,Bonfim,bonfim,-25.3419146,-49.28631619999999,brasil_aberto,True
PR,4100400,Almirante Tamandaré,Botiatuba,botiatuba,-25.3268487,-49.3160812,brasil_aberto,True
PR,4100400,Almirante Tamandaré,Cachoeira,cachoeira,-25.3423624,-49.2698572,brasil_aberto,True
PR,4100400,Almirante Tamandaré,Campina do Arruda,campina do arruda,-25.3469796,-49.2466717,brasil_aberto,True
PR,4100400,Almirante Tamandaré,Campo Grande,campo grande,-25.2535377,-49.3338626,brasil_aberto,True
PR,4100400,Almirante Tamandaré,Capivara,capivara,-25.3128146,-49.299609,brasil_aberto,True
PR,4100400,Almirante Tamandaré,Centro,centro,-25.3087558,-49.2969368,brasil_aberto,True
PR,4100400,Almirante Tamandaré,Colonia Santa Gabriela,colonia santa gabriela,-25.3666121,-49.29598,brasil_aberto,True
PR,4100400,Almirante Tamandaré,Colônia Antônio Prado,colonia antonio prado,-25.3178062,-49.2672275,brasil_aberto,True
PR,4100400,Almirante Tamandaré,Colônia São Venâncio,colonia sao venancio,-25.3332186,-49.2670354,brasil_aberto,True
PR,4100400,Almirante Tamandaré,Jardim Alvorada,jardim alvorada,-25.3390357,-49.2460906,brasil_aberto,True
PR,4100400,Almirante Tamandaré,Jardim Alvorada II,jardim alvorada ii,-25.3393143,-49.2453774,brasil_aberto,True
PR,4100400,Almirante Tamandaré,Jardim Anita Garibaldi,jardim anita garibaldi,-25.3253362,-49.2684551,brasil_aberto,True
PR,4100400,Almirante Tamandaré,Jardim Apucarana,jardim apucarana,-25.340539,-49.2484903,brasil_aberto,True
PR,4100400,Almirante Tamandaré,Jardim Bela Vista,jardim bela vista,-25.2914249,-49.2866779,brasil_aberto,True
PR,4100400,Almirante Tamandaré,Jardim Benfica,jardim benfica,-25.3445291,-49.2524619,brasil_aberto,True
PR,4100400,Almirante Tamandaré,Jardim Campo Verde,jardim campo verde,-25.3129032,-49.2796908,brasil_aberto,True
PR,4100400,Almirante Tamandaré,Jardim Colonial,jardim colonial,-25.3188751,-49.2987308,brasil_aberto,True
PR,4100400,Almirante Tamandaré,Jardim Dona Luiza,jardim dona luiza,-25.345192,-49.2762453,brasil_aberto,True
PR,4100400,Almirante Tamandaré,Jardim Giannini,jardim giannini,,,brasil_aberto,True
PR,4100400,Almirante Tamandaré,Jardim Kokot,jardim kokot,-25.3375534,-49.2491709,brasil_aberto,True
PR,4100400,Almirante Tamandaré,Jardim Marambaia,jardim marambaia,-25.3611085,-49.2113123,brasil_aberto,True
PR,4100400,Almirante Tamandaré,Jardim Monte Santo,jardim monte santo,-25.3146459,-49.2884761,brasil_aberto,True
PR,4100400,Almirante Tamandaré,Jardim Naturama,jardim naturama,-25.3385588,-49.2519318,brasil_aberto,True
PR,4100400,Almirante Tamandaré,Jardim Novo Horizonte da Cachoeira,jardim novo horizonte da cachoeira,,,brasil_aberto,True
PR,4100400,Almirante Tamandaré,Jardim Rafaela,jardim rafaela,-25.3175012,-49.3011827,brasil_aberto,True
PR,4100400,Almirante Tamandaré,Jardim Roma,jardim roma,-25.3317689,-49.2708879,brasil_aberto,True
PR,4100400,Almirante Tamandaré,Jardim Rosana,jardim rosana,,,brasil_aberto,True
PR,4100400,Almirante Tamandaré,Jardim Santo Antônio,jardim santo antonio,-25.3354314,-49.2631204,brasil_aberto,True
PR,4100400,Almirante Tamandaré,Jardim São Domingos,jardim sao domingos,-25.3175982,-49.2961176,brasil_aberto,True
