Uf,CityIbgeCode,City,Neighborhood,NormalizedName,Latitude,Longitude,Source,IsActive
RJ,3300100,Angra dos Reis,Abraãozinho (Ilha Grande),abraaozinho ilha grande,-23.141389,-44.166786,mapbox_geocoding,True
RJ,3300100,Angra dos Reis,Aeroporto (Cunhambebe),aeroporto cunhambebe,-22.97894287,-44.30387497,brasil_aberto_first_street,True
RJ,3300100,Angra dos Reis,Água Santa,agua santa,-23.03259277,-44.2036438,brasil_aberto_first_street,True
RJ,3300100,Angra dos Reis,Araçatiba (Ilha Grande),aracatiba ilha grande,-23.00443,-44.317321,mapbox_geocoding,True
RJ,3300100,Angra dos Reis,Área Rural de Angra dos Reis,area rural de angra dos reis,-23.0002317,-44.3091389,brasil_aberto_first_street,True
RJ,3300100,Angra dos Reis,Areal (Cunhambebe),areal cunhambebe,-23.03259277,-44.2036438,brasil_aberto_first_street,True
RJ,3300100,Angra dos Reis,Ariró (Cunhambebe),ariro cunhambebe,-22.80878,-43.019077,mapbox_geocoding,True
RJ,3300100,Angra dos Reis,Balneário,balneario,-22.99976921,-44.30857849,brasil_aberto_first_street,True
RJ,3300100,Angra dos Reis,Bananal (Ilha Grande),bananal ilha grande,-22.80878,-43.019077,mapbox_geocoding,True
RJ,3300100,Angra dos Reis,Banqueta (Cunhambebe),banqueta cunhambebe,-22.974926,-44.294297,mapbox_geocoding,True
RJ,3300100,Angra dos Reis,Biscaia,biscaia,-23.02817535,-44.2326088,brasil_aberto_first_street,True
RJ,3300100,Angra dos Reis,BNH,bnh,,,brasil_aberto,True
RJ,3300100,Angra dos Reis,Bonfim,bonfim,-23.02086067,-44.3335762,brasil_aberto_first_street,True
RJ,3300100,Angra dos Reis,Bracuí (Cunhambebe),bracui cunhambebe,-22.931489,-44.386567,mapbox_geocoding,True
RJ,3300100,Angra dos Reis,Caetés,caetes,-23.04049301,-44.17890549,brasil_aberto_first_street,True
RJ,3300100,Angra dos Reis,Camorim,camorim,-22.99835396,-44.2645874,brasil_aberto_first_street,True
RJ,3300100,Angra dos Reis,Camorim Pequeno,camorim pequeno,-23.004248,-44.529079,mapbox_geocoding,True
RJ,3300100,Angra dos Reis,Campo Belo (Cunhambebe),campo belo cunhambebe,-22.9829928,-44.299055,brasil_aberto_first_street,True
RJ,3300100,Angra dos Reis,Cantagalo,cantagalo,-23.030745,-44.17152,mapbox_geocoding,True
RJ,3300100,Angra dos Reis,Caputera I,caputera i,-22.80878,-43.019077,mapbox_geocoding,True
RJ,3300100,Angra dos Reis,Caputera II,caputera ii,-22.80878,-43.019077,mapbox_geocoding,True
RJ,3300100,Angra dos Reis,Centro,centro,-23.00800133,-44.31312943,brasil_aberto_first_street,True
RJ,3300100,Angra dos Reis,Cidade da Bíblia,cidade da biblia,-23.03259277,-44.2036438,brasil_aberto_first_street,True
RJ,3300100,Angra dos Reis,Colégio Naval,colegio naval,-23.01508713,-44.32442093,brasil_aberto_first_street,True
RJ,3300100,Angra dos Reis,Encruzo da Enseada (Cunhambebe),encruzo da enseada cunhambebe,-22.991982,-44.306293,mapbox_geocoding,True
RJ,3300100,Angra dos Reis,Enseada,enseada,-22.99703598,-44.33145905,brasil_aberto_first_street,True
RJ,3300100,Angra dos Reis,Enseada das Estrelas (Ilha Grande),enseada das estrelas ilha grande,-22.80878,-43.019077,mapbox_geocoding,True
RJ,3300100,Angra dos Reis,Enseada das Palmas (Ilha Grande),enseada das palmas ilha grande,-22.80878,-43.019077,mapbox_geocoding,True
RJ,3300100,Angra dos Reis,Enseada do Sítio Forte (Ilha Grande),enseada do sitio forte ilha grande,-22.80878,-43.019077,mapbox_geocoding,True
RJ,3300100,Angra dos Reis,Frade (Cunhambebe),frade cunhambebe,-22.96319199,-44.43894577,brasil_aberto_first_street,True
RJ,3300100,Angra dos Reis,Freguesia de Santana (Ilha Grande),freguesia de santana ilha grande,-22.80878,-43.019077,mapbox_geocoding,True
RJ,3300100,Angra dos Reis,Gambôa do Belém (Cunhambebe),gamboa do belem cunhambebe,-22.956799,-44.30057,mapbox_geocoding,True
RJ,3300100,Angra dos Reis,Gambôa do Bracuí (Cunhambebe),gamboa do bracui cunhambebe,-22.937883,-44.41317,mapbox_geocoding,True
RJ,3300100,Angra dos Reis,Garatucaia,garatucaia,-23.0319252,-44.17298508,brasil_aberto_first_street,True
RJ,3300100,Angra dos Reis,Grataú (Cunhambebe),gratau cunhambebe,-23.03259277,-44.2036438,brasil_aberto_first_street,True
RJ,3300100,Angra dos Reis,Guaxuma (Ilha Grande),guaxuma ilha grande,-22.971419,-44.439951,mapbox_geocoding,True
RJ,3300100,Angra dos Reis,Ilha da Caieira,ilha da caieira,-22.956272,-44.309753,mapbox_geocoding,True
RJ,3300100,Angra dos Reis,Ilha do Jorge,ilha do jorge,-22.954996,-44.288572,mapbox_geocoding,True
RJ,3300100,Angra dos Reis,Ilha Grande,ilha grande,,,brasil_aberto,True
RJ,3300100,Angra dos Reis,Itanema (Cunhambebe),itanema cunhambebe,-22.927202,-44.35742,mapbox_geocoding,True
RJ,3300100,Angra dos Reis,Jacuacanga,jacuacanga,-22.9914172,-44.2436243,brasil_aberto_first_street,True
RJ,3300100,Angra dos Reis,Japuíba (Cunhambebe),japuiba cunhambebe,-22.97277832,-44.29844284,brasil_aberto_first_street,True
RJ,3300100,Angra dos Reis,Lambicada,lambicada,-22.963333,-44.4372,mapbox_geocoding,True
RJ,3300100,Angra dos Reis,Maciéis,macieis,-23.04939461,-44.22483444,brasil_aberto_first_street,True
