Uf,CityIbgeCode,City,Neighborhood,NormalizedName,Latitude,Longitude,Source,IsActive
RN,2400109,Acari,Centro,centro,-6.435110900000001,-36.63965779999999,brasil_aberto,True
RN,2400307,Afonso Bezerra,Centro,centro,-5.5001551,-36.5066455,brasil_aberto,True
RN,2400505,Alexandria,Centro,centro,-6.4136701,-38.0174329,brasil_aberto,True
RN,2400604,Almino Afonso,Centro,centro,-6.1527246,-37.765986,brasil_aberto,True
RN,2400703,Alto do Rodrigues,Centro,centro,-5.2878438,-36.7612978,brasil_aberto,True
RN,2400802,Angicos,Centro,centro,-5.6641621,-36.6000213,brasil_aberto,True
RN,2400901,Antônio Martins,Centro,centro,-6.2169795,-37.8908661,brasil_aberto,True
RN,2401008,Apodi,Centro,centro,-5.6658614,-37.79923,brasil_aberto,True
RN,2401008,Apodi,Povoado Soledade,povoado soledade,,,brasil_aberto,True
RN,2401107,Areia Branca,Centro,centro,-4.9570747,-37.1336908,brasil_aberto,True
RN,2401107,Areia Branca,Povoado Cristovão,povoado cristovao,,,brasil_aberto,True
RN,2401107,Areia Branca,Povoado Ponta do Mel,povoado ponta do mel,,,brasil_aberto,True
RN,2401107,Areia Branca,Povoado Redonda,povoado redonda,,,brasil_aberto,True
RN,2401206,Arez,Centro,centro,-6.1969749,-35.1655188,brasil_aberto,True
RN,2401206,Arez,Patané,patane,-6.1756186,-35.1292123,brasil_aberto,True
RN,2400208,Assú,Centro,centro,-5.5744011,-36.9068836,brasil_aberto,True
RN,2400208,Assú,Sítio Linda Flor,sitio linda flor,,,brasil_aberto,True
RN,2400208,Assú,Sítio Nova Esperança,sitio nova esperanca,,,brasil_aberto,True
RN,2400208,Assú,Sítio Panom,sitio panom,,,brasil_aberto,True
RN,2401503,Barcelona,Centro,centro,-5.9506853,-35.926106,brasil_aberto,True
RN,2401404,Baía Formosa,Centro,centro,-6.3689877,-35.0071861,brasil_aberto,True
RN,2401602,Bento Fernandes,Belo Horizonte,belo horizonte,-5.6685311,-35.8934136,brasil_aberto,True
RN,2401602,Bento Fernandes,Centro,centro,-5.6927271,-35.8207872,brasil_aberto,True
RN,2401602,Bento Fernandes,Sítio Arisco,sitio arisco,,,brasil_aberto,True
RN,2401602,Bento Fernandes,Sítio Quinturure,sitio quinturure,,,brasil_aberto,True
RN,2401651,Bodó,Centro,centro,-5.9881331,-36.4131185,brasil_aberto,True
RN,2401800,Brejinho,Esperança,esperanca,,,brasil_aberto,True
RN,2401800,Brejinho,Remédio,remedio,,,brasil_aberto,True
RN,2402006,Caicó,Centro,centro,-6.459264000000001,-37.0959074,brasil_aberto,True
RN,2401859,Caiçara do Norte,Centro,centro,-5.063311,-36.052417,brasil_aberto,True
RN,2401909,Caiçara do Rio do Vento,Centro,centro,-5.7587635,-35.9992283,brasil_aberto,True
RN,2402105,Campo Redondo,Centro,centro,-6.2412323,-36.18289040000001,brasil_aberto,True
RN,2402105,Campo Redondo,Malhada Vermelha,malhada vermelha,,,brasil_aberto,True
RN,2402105,Campo Redondo,Serra do Doutor,serra do doutor,-6.2038994,-36.193749,brasil_aberto,True
RN,2402204,Canguaretama,Areia Branca,areia branca,,,brasil_aberto,True
RN,2402204,Canguaretama,Barra de Cunhaú,barra de cunhau,-6.4110117,-35.1819399,brasil_aberto,True
RN,2402204,Canguaretama,Centro,centro,-6.4121311,-35.1787617,brasil_aberto,True
RN,2402204,Canguaretama,Piquirí,piquiri,-6.3137079,-35.0426424,brasil_aberto,True
RN,2402303,Caraúbas,Miranda,miranda,-5.7962739,-37.5602026,brasil_aberto,True
RN,2402303,Caraúbas,São Geraldo,sao geraldo,-5.677230199999999,-37.6599483,brasil_aberto,True
RN,2402501,Carnaubais,Centro,centro,-5.3390876,-36.8357133,brasil_aberto,True
RN,2402501,Carnaubais,Povoado Entroncamento,povoado entroncamento,,,brasil_aberto,True
RN,2402402,Carnaúba dos Dantas,Centro,centro,-6.556058699999999,-36.5938871,brasil_aberto,True
RN,2402402,Carnaúba dos Dantas,Ermo,ermo,-6.5433869,-36.5092974,brasil_aberto,True
RN,2402600,Ceará-Mirim,Capela,capela,-5.6506047,-35.4260885,brasil_aberto,True
RN,2402600,Ceará-Mirim,Coqueiros,coqueiros,-5.6403981,-35.3088863,brasil_aberto,True
RN,2402600,Ceará-Mirim,Gravatá,gravata,-5.6403981,-35.3088863,brasil_aberto,True
RN,2402600,Ceará-Mirim,Massangana,massangana,-5.6464411,-35.3518101,brasil_aberto,True
RN,2402600,Ceará-Mirim,Massaranduba,massaranduba,-5.6463886,-35.3519336,brasil_aberto,True
RN,2402600,Ceará-Mirim,Matas,matas,-5.5836395,-35.4834123,brasil_aberto,True
RN,2402600,Ceará-Mirim,Muriú,muriu,-5.5643808,-35.2423547,brasil_aberto,True
RN,2402600,Ceará-Mirim,Ponta do Mato,ponta do mato,-5.684315199999999,-35.4586178,brasil_aberto,True
RN,2402600,Ceará-Mirim,Primeira Lagoa,primeira lagoa,-5.6403981,-35.3088863,brasil_aberto,True
RN,2402600,Ceará-Mirim,Santa Agueda,santa agueda,-5.6331563,-35.4244906,brasil_aberto,True
RN,2402709,Cerro Corá,Centro,centro,-6.0443476,-36.3463451,brasil_aberto,True
RN,2402709,Cerro Corá,Ipueira,ipueira,-6.0229182,-36.3691954,brasil_aberto,True
RN,2402709,Cerro Corá,Santa Clara,santa clara,,,brasil_aberto,True
RN,2402709,Cerro Corá,Sítio Baixa do Meio,sitio baixa do meio,,,brasil_aberto,True
RN,2402808,Coronel Ezequiel,Cachoeira,cachoeira,,,brasil_aberto,True
RN,2402808,Coronel Ezequiel,Centro,centro,-6.382337799999999,-36.2161745,brasil_aberto,True
RN,2402808,Coronel Ezequiel,Gurjau,gurjau,-6.3975812,-36.141855,brasil_aberto,True
RN,2402808,Coronel Ezequiel,Santa Quitéria,santa quiteria,,,brasil_aberto,True
RN,2402808,Coronel Ezequiel,Sítio Figueredo,sitio figueredo,,,brasil_aberto,True
RN,2402808,Coronel Ezequiel,Sítio Riacho Fechado,sitio riacho fechado,,,brasil_aberto,True
RN,2402907,Coronel João Pessoa,Centro,centro,-6.2610021,-38.44320829999999,brasil_aberto,True
RN,2403004,Cruzeta,Centro,centro,-6.411638,-36.78895869999999,brasil_aberto,True
RN,2403103,Currais Novos,Centro,centro,-6.263319800000001,-36.5160429,brasil_aberto,True
RN,2403202,Doutor Severiano,Centro,centro,-6.0955344,-38.37400960000001,brasil_aberto,True
RN,2403301,Encanto,Centro,centro,-6.111585199999999,-38.3064419,brasil_aberto,True
RN,2403400,Equador,Dinarte Mariz,dinarte mariz,-6.9460839,-36.71469280000001,brasil_aberto,True
