Uf,CityIbgeCode,City,Neighborhood,NormalizedName,Latitude,Longitude,Source,IsActive
RO,1100015,Alta Floresta D'Oeste,Centro,centro,-11.9276056,-61.9919216,brasil_aberto,True
RO,1100015,Alta Floresta D'Oeste,Terra Indígena Massaco,terra indigena massaco,-11.9291869,-61.9942423,brasil_aberto,True
RO,1100015,Alta Floresta D'Oeste,Terra Indígena Rio Branco,terra indigena rio branco,-11.9343994,-62.0000435,brasil_aberto,True
RO,1100379,Alto Alegre dos Parecis,Centro,centro,-12.1326054,-61.8583764,brasil_aberto,True
RO,1100346,Alvorada D'Oeste,Centro,centro,-11.3468586,-62.287207,brasil_aberto,True
RO,1100346,Alvorada D'Oeste,Terra Indígena Uru-Eu-Wau-Wau,terra indigena uru-eu-wau-wau,-11.3481406,-62.28778059999999,brasil_aberto,True
RO,1100023,Ariquemes,Apoio BR-364,apoio br-364,-9.905927,-63.0557733,brasil_aberto,True
RO,1100023,Ariquemes,Apoio BR-421,apoio br-421,-9.915981,-63.0555758,brasil_aberto,True
RO,1100023,Ariquemes,Apoio Rodoviário,apoio rodoviario,-9.9153071,-63.0485056,brasil_aberto,True
RO,1100023,Ariquemes,Apoio Rodoviário Sul,apoio rodoviario sul,-13.8329458,-59.6289509,brasil_aberto,True
RO,1100023,Ariquemes,Apoio Social,apoio social,-9.8854874,-63.0309024,brasil_aberto,True
RO,1100023,Ariquemes,BNH,bnh,-9.9009517,-63.0429174,brasil_aberto,True
RO,1100023,Ariquemes,Bela Vista,bela vista,-9.8965847,-63.0177926,brasil_aberto,True
RO,1100023,Ariquemes,Bom Futuro,bom futuro,-9.9112215,-63.0205734,brasil_aberto,True
RO,1100023,Ariquemes,Bom Jesus,bom jesus,-9.8913816,-63.0320708,brasil_aberto,True
RO,1100023,Ariquemes,Colonial,colonial,-9.9039678,-63.0353906,brasil_aberto,True
RO,1100023,Ariquemes,Condomínio São Paulo,condominio sao paulo,-9.887881,-63.0227385,brasil_aberto,True
RO,1100023,Ariquemes,Coqueiral,coqueiral,-9.9145979,-63.0151245,brasil_aberto,True
RO,1100023,Ariquemes,Entre Rios,entre rios,-10.0361229,-62.9768042,brasil_aberto,True
RO,1100023,Ariquemes,Estância Sol Nascente,estancia sol nascente,-10.0361229,-62.9768042,brasil_aberto,True
RO,1100023,Ariquemes,Feliz Cidade,feliz cidade,-9.8847944,-63.0191219,brasil_aberto,True
RO,1100023,Ariquemes,Flores,flores,-9.9304707,-63.0369739,brasil_aberto,True
RO,1100023,Ariquemes,Grandes Áreas,grandes areas,-9.9228545,-63.0350635,brasil_aberto,True
