Uf,CityIbgeCode,City,Neighborhood,NormalizedName,Latitude,Longitude,Source,IsActive
RR,1400027,Amajari,Centro,centro,3.5720992,-61.0921496,brasil_aberto,True
RR,1400100,Boa Vista,Aeroporto,aeroporto,2.8305285,-60.6914276,brasil_aberto,True
RR,1400100,Boa Vista,Alvorada,alvorada,2.816211,-60.7514932,brasil_aberto,True
RR,1400100,Boa Vista,Asa Branca,asa branca,2.8141611,-60.7175305,brasil_aberto,True
RR,1400100,Boa Vista,Bela Vista,bela vista,2.7714002,-60.7219471,brasil_aberto,True
RR,1400100,Boa Vista,Buritis,buritis,2.8223236,-60.7062008,brasil_aberto,True
RR,1400100,Boa Vista,Caimbé,caimbe,2.8301364,-60.7150463,brasil_aberto,True
RR,1400100,Boa Vista,Calungá,calunga,2.8016072,-60.6793056,brasil_aberto,True
RR,1400100,Boa Vista,Cambará,cambara,2.8152956,-60.7319309,brasil_aberto,True
RR,1400100,Boa Vista,Canarinho,canarinho,2.8372515,-60.6554957,brasil_aberto,True
RR,1400100,Boa Vista,Caranã,carana,2.8350009,-60.7202384,brasil_aberto,True
RR,1400100,Boa Vista,Cauamé,cauame,2.8541898,-60.7207008,brasil_aberto,True
RR,1400100,Boa Vista,Caçari,cacari,2.8436144,-60.6538952,brasil_aberto,True
RR,1400100,Boa Vista,Centenário,centenario,2.7963195,-60.7147874,brasil_aberto,True
RR,1400100,Boa Vista,Cidade Satélite,cidade satelite,2.8401977,-60.7410624,brasil_aberto,True
RR,1400100,Boa Vista,Cinturão Verde,cinturao verde,2.805417,-60.7162414,brasil_aberto,True
RR,1400100,Boa Vista,Distrito Industrial Governador Aquilino Mota Duarte,distrito industrial governador aquilino mota duarte,2.7687546,-60.7118988,brasil_aberto,True
RR,1400100,Boa Vista,Doutor Sílvio Botelho,doutor silvio botelho,2.8052304,-60.7413438,brasil_aberto,True
RR,1400100,Boa Vista,Doutor Sílvio Leite,doutor silvio leite,2.8208371,-60.7412179,brasil_aberto,True
RR,1400100,Boa Vista,Dr. Airton Rocha,dr. airton rocha,2.7613544,-60.740628,brasil_aberto,True
RR,1400100,Boa Vista,Equatorial,equatorial,2.8124213,-60.7644594,brasil_aberto,True
RR,1400100,Boa Vista,Estados,estados,2.8467931,-60.6701753,brasil_aberto,True
RR,1400100,Boa Vista,Jardim Caranã,jardim carana,2.8523587,-60.718602,brasil_aberto,True
RR,1400100,Boa Vista,Jardim Floresta,jardim floresta,2.8279435,-60.7021249,brasil_aberto,True
RR,1400100,Boa Vista,Jardim Primavera,jardim primavera,2.8281321,-60.7362731,brasil_aberto,True
RR,1400100,Boa Vista,Jardim Tropical,jardim tropical,2.7950908,-60.7346805,brasil_aberto,True
RR,1400100,Boa Vista,Jóquei Clube,joquei clube,2.8036242,-60.7292713,brasil_aberto,True
RR,1400100,Boa Vista,Laura Moreira,laura moreira,2.8029765,-60.7779164,brasil_aberto,True
