Uf,CityIbgeCode,City,Neighborhood,NormalizedName,Latitude,Longitude,Source,IsActive
RS,4300034,Aceguá,Centro,centro,-31.8707576,-54.1631926,brasil_aberto,True
RS,4300034,Aceguá,Colônia Nova,colonia nova,-31.6656934,-54.0712986,brasil_aberto,True
RS,4300034,Aceguá,Minuano,minuano,-31.8037152,-54.1283863,brasil_aberto,True
RS,4300034,Aceguá,Rio Negro,rio negro,-31.6218511,-54.30300159999999,brasil_aberto,True
RS,4300109,Agudo,Centro,centro,-29.6428897,-53.2505118,brasil_aberto,True
RS,4300208,Ajuricaba,Barro Preto,barro preto,-28.2392869,-53.7705587,brasil_aberto,True
RS,4300208,Ajuricaba,Centro,centro,-28.2393651,-53.7715756,brasil_aberto,True
RS,4300208,Ajuricaba,Medianeira,medianeira,-28.2334236,-53.6974719,brasil_aberto,True
RS,4300307,Alecrim,Centro,centro,-27.6572768,-54.7652085,brasil_aberto,True
RS,4300406,Alegrete,Airton Senna,airton senna,-29.7897076,-55.7725524,brasil_aberto,True
RS,4300406,Alegrete,Alberto Grande,alberto grande,-29.8066431,-55.8061622,brasil_aberto,True
RS,4300406,Alegrete,Anita Garibaldi,anita garibaldi,-29.8086282,-55.8061575,brasil_aberto,True
RS,4300406,Alegrete,Assunção,assuncao,-29.7989722,-55.7955831,brasil_aberto,True
RS,4300406,Alegrete,Atlântida,atlantida,-29.8061456,-55.8041651,brasil_aberto,True
RS,4300406,Alegrete,Balneário Caverá,balneario cavera,-29.803543,-55.7654488,brasil_aberto,True
RS,4300406,Alegrete,Boa Vista,boa vista,-29.782082,-55.8061401,brasil_aberto,True
RS,4300406,Alegrete,Canjiqueira,canjiqueira,-29.7997329,-55.8038344,brasil_aberto,True
RS,4300406,Alegrete,Canudos,canudos,-29.7722984,-55.7906315,brasil_aberto,True
RS,4300406,Alegrete,Capão do Angico,capao do angico,-29.7977832,-55.7556434,brasil_aberto,True
RS,4300406,Alegrete,Catimbau,catimbau,-29.7837672,-55.7936527,brasil_aberto,True
RS,4300406,Alegrete,Centenário,centenario,-29.7843714,-55.7677243,brasil_aberto,True
RS,4300406,Alegrete,Centro,centro,-29.780401,-55.7940713,brasil_aberto,True
RS,4300406,Alegrete,Cidade Alta,cidade alta,-29.7994446,-55.8021581,brasil_aberto,True
RS,4300406,Alegrete,Dr. Romário A de Oliveira,dr. romario a de oliveira,-29.807622,-55.7520912,brasil_aberto,True
RS,4300406,Alegrete,Durasnal,durasnal,-29.9259479,-55.5245688,brasil_aberto,True
RS,4300406,Alegrete,Emílio Zuneda,emilio zuneda,-29.7895276,-55.811191,brasil_aberto,True
RS,4300406,Alegrete,Favila,favila,-29.8063899,-55.7491153,brasil_aberto,True
RS,4300406,Alegrete,Fronteira Oeste,fronteira oeste,-29.8080866,-55.8070242,brasil_aberto,True
RS,4300406,Alegrete,Fênix,fenix,-29.806116,-55.8087355,brasil_aberto,True
RS,4300406,Alegrete,Gamino,gamino,-29.8145541,-55.8080348,brasil_aberto,True
RS,4300406,Alegrete,Getúlio Vargas,getulio vargas,-29.8018573,-55.7679475,brasil_aberto,True
RS,4300406,Alegrete,Grande,grande,-29.7923779,-55.8148062,brasil_aberto,True
RS,4300406,Alegrete,Guassu Boi,guassu boi,-29.4926512,-56.3781542,brasil_aberto,True
RS,4300406,Alegrete,Honório lemos,honorio lemos,-29.7976524,-55.7682197,brasil_aberto,True
RS,4300406,Alegrete,Ibirapuitã,ibirapuita,-29.8142076,-55.8079678,brasil_aberto,True
RS,4300406,Alegrete,Independência,independencia,-29.7920946,-55.7964369,brasil_aberto,True
RS,4300406,Alegrete,Inez,inez,-29.8045519,-55.8071774,brasil_aberto,True
RS,4300406,Alegrete,Inhanduí,inhandui,-29.91818139999999,-56.0525532,brasil_aberto,True
RS,4300406,Alegrete,Itapororó,itapororo,-29.4644722,-56.29425000000001,brasil_aberto,True
RS,4300406,Alegrete,Izabel,izabel,-29.7844885,-55.8023297,brasil_aberto,True
RS,4300406,Alegrete,Jardim Planalto,jardim planalto,-29.8070245,-55.8122458,brasil_aberto,True
RS,4300406,Alegrete,Joaquim Fonseca Milano,joaquim fonseca milano,-29.7869786,-55.805895,brasil_aberto,True
RS,4300406,Alegrete,José de Abreu,jose de abreu,-29.8163167,-55.8168676,brasil_aberto,True
RS,4300406,Alegrete,Kennedy,kennedy,-29.8058999,-55.8099364,brasil_aberto,True
RS,4300406,Alegrete,Lara,lara,-29.8039641,-55.8048287,brasil_aberto,True
RS,4300406,Alegrete,Liberdade,liberdade,-29.7941346,-55.8128553,brasil_aberto,True
RS,4300406,Alegrete,Macedo,macedo,-29.7839088,-55.8005871,brasil_aberto,True
RS,4300406,Alegrete,Maria do Carmo,maria do carmo,-29.8104344,-55.8131044,brasil_aberto,True
RS,4300406,Alegrete,Medianeira,medianeira,-29.8018039,-55.7894915,brasil_aberto,True
RS,4300406,Alegrete,Militar,militar,-29.7837672,-55.7936527,brasil_aberto,True
RS,4300406,Alegrete,Nilo Soares Gonçalves,nilo soares goncalves,-29.799139,-55.7747386,brasil_aberto,True
RS,4300406,Alegrete,Nossa Senhora da Conceição Aparecida,nossa senhora da conceicao aparecida,-29.807766,-55.7440482,brasil_aberto,True
RS,4300406,Alegrete,Nova Brasília,nova brasilia,-29.8014176,-55.7657672,brasil_aberto,True
RS,4300406,Alegrete,Novo Lar,novo lar,-29.8100832,-55.8078632,brasil_aberto,True
RS,4300406,Alegrete,Olhos D'Agua de Natal,olhos d'agua de natal,-29.8091449,-55.8046001,brasil_aberto,True
RS,4300406,Alegrete,Oswaldo Aranha,oswaldo aranha,-29.7897076,-55.7725524,brasil_aberto,True
RS,4300406,Alegrete,Palma,palma,-29.808357,-55.7504288,brasil_aberto,True
RS,4300406,Alegrete,Passo Novo,passo novo,-29.6798336,-55.53936599999999,brasil_aberto,True
RS,4300406,Alegrete,Pedreiras,pedreiras,-29.8068629,-55.8170229,brasil_aberto,True
RS,4300406,Alegrete,Piola,piola,-29.8125352,-55.8044499,brasil_aberto,True
RS,4300406,Alegrete,Prado,prado,-29.7985298,-55.8218235,brasil_aberto,True
RS,4300406,Alegrete,Praça da Lagoa,praca da lagoa,-29.8020421,-55.8021318,brasil_aberto,True
RS,4300406,Alegrete,Progresso,progresso,-29.7992242,-55.8138245,brasil_aberto,True
RS,4300406,Alegrete,Promorar,promorar,-29.7914614,-55.7728298,brasil_aberto,True
RS,4300406,Alegrete,Renascer,renascer,-29.7837672,-55.7936527,brasil_aberto,True
RS,4300406,Alegrete,Restinga,restinga,-29.7858271,-55.8055356,brasil_aberto,True
RS,4300406,Alegrete,Rincão de São Miguel,rincao de sao miguel,-29.8217724,-55.721166,brasil_aberto,True
RS,4300406,Alegrete,Rui Ramos,rui ramos,-29.76957,-55.7835736,brasil_aberto,True
RS,4300406,Alegrete,Saint Pastous,saint pastous,-29.799381,-55.7426509,brasil_aberto,True
RS,4300406,Alegrete,Santos Dumont,santos dumont,-29.797429,-55.7587835,brasil_aberto,True
RS,4300406,Alegrete,Saudade,saudade,-29.8020934,-55.8067521,brasil_aberto,True
RS,4300406,Alegrete,Segabinazi,segabinazi,-29.7947425,-55.76965089999999,brasil_aberto,True
RS,4300406,Alegrete,Sepé Tiaraju,sepe tiaraju,-29.7906141,-55.8115337,brasil_aberto,True
RS,4300406,Alegrete,São João,sao joao,-29.7926759,-55.7965972,brasil_aberto,True
RS,4300406,Alegrete,Tancredo Neves,tancredo neves,-29.7830947,-55.7819589,brasil_aberto,True
RS,4300406,Alegrete,Ulisses Guimarães,ulisses guimaraes,-29.8022278,-55.7395363,brasil_aberto,True
RS,4300406,Alegrete,Vasco Alves,vasco alves,-29.9175698,-55.9458976,brasil_aberto,True
RS,4300406,Alegrete,Vera Cruz,vera cruz,-29.7937979,-55.8092503,brasil_aberto,True
RS,4300406,Alegrete,Vila Nova,vila nova,-29.7768416,-55.7838524,brasil_aberto,True
RS,4300406,Alegrete,Área Rural de Alegrete,area rural de alegrete,-29.7837672,-55.7936527,brasil_aberto,True
RS,4300455,Alegria,Centro,centro,-27.8312541,-54.0571917,brasil_aberto,True
RS,4300455,Alegria,Espírito Santo,espirito santo,-27.8004707,-54.0085616,brasil_aberto,True
RS,4300471,Almirante Tamandaré do Sul,Centro,centro,-28.1138973,-52.9116717,brasil_aberto,True
RS,4300471,Almirante Tamandaré do Sul,Linha Vitória,linha vitoria,-28.0596542,-52.9662065,brasil_aberto,True
RS,4300471,Almirante Tamandaré do Sul,Rincão do Segredo,rincao do segredo,-28.1161177,-52.8521048,brasil_aberto,True
RS,4300505,Alpestre,Centro,centro,-27.2494858,-53.0351256,brasil_aberto,True
RS,4300505,Alpestre,Farinhas,farinhas,-27.1871229,-53.1487294,brasil_aberto,True
RS,4300505,Alpestre,Sertãozinho,sertaozinho,-27.2553461,-53.1116978,brasil_aberto,True
RS,4300505,Alpestre,Volta Grande,volta grande,-27.1231567,-53.0508101,brasil_aberto,True
RS,4300554,Alto Alegre,Linha Bonita,linha bonita,-28.8343804,-52.9769573,brasil_aberto,True
RS,4300554,Alto Alegre,Santa Lúcia,santa lucia,-28.8229713,-52.9964705,brasil_aberto,True
RS,4300554,Alto Alegre,São José,sao jose,-28.7716517,-52.9576162,brasil_aberto,True
RS,4300554,Alto Alegre,Treze de Maio,treze de maio,-28.8115695,-53.0339495,brasil_aberto,True
RS,4300570,Alto Feliz,Centro,centro,-29.3847949,-51.3127363,brasil_aberto,True
RS,4300604,Alvorada,Americana,americana,-29.9857427,-51.0879566,brasil_aberto,True
RS,4300604,Alvorada,Aparecida,aparecida,-30.0413005,-51.0584455,brasil_aberto,True
RS,4300604,Alvorada,Bela Vista,bela vista,-30.005756,-51.0789806,brasil_aberto,True
RS,4300604,Alvorada,Estância Grande,estancia grande,-29.9930532,-51.0378653,brasil_aberto,True
RS,4300604,Alvorada,Formoza,formoza,-30.0210309,-51.0523075,brasil_aberto,True
RS,4300604,Alvorada,Jardim Algarve,jardim algarve,-30.0426991,-51.0716882,brasil_aberto,True
RS,4300604,Alvorada,Jardim Esplanada,jardim esplanada,-30.0274064,-51.0524986,brasil_aberto,True
RS,4300604,Alvorada,Maria Regina,maria regina,-29.9812166,-51.0621807,brasil_aberto,True
RS,4300604,Alvorada,Maringá,maringa,-30.0274064,-51.0524986,brasil_aberto,True
RS,4300604,Alvorada,Nova Americana,nova americana,-29.9853737,-51.0687502,brasil_aberto,True
RS,4300604,Alvorada,Passo do Feijó,passo do feijo,-30.0031654,-51.0863302,brasil_aberto,True
RS,4300604,Alvorada,Piratini,piratini,-30.0274064,-51.0524986,brasil_aberto,True
RS,4300604,Alvorada,Stella Maris,stella maris,-29.9380864,-51.0360756,brasil_aberto,True
RS,4300604,Alvorada,Sumaré,sumare,-29.99429,-51.0777093,brasil_aberto,True
RS,4300604,Alvorada,Terra Nova,terra nova,-30.0434112,-51.0829022,brasil_aberto,True
RS,4300604,Alvorada,Tijuca,tijuca,-30.0217106,-51.0587256,brasil_aberto,True
