Uf,CityIbgeCode,City,Neighborhood,NormalizedName,Latitude,Longitude,Source,IsActive
SE,2800100,Amparo do São Francisco,Centro,centro,-10.1350466,-36.9217697,brasil_aberto,True
SE,2800209,Aquidabã,Centro,centro,-10.28106689,-37.01725006,brasil_aberto,True
SE,2800308,Aracaju,17 de Março,17 de marco,-10.9945879,-37.0981774,brasil_aberto,True
SE,2800308,Aracaju,Aeroporto,aeroporto,-10.99792,-37.0696075,brasil_aberto,True
SE,2800308,Aracaju,América,america,-10.91680717,-37.07443237,brasil_aberto,True
SE,2800308,Aracaju,Aruana,aruana,-11.01221466,-37.07714844,brasil_aberto,True
SE,2800308,Aracaju,Atalaia,atalaia,-10.98685455,-37.05392456,brasil_aberto,True
SE,2800308,Aracaju,Bugio,bugio,-10.8934699,-37.0958495,brasil_aberto,True
SE,2800308,Aracaju,Capucho,capucho,-10.9339599,-37.075962,brasil_aberto,True
SE,2800308,Aracaju,Centro,centro,-10.9088997,-37.0505224,brasil_aberto,True
SE,2800308,Aracaju,Cidade Nova,cidade nova,-10.8911927,-37.0688965,brasil_aberto,True
SE,2800308,Aracaju,Cirurgia,cirurgia,-10.91716766,-37.0674057,brasil_aberto,True
SE,2800308,Aracaju,Coroa do Meio,coroa do meio,-10.9620009,-37.0427907,brasil_aberto,True
SE,2800308,Aracaju,Dezoito do Forte,dezoito do forte,-10.9037382,-37.0723409,brasil_aberto,True
SE,2800308,Aracaju,Dom Luciano,dom luciano,-10.8878895,-37.0792391,brasil_aberto,True
SE,2800308,Aracaju,Farolândia,farolandia,-10.97343636,-37.07145691,brasil_aberto,True
SE,2800308,Aracaju,Gameleira,gameleira,-11.0731088,-37.1166229,brasil_aberto,True
SE,2800308,Aracaju,Getúlio Vargas,getulio vargas,-10.9417509,-37.0854606,brasil_aberto,True
SE,2800308,Aracaju,Grageru,grageru,-10.94277287,-37.0678215,brasil_aberto,True
SE,2800308,Aracaju,Industrial,industrial,-10.8939106,-37.0562322,brasil_aberto,True
SE,2800308,Aracaju,Inácio Barbosa,inacio barbosa,-10.94219494,-37.07422256,brasil_aberto,True
SE,2800308,Aracaju,Jabotiana,jabotiana,-10.94439411,-37.08823776,brasil_aberto,True
SE,2800308,Aracaju,Japãozinho,japaozinho,-10.8822026,-37.0677278,brasil_aberto,True
SE,2800308,Aracaju,Jardim Centenário,jardim centenario,-10.89713955,-37.09800339,brasil_aberto,True
SE,2800308,Aracaju,Jardins,jardins,-10.93812466,-37.0537529,brasil_aberto,True
SE,2800308,Aracaju,José Conrado de Araújo,jose conrado de araujo,-10.9057311,-37.0901787,brasil_aberto,True
SE,2800308,Aracaju,Lamarão,lamarao,-10.8726359,-37.0776918,brasil_aberto,True
SE,2800308,Aracaju,Luzia,luzia,-10.9327917,-37.0635931,brasil_aberto,True
SE,2800308,Aracaju,Marivan,marivan,-10.9771611,-37.091141,brasil_aberto,True
SE,2800308,Aracaju,Novo Paraíso,novo paraiso,-10.91230202,-37.08702087,brasil_aberto,True
SE,2800308,Aracaju,Olaria,olaria,-10.9033956,-37.1002001,brasil_aberto,True
SE,2800308,Aracaju,Palestina,palestina,-10.8962822,-37.0669032,brasil_aberto,True
SE,2800308,Aracaju,Pereira Lobo,pereira lobo,-10.91716766,-37.0674057,brasil_aberto,True
SE,2800308,Aracaju,Ponto Novo,ponto novo,-10.9322251,-37.0721997,brasil_aberto,True
SE,2800308,Aracaju,Porto D'Antas,porto d'antas,-10.87641239,-37.05187607,brasil_aberto,True
SE,2800308,Aracaju,Salgado Filho,salgado filho,-10.9263594,-37.0559296,brasil_aberto,True
SE,2800308,Aracaju,Santa Maria,santa maria,-10.9966038,-37.1001159,brasil_aberto,True
SE,2800308,Aracaju,Santo Antônio,santo antonio,-10.9030056,-37.05797958,brasil_aberto,True
SE,2800308,Aracaju,Santos Dumont,santos dumont,-10.90079021,-37.0827179,brasil_aberto,True
SE,2800308,Aracaju,Siqueira Campos,siqueira campos,-10.91680717,-37.07443237,brasil_aberto,True
SE,2800308,Aracaju,Soledade,soledade,-10.8801317,-37.0896881,brasil_aberto,True
SE,2800308,Aracaju,Suíssa,suissa,-10.9245898,-37.0611784,brasil_aberto,True
SE,2800308,Aracaju,São Conrado,sao conrado,-10.9662121,-37.0805213,brasil_aberto,True
SE,2800308,Aracaju,São José,sao jose,-10.92472076,-37.05293655,brasil_aberto,True
SE,2800308,Aracaju,Treze de Julho,treze de julho,-10.93264771,-37.05199432,brasil_aberto,True
SE,2800308,Aracaju,Zona de Expansão (Areia Branca),zona de expansao (areia branca),,,brasil_aberto,True
SE,2800308,Aracaju,Zona de Expansão (Mosqueiro),zona de expansao (mosqueiro),,,brasil_aberto,True
SE,2800308,Aracaju,Zona de Expansão (Robalo),zona de expansao (robalo),,,brasil_aberto,True
SE,2800407,Arauá,Centro,centro,-11.2644381,-37.6179547,brasil_aberto,True
SE,2800605,Barra dos Coqueiros,Alphaville,alphaville,-10.9301076,-37.0250796,brasil_aberto,True
SE,2800605,Barra dos Coqueiros,Baixo,baixo,,,brasil_aberto,True
SE,2800605,Barra dos Coqueiros,Brisas de Atalaia,brisas de atalaia,-10.9233331,-37.0185441,brasil_aberto,True
SE,2800605,Barra dos Coqueiros,Centro,centro,-10.947224,-37.0294982,brasil_aberto,True
SE,2800605,Barra dos Coqueiros,Luar da Barra,luar da barra,-10.9087874,-37.0133486,brasil_aberto,True
SE,2800605,Barra dos Coqueiros,Marivan,marivan,-10.9037694,-37.0335502,brasil_aberto,True
SE,2800605,Barra dos Coqueiros,Olimar,olimar,-10.900769,-37.0339031,brasil_aberto,True
SE,2800605,Barra dos Coqueiros,Prisco Viana,prisco viana,-10.911822,-37.0317976,brasil_aberto,True
SE,2800605,Barra dos Coqueiros,Zona de Expansão (Olhos D'Agua),zona de expansao (olhos d'agua),,,brasil_aberto,True
SE,2800670,Boquim,Centro,centro,-11.1470968,-37.6217504,brasil_aberto,True
SE,2800704,Brejo Grande,Centro,centro,-10.4685787,-36.4838051,brasil_aberto,True
SE,2801009,Campo do Brito,Centro,centro,-10.91242409,-37.04932022,brasil_aberto,True
SE,2801108,Canhoba,Centro,centro,-10.1395787,-36.9754471,brasil_aberto,True
SE,2801207,Canindé de São Francisco,Centro,centro,-9.6603632,-37.7907134,brasil_aberto,True
SE,2801306,Capela,Barracas,barracas,-10.421488,-37.0451603,brasil_aberto,True
SE,2801306,Capela,Miranda,miranda,-10.5921525,-37.0343807,brasil_aberto,True
SE,2801306,Capela,Pedras,pedras,-10.481493,-37.092502,brasil_aberto,True
SE,2801405,Carira,Altos Verdes,altos verdes,-10.375247,-37.60871887,brasil_aberto,True
SE,2801405,Carira,Centro,centro,-10.3561041,-37.7022384,brasil_aberto,True
SE,2801504,Carmópolis,Centro,centro,-10.64886284,-36.98518753,brasil_aberto,True
SE,2801603,Cedro de São João,Centro,centro,-10.24915981,-36.88339233,brasil_aberto,True
SE,2801702,Cristinápolis,Centro,centro,-11.4752276,-37.7545092,brasil_aberto,True
SE,2801900,Cumbe,Centro,centro,-10.35535336,-37.18118286,brasil_aberto,True
SE,2802007,Divina Pastora,Centro,centro,-22.90259361,-43.17739487,brasil_aberto,True
SE,2802106,Estância,Alagoas,alagoas,-11.2568951,-37.4368682,brasil_aberto,True
SE,2802106,Estância,Centro,centro,-11.27087212,-37.43904877,brasil_aberto,True
SE,2802106,Estância,Cidade Nova,cidade nova,-23.38576,-47.3351771,brasil_aberto,True
SE,2802205,Feira Nova,Tancredo Neves,tancredo neves,,,brasil_aberto,True
SE,2802304,Frei Paulo,Centro,centro,-10.55210018,-37.53004837,brasil_aberto,True
SE,2802403,Gararu,Centro,centro,-9.9695359,-37.0826107,brasil_aberto,True
SE,2802403,Gararu,Lagoa Funda,lagoa funda,-10.011621,-36.9594305,brasil_aberto,True
SE,2802403,Gararu,São Mateus da Palestina,sao mateus da palestina,-10.06847382,-37.3045578,brasil_aberto,True
SE,2802502,General Maynard,Centro,centro,-10.68788338,-36.98506546,brasil_aberto,True
SE,2802601,Graccho Cardoso,Centro,centro,-19.53698921,-40.63090897,brasil_aberto,True
SE,2802700,Ilha das Flores,Centro,centro,-25.43074417,-49.26874161,brasil_aberto,True
SE,2802809,Indiaroba,Centro,centro,-11.519414,-37.5130816,brasil_aberto,True
SE,2802908,Itabaiana,Anízio Amancio de Oliveira,anizio amancio de oliveira,-10.68772221,-37.42415619,brasil_aberto,True
SE,2802908,Itabaiana,Bananeiras,bananeiras,-10.68204117,-37.42612076,brasil_aberto,True
SE,2802908,Itabaiana,Doutor José Milton Machado,doutor jose milton machado,-10.6988077,-37.4404381,brasil_aberto,True
SE,2802908,Itabaiana,Mamede Paes Mendonça,mamede paes mendonca,-10.68089199,-37.43221664,brasil_aberto,True
SE,2802908,Itabaiana,Marcela,marcela,-10.6761981,-37.4282634,brasil_aberto,True
SE,2802908,Itabaiana,Marianga,marianga,-10.69723415,-37.42641449,brasil_aberto,True
