Uf,CityIbgeCode,City,Neighborhood,NormalizedName,Latitude,Longitude,Source,IsActive
SP,3500105,Adamantina,Área Comercial Luiz Stechi,area comercial luiz stechi,-21.678696,-51.059295,mapbox_geocoding,True
SP,3500105,Adamantina,Área Comercial Valentim Gatti,area comercial valentim gatti,-21.683518,-51.055165,mapbox_geocoding,True
SP,3500105,Adamantina,Área Rural de Adamantina,area rural de adamantina,-23.487907,-48.408153,mapbox_geocoding,True
SP,3500105,Adamantina,Bairro Córrego Tocantins,bairro corrego tocantins,-21.681668,-51.05515,mapbox_geocoding,True
SP,3500105,Adamantina,Centro,centro,-21.687363,-51.078583,mapbox_geocoding,True
SP,3500105,Adamantina,Condomínio Bellagio Residencial Clube,condominio bellagio residencial clube,-21.692382,-51.081129,mapbox_geocoding,True
SP,3500105,Adamantina,Condomínio Residencial Ecoville,condominio residencial ecoville,-21.673029,-51.061596,mapbox_geocoding,True
SP,3500105,Adamantina,Condomínio Residencial Ecoville II,condominio residencial ecoville ii,-21.673029,-51.061596,mapbox_geocoding,True
SP,3500105,Adamantina,Condomínio Residencial Portugal,condominio residencial portugal,-21.671664,-51.086175,mapbox_geocoding,True
SP,3500105,Adamantina,Condomínio Residencial Portugal II,condominio residencial portugal ii,-21.674329,-51.090609,mapbox_geocoding,True
SP,3500105,Adamantina,Conjunto Habitacional das Azaleias,conjunto habitacional das azaleias,-21.677384,-51.069017,mapbox_geocoding,True
SP,3500105,Adamantina,Conjunto Habitacional das Palmeiras,conjunto habitacional das palmeiras,-21.690531,-51.082477,mapbox_geocoding,True
SP,3500105,Adamantina,Conjunto Habitacional Emílio Casas Fidalgo,conjunto habitacional emilio casas fidalgo,-23.658252,-46.637018,mapbox_geocoding,True
SP,3500105,Adamantina,Conjunto Habitacional Governador Mário Covas Junior,conjunto habitacional governador mario covas junior,-21.687079,-51.081944,mapbox_geocoding,True
SP,3500105,Adamantina,Conjunto Habitacional Governador Mário Covas Junior II,conjunto habitacional governador mario covas junior ii,-21.684423,-51.091525,mapbox_geocoding,True
SP,3500105,Adamantina,Conjunto Habitacional Jardim das Acácias,conjunto habitacional jardim das acacias,-21.685702,-51.078342,mapbox_geocoding,True
SP,3500105,Adamantina,Conjunto Habitacional Murilo Jaccoud,conjunto habitacional murilo jaccoud,-21.683192,-51.060116,mapbox_geocoding,True
SP,3500105,Adamantina,Conjunto Habitacional Naur Ballusci,conjunto habitacional naur ballusci,-23.139837,-46.711603,mapbox_geocoding,True
SP,3500105,Adamantina,Conjunto Habitacional Oiti,conjunto habitacional oiti,-21.696645,-51.070709,mapbox_geocoding,True
SP,3500105,Adamantina,Conjunto Residencial Ipê,conjunto residencial ipe,-21.692382,-51.081129,mapbox_geocoding,True
SP,3500105,Adamantina,Desmembramento Alfredo Pugnali,desmembramento alfredo pugnali,-21.69217,-51.086741,mapbox_geocoding,True
SP,3500105,Adamantina,Desmembramento Boa Esperança,desmembramento boa esperanca,-21.69217,-51.086741,mapbox_geocoding,True
SP,3500105,Adamantina,Desmembramento Comercial,desmembramento comercial,-21.68239,-51.070735,mapbox_geocoding,True
SP,3500105,Adamantina,Desmembramento Dorigo,desmembramento dorigo,-21.706255,-51.057795,mapbox_geocoding,True
SP,3500105,Adamantina,Desmembramento Ecoville II,desmembramento ecoville ii,-21.673029,-51.061596,mapbox_geocoding,True
SP,3500105,Adamantina,Desmembramento Estância Dorigo II,desmembramento estancia dorigo ii,-21.706056,-51.06093,mapbox_geocoding,True
SP,3500105,Adamantina,Desmembramento Guidini,desmembramento guidini,-21.696572,-51.076004,mapbox_geocoding,True
SP,3500105,Adamantina,Desmembramento Jóia,desmembramento joia,-21.681105,-51.067638,mapbox_geocoding,True
SP,3500105,Adamantina,Desmembramento Kobori,desmembramento kobori,-21.692382,-51.081129,mapbox_geocoding,True
SP,3500105,Adamantina,Desmembramento Morgado,desmembramento morgado,-21.693505,-51.0798,mapbox_geocoding,True
SP,3500105,Adamantina,Desmembramento Pioneiros,desmembramento pioneiros,-21.689992,-51.085788,mapbox_geocoding,True
SP,3500105,Adamantina,Desmembramento Sakai,desmembramento sakai,-21.69468,-51.082407,mapbox_geocoding,True
SP,3500105,Adamantina,Desmembramento San Conrado,desmembramento san conrado,-23.961395,-46.324871,mapbox_geocoding,True
SP,3500105,Adamantina,Desmembramento Santa Helena,desmembramento santa helena,-21.674749,-51.079397,mapbox_geocoding,True
SP,3500105,Adamantina,Desmembramento Vila Neuza,desmembramento vila neuza,-21.698417,-51.078969,mapbox_geocoding,True
SP,3500105,Adamantina,Desmembramento Vila Neuza I,desmembramento vila neuza i,-21.698417,-51.078969,mapbox_geocoding,True
SP,3500105,Adamantina,Desmembramento Village I,desmembramento village i,-21.696996,-51.065272,mapbox_geocoding,True
SP,3500105,Adamantina,Desmembramento Village II,desmembramento village ii,-21.696996,-51.065272,mapbox_geocoding,True
SP,3500105,Adamantina,Desmembramento Vitali Capaldi,desmembramento vitali capaldi,-21.69468,-51.082407,mapbox_geocoding,True
SP,3500105,Adamantina,Distrito Industrial Senhor Otávio Gavazzi,distrito industrial senhor otavio gavazzi,-21.672349,-51.076017,mapbox_geocoding,True
SP,3500105,Adamantina,Estância Dorigo,estancia dorigo,-21.705376,-51.060494,mapbox_geocoding,True
SP,3500105,Adamantina,Jardim Adamantina,jardim adamantina,-21.674749,-51.079397,mapbox_geocoding,True
SP,3500105,Adamantina,Jardim Aeroporto,jardim aeroporto,-21.694641,-51.067433,mapbox_geocoding,True
SP,3500105,Adamantina,Jardim América,jardim america,-21.689992,-51.085788,mapbox_geocoding,True
SP,3500105,Adamantina,Jardim Aviação,jardim aviacao,-21.694641,-51.067433,mapbox_geocoding,True
SP,3500105,Adamantina,Jardim Bela Vista,jardim bela vista,-21.711435,-51.053339,mapbox_geocoding,True
SP,3500105,Adamantina,Jardim Brasil,jardim brasil,-21.694641,-51.067433,mapbox_geocoding,True
SP,3500105,Adamantina,Jardim Dalphalo,jardim dalphalo,-21.687079,-51.081944,mapbox_geocoding,True
SP,3500105,Adamantina,Jardim das Alamandas,jardim das alamandas,-21.679582,-51.080884,mapbox_geocoding,True
SP,3500105,Adamantina,Jardim das Primaveras,jardim das primaveras,-21.674749,-51.079397,mapbox_geocoding,True
SP,3500105,Adamantina,Jardim das Tipuanas,jardim das tipuanas,-21.697541,-51.069228,mapbox_geocoding,True
SP,3500105,Adamantina,Jardim dos Bandeirantes,jardim dos bandeirantes,-21.7113,-51.056284,mapbox_geocoding,True
SP,3500105,Adamantina,Jardim dos Poetas,jardim dos poetas,-21.709349,-51.057708,mapbox_geocoding,True
SP,3500105,Adamantina,Jardim Europa,jardim europa,-21.692382,-51.081129,mapbox_geocoding,True
SP,3500105,Adamantina,Jardim Ipiranga,jardim ipiranga,-21.6859439,-51.0824678,brasil_aberto_first_street,True
SP,3500105,Adamantina,Jardim Oriente,jardim oriente,-21.681105,-51.067638,mapbox_geocoding,True
SP,3500105,Adamantina,Jardim Paulista,jardim paulista,-21.697078,-51.076961,mapbox_geocoding,True
SP,3500105,Adamantina,Jardim San Fernando,jardim san fernando,-21.696572,-51.076004,mapbox_geocoding,True
SP,3500105,Adamantina,Jardim Santa Inês,jardim santa ines,-21.694097,-51.080576,mapbox_geocoding,True
SP,3500105,Adamantina,Parque CECAP,parque cecap,-21.692382,-51.081129,mapbox_geocoding,True
SP,3500105,Adamantina,Parque do Sol,parque do sol,-21.672015,-51.065063,mapbox_geocoding,True
SP,3500105,Adamantina,Parque dos Lagos,parque dos lagos,-21.692949,-51.045941,mapbox_geocoding,True
SP,3500105,Adamantina,Parque Giuliano,parque giuliano,-21.675798,-51.086457,mapbox_geocoding,True
SP,3500105,Adamantina,Parque Itaipus,parque itaipus,-21.664486,-51.086785,mapbox_geocoding,True
SP,3500105,Adamantina,Parque Itapuã,parque itapua,-21.687079,-51.081944,mapbox_geocoding,True
SP,3500105,Adamantina,Parque Paraíso,parque paraiso,-21.697541,-51.069228,mapbox_geocoding,True
SP,3500105,Adamantina,Parque Residencial Iguaçu,parque residencial iguacu,-21.689992,-51.085788,mapbox_geocoding,True
SP,3500105,Adamantina,Parque Residencial Itamarati,parque residencial itamarati,-21.679908,-51.063441,mapbox_geocoding,True
SP,3500105,Adamantina,Parque Residencial Jaraguá,parque residencial jaragua,-21.689992,-51.085788,mapbox_geocoding,True
SP,3500105,Adamantina,Parque Universitário,parque universitario,-21.674749,-51.079397,mapbox_geocoding,True
SP,3500105,Adamantina,Residencial Aguapeí,residencial aguapei,-21.674508,-51.077749,mapbox_geocoding,True
SP,3500105,Adamantina,Residencial Aliança,residencial alianca,-22.7143,-47.643799,mapbox_geocoding,True
SP,3500105,Adamantina,Residencial Altos da Colina,residencial altos da colina,-21.665816,-51.088951,mapbox_geocoding,True
SP,3500105,Adamantina,Residencial Barcelona,residencial barcelona,-21.682311,-51.094717,mapbox_geocoding,True
SP,3500105,Adamantina,Residencial Boa Vista,residencial boa vista,-21.68863,-51.072598,mapbox_geocoding,True
SP,3500105,Adamantina,Residencial Bonanza,residencial bonanza,-23.448914,-46.453648,mapbox_geocoding,True
SP,3500105,Adamantina,Residencial Buritis,residencial buritis,-21.679834,-51.055083,mapbox_geocoding,True
SP,3500105,Adamantina,Residencial Califórnia Park,residencial california park,-21.676034,-51.092691,mapbox_geocoding,True
SP,3500105,Adamantina,Residencial Campos Verdes,residencial campos verdes,-21.695159,-51.085052,mapbox_geocoding,True
SP,3500105,Adamantina,Residencial Eldorado,residencial eldorado,-21.676458,-51.084734,mapbox_geocoding,True
SP,3500105,Adamantina,Residencial Eldorado II,residencial eldorado ii,-21.678916,-51.090526,mapbox_geocoding,True
SP,3500105,Adamantina,Residencial Gran Village,residencial gran village,-21.697011,-51.064342,mapbox_geocoding,True
SP,3500105,Adamantina,Residencial Ihity Endo,residencial ihity endo,-21.69468,-51.082407,mapbox_geocoding,True
SP,3500105,Adamantina,Residencial Itália,residencial italia,-21.709828,-51.060679,mapbox_geocoding,True
SP,3500105,Adamantina,Residencial Itália II,residencial italia ii,-21.711458,-51.062479,mapbox_geocoding,True
SP,3500105,Adamantina,Residencial Millenium,residencial millenium,-21.692382,-51.081129,mapbox_geocoding,True
SP,3500105,Adamantina,Residencial Montagnoli,residencial montagnoli,-21.71311,-51.05482,mapbox_geocoding,True
SP,3500105,Adamantina,Residencial Monte Alegre,residencial monte alegre,-21.675687,-51.087684,mapbox_geocoding,True
SP,3500105,Adamantina,Residencial Monte Carlo,residencial monte carlo,-21.702091,-51.072847,mapbox_geocoding,True
SP,3500105,Adamantina,Residencial Morumbi,residencial morumbi,-21.699371,-51.071031,mapbox_geocoding,True
SP,3500105,Adamantina,Residencial Novo Horizonte,residencial novo horizonte,-21.697078,-51.076961,mapbox_geocoding,True
SP,3500105,Adamantina,Residencial Parque das Nações,residencial parque das nacoes,-21.674749,-51.079397,mapbox_geocoding,True
SP,3500105,Adamantina,Residencial Parque dos Pássaros,residencial parque dos passaros,-21.682311,-51.094717,mapbox_geocoding,True
SP,3500105,Adamantina,Residencial Parque Esmeralda,residencial parque esmeralda,-21.704613,-51.078742,mapbox_geocoding,True
SP,3500105,Adamantina,Residencial Parque Morada do Sol,residencial parque morada do sol,-21.676155,-51.072038,mapbox_geocoding,True
SP,3500105,Adamantina,Residencial Parque Tangará,residencial parque tangara,-21.680063,-51.079007,mapbox_geocoding,True
SP,3500105,Adamantina,Residencial Rio Branco,residencial rio branco,-21.674749,-51.079397,mapbox_geocoding,True
SP,3500105,Adamantina,Residencial San José,residencial san jose,-21.699502,-51.067704,mapbox_geocoding,True
SP,3500105,Adamantina,Residencial San Miguel,residencial san miguel,-21.687862,-51.091034,mapbox_geocoding,True
SP,3500105,Adamantina,Residencial San Miguel II,residencial san miguel ii,-21.7007,-51.085261,mapbox_geocoding,True
SP,3500105,Adamantina,Residencial Santa Adelaide,residencial santa adelaide,-21.69049,-51.083877,mapbox_geocoding,True
SP,3500105,Adamantina,Residencial Santa Mônica,residencial santa monica,-21.701092,-51.067529,mapbox_geocoding,True
SP,3500105,Adamantina,Residencial Siqueira II,residencial siqueira ii,-22.996467,-46.520759,mapbox_geocoding,True
SP,3500105,Adamantina,Residencial Veredas,residencial veredas,-23.135885,-45.768647,mapbox_geocoding,True
SP,3500105,Adamantina,Residencial Vista Verde,residencial vista verde,-21.704826,-51.081572,mapbox_geocoding,True
SP,3500105,Adamantina,Residencial Vista Verde II,residencial vista verde ii,-21.705326,-51.083961,mapbox_geocoding,True
SP,3500105,Adamantina,Vila Bandeirantes,vila bandeirantes,-21.683874,-51.072786,mapbox_geocoding,True
SP,3500105,Adamantina,Vila Christina,vila christina,-21.683874,-51.072786,mapbox_geocoding,True
SP,3500105,Adamantina,Vila Cicma,vila cicma,-21.696421,-51.074055,mapbox_geocoding,True
SP,3500105,Adamantina,Vila Endo,vila endo,-21.695111,-51.083242,mapbox_geocoding,True
SP,3500105,Adamantina,Vila Fátima,vila fatima,-21.695111,-51.083242,mapbox_geocoding,True
SP,3500105,Adamantina,Vila Freitas,vila freitas,-3.980562,-38.538131,mapbox_geocoding,True
SP,3500105,Adamantina,Vila Fudimori,vila fudimori,-21.694097,-51.080576,mapbox_geocoding,True
SP,3500105,Adamantina,Vila Industrial,vila industrial,-23.961395,-46.324871,mapbox_geocoding,True
SP,3500105,Adamantina,Vila Jamil de Lima,vila jamil de lima,-21.680645,-51.068483,mapbox_geocoding,True
SP,3500105,Adamantina,Vila Jardim,vila jardim,-21.682736,-51.066505,mapbox_geocoding,True
SP,3500105,Adamantina,Vila Jardim Jurema,vila jardim jurema,-21.683874,-51.072786,mapbox_geocoding,True
SP,3500105,Adamantina,Vila Joaquina,vila joaquina,-21.687363,-51.078583,mapbox_geocoding,True
SP,3500105,Adamantina,Vila Nilza,vila nilza,-21.697078,-51.076961,mapbox_geocoding,True
SP,3500105,Adamantina,Vila Olivero,vila olivero,-21.696421,-51.074055,mapbox_geocoding,True
SP,3500204,Adolfo,Área Rural de Adolfo,area rural de adolfo,-23.487907,-48.408153,mapbox_geocoding,True
SP,3500204,Adolfo,Centro,centro,-21.246436,-52.028655,mapbox_geocoding,True
SP,3500204,Adolfo,Conjunto Habitacional Marino Celoto,conjunto habitacional marino celoto,-21.238642,-49.640342,mapbox_geocoding,True
SP,3500204,Adolfo,Distrito Industrial,distrito industrial,-21.246436,-52.028655,mapbox_geocoding,True
SP,3500204,Adolfo,Jardim Aldeia,jardim aldeia,-21.234143,-49.642401,mapbox_geocoding,True
SP,3500204,Adolfo,Jardim Amaral,jardim amaral,-21.229825,-49.635513,mapbox_geocoding,True
SP,3500204,Adolfo,Jardim Celeste,jardim celeste,-21.237496,-49.646909,mapbox_geocoding,True
SP,3500204,Adolfo,Jardim das Oliveiras,jardim das oliveiras,-21.234013,-49.63852,mapbox_geocoding,True
SP,3500204,Adolfo,Jardim dos Laranjais,jardim dos laranjais,-21.237496,-49.646909,mapbox_geocoding,True
SP,3500204,Adolfo,Jardim Espanha,jardim espanha,-21.234013,-49.63852,mapbox_geocoding,True
SP,3500204,Adolfo,Jardim Mantovan,jardim mantovan,-21.236268,-49.647351,mapbox_geocoding,True
SP,3500204,Adolfo,Jardim Primavera,jardim primavera,-21.234013,-49.63852,mapbox_geocoding,True
SP,3500204,Adolfo,Residencial Anallinne I,residencial anallinne i,-21.234648,-49.651507,mapbox_geocoding,True
SP,3500204,Adolfo,Residencial Anallinne II,residencial anallinne ii,-21.229321,-49.638121,mapbox_geocoding,True
SP,3500204,Adolfo,Residencial Anallinne III,residencial anallinne iii,-21.234437,-49.522025,mapbox_geocoding,True
SP,3500204,Adolfo,Residencial Gandini,residencial gandini,-21.228412,-49.637603,mapbox_geocoding,True
SP,3500204,Adolfo,Residencial Martinez,residencial martinez,-21.229577,-49.646354,mapbox_geocoding,True
SP,3500204,Adolfo,Residencial Tavares,residencial tavares,-21.231527,-49.63552,mapbox_geocoding,True
SP,3500204,Adolfo,São João,sao joao,-21.234385,-49.647764,mapbox_geocoding,True
SP,3500204,Adolfo,Vila Celestino Tedeschi,vila celestino tedeschi,-21.246436,-52.028655,mapbox_geocoding,True
SP,3500204,Adolfo,Vila Santos Reis,vila santos reis,-23.609176,-46.719106,mapbox_geocoding,True
SP,3500303,Aguaí,Área Rural de Aguaí,area rural de aguai,-19.70093918,-40.61692047,brasil_aberto_first_street,True
SP,3500303,Aguaí,Centro,centro,-23.56644821,-46.74371338,brasil_aberto_first_street,True
SP,3500303,Aguaí,Centro Prisional,centro prisional,-21.475675,-47.02178,mapbox_geocoding,True
SP,3500303,Aguaí,Chácara Bela Vista,chacara bela vista,-22.0630073,-46.9760619,brasil_aberto_first_street,True
SP,3500303,Aguaí,Chácara Boa Sorte,chacara boa sorte,-22.0553775,-46.9802597,brasil_aberto_first_street,True
SP,3500303,Aguaí,Chácara São Francisco,chacara sao francisco,-19.81368637,-43.18783569,brasil_aberto_first_street,True
SP,3500303,Aguaí,Cidade Nova,cidade nova,-22.04589844,-46.97745895,brasil_aberto_first_street,True
SP,3500303,Aguaí,Condomínio Terras de Aguaí,condominio terras de aguai,-22.05986214,-46.96393967,brasil_aberto_first_street,True
SP,3500303,Aguaí,Condomínio Terras de São Paulo,condominio terras de sao paulo,-22.057964,-46.97785,brasil_aberto_first_street,True
SP,3500303,Aguaí,Conjunto Habitacional Benedito Mamede Junior,conjunto habitacional benedito mamede junior,-22.05652237,-46.96241379,brasil_aberto_first_street,True
SP,3500303,Aguaí,Conjunto Habitacional Tarcizio Alonso,conjunto habitacional tarcizio alonso,-22.00966,-47.419671,mapbox_geocoding,True
SP,3500303,Aguaí,Curtume,curtume,-22.0655064,-46.9702908,brasil_aberto_first_street,True
SP,3500303,Aguaí,Distrito Industrial II Luiz Carlos da Costa,distrito industrial ii luiz carlos da costa,-20.5176053,-48.5612516,brasil_aberto_first_street,True
SP,3500303,Aguaí,Distrito Industrial Juliano Sereni,distrito industrial juliano sereni,-22.0747217,-46.9855186,brasil_aberto_first_street,True
SP,3500303,Aguaí,Diva Assad,diva assad,-22.01119232,-46.97443008,brasil_aberto_first_street,True
SP,3500303,Aguaí,Gallardo,gallardo,-22.057964,-46.97785,brasil_aberto_first_street,True
SP,3500303,Aguaí,Gleba Bartok,gleba bartok,-22.065959,-46.974109,brasil_aberto_first_street,True
SP,3500303,Aguaí,Gleba Godoy,gleba godoy,-22.06566238,-46.97481537,brasil_aberto_first_street,True
SP,3500303,Aguaí,Henrique Pires,henrique pires,-22.0646571,-46.9732095,brasil_aberto_first_street,True
SP,3500303,Aguaí,Jardim Aeroporto,jardim aeroporto,-22.09246635,-46.98453903,brasil_aberto_first_street,True
