Uf,CityIbgeCode,City,Neighborhood,NormalizedName,Latitude,Longitude,Source,IsActive
SP,3500105,Adamantina,Área Comercial Luiz Stechi,area comercial luiz stechi,,,dne,True
SP,3500105,Adamantina,Área Comercial Valentim Gatti,area comercial valentim gatti,,,dne,True
SP,3500105,Adamantina,Área Rural de Adamantina,area rural de adamantina,,,dne,True
SP,3500105,Adamantina,Bairro Córrego Tocantins,bairro corrego tocantins,,,dne,True
SP,3500105,Adamantina,Centro,centro,,,dne,True
SP,3500105,Adamantina,Condomínio Bellagio Residencial Clube,condominio bellagio residencial clube,,,dne,True
SP,3500105,Adamantina,Condomínio Residencial Ecoville,condominio residencial ecoville,,,dne,True
SP,3500105,Adamantina,Condomínio Residencial Ecoville II,condominio residencial ecoville ii,,,dne,True
SP,3500105,Adamantina,Condomínio Residencial Portugal,condominio residencial portugal,,,dne,True
SP,3500105,Adamantina,Condomínio Residencial Portugal II,condominio residencial portugal ii,,,dne,True
SP,3500105,Adamantina,Conjunto Habitacional das Azaleias,conjunto habitacional das azaleias,,,dne,True
SP,3500105,Adamantina,Conjunto Habitacional das Palmeiras,conjunto habitacional das palmeiras,,,dne,True
SP,3500105,Adamantina,Conjunto Habitacional Emílio Casas Fidalgo,conjunto habitacional emilio casas fidalgo,,,dne,True
SP,3500105,Adamantina,Conjunto Habitacional Governador Mário Covas Junior,conjunto habitacional governador mario covas junior,,,dne,True
SP,3500105,Adamantina,Conjunto Habitacional Governador Mário Covas Junior II,conjunto habitacional governador mario covas junior ii,,,dne,True
SP,3500105,Adamantina,Conjunto Habitacional Jardim das Acácias,conjunto habitacional jardim das acacias,,,dne,True
SP,3500105,Adamantina,Conjunto Habitacional Murilo Jaccoud,conjunto habitacional murilo jaccoud,,,dne,True
SP,3500105,Adamantina,Conjunto Habitacional Naur Ballusci,conjunto habitacional naur ballusci,,,dne,True
SP,3500105,Adamantina,Conjunto Habitacional Oiti,conjunto habitacional oiti,,,dne,True
SP,3500105,Adamantina,Conjunto Residencial Ipê,conjunto residencial ipe,,,dne,True
SP,3500105,Adamantina,Desmembramento Alfredo Pugnali,desmembramento alfredo pugnali,,,dne,True
SP,3500105,Adamantina,Desmembramento Boa Esperança,desmembramento boa esperanca,,,dne,True
SP,3500105,Adamantina,Desmembramento Comercial,desmembramento comercial,,,dne,True
SP,3500105,Adamantina,Desmembramento Dorigo,desmembramento dorigo,,,dne,True
SP,3500105,Adamantina,Desmembramento Ecoville II,desmembramento ecoville ii,,,dne,True
SP,3500105,Adamantina,Desmembramento Estância Dorigo II,desmembramento estancia dorigo ii,,,dne,True
SP,3500105,Adamantina,Desmembramento Guidini,desmembramento guidini,,,dne,True
SP,3500105,Adamantina,Desmembramento Jóia,desmembramento joia,,,dne,True
SP,3500105,Adamantina,Desmembramento Kobori,desmembramento kobori,,,dne,True
SP,3500105,Adamantina,Desmembramento Morgado,desmembramento morgado,,,dne,True
SP,3500105,Adamantina,Desmembramento Pioneiros,desmembramento pioneiros,,,dne,True
SP,3500105,Adamantina,Desmembramento Sakai,desmembramento sakai,,,dne,True
SP,3500105,Adamantina,Desmembramento San Conrado,desmembramento san conrado,,,dne,True
SP,3500105,Adamantina,Desmembramento Santa Helena,desmembramento santa helena,,,dne,True
SP,3500105,Adamantina,Desmembramento Vila Neuza,desmembramento vila neuza,,,dne,True
SP,3500105,Adamantina,Desmembramento Vila Neuza I,desmembramento vila neuza i,,,dne,True
SP,3500105,Adamantina,Desmembramento Village I,desmembramento village i,,,dne,True
