Uf,CityIbgeCode,City,Neighborhood,NormalizedName,Latitude,Longitude,Source,IsActive
TO,1700251,Abreulândia,Setor Central,setor central,-9.621462099999999,-49.1522973,brasil_aberto,True
TO,1700301,Aguiarnópolis,Setor Central,setor central,-6.5610458,-47.4770243,brasil_aberto,True
TO,1700350,Aliança do Tocantins,Setor Central,setor central,,,brasil_aberto,True
TO,1700400,Almas,Setor Central,setor central,,,brasil_aberto,True
TO,1700707,Alvorada,Setor Central,setor central,-7.1898113,-48.2070182,brasil_aberto,True
TO,1701002,Ananás,Setor Central,setor central,-6.3655908,-48.0735643,brasil_aberto,True
TO,1701051,Angico,Setor Central,setor central,-7.1898113,-48.2070182,brasil_aberto,True
TO,1701101,Aparecida do Rio Negro,Setor Central,setor central,-9.9418823,-47.9641448,brasil_aberto,True
TO,1701309,Aragominas,Setor Central,setor central,-7.166438,-48.5247907,brasil_aberto,True
TO,1701903,Araguacema,Setor Central,setor central,-7.1898113,-48.2070182,brasil_aberto,True
TO,1702158,Araguanã,Setor Central,setor central,-7.1898113,-48.2070182,brasil_aberto,True
TO,1702208,Araguatins,Natal,natal,-5.8521757,-48.19955909999999,brasil_aberto,True
TO,1702208,Araguatins,Setor Central,setor central,-18.4161639,-49.214477,brasil_aberto,True
TO,1702000,Araguaçu,Setor Central,setor central,-12.9257288,-49.8300402,brasil_aberto,True
TO,1702109,Araguaína,Bairro da Cimba,bairro da cimba,-7.1938809,-48.2045414,brasil_aberto,True
TO,1702109,Araguaína,Barra da Grota,barra da grota,-7.2102197,-48.2977199,brasil_aberto,True
TO,1702109,Araguaína,Barra do Grota,barra do grota,-7.2098729,-48.2979135,brasil_aberto,True
TO,1702109,Araguaína,Boa Sorte,boa sorte,-7.1840715,-48.2462382,brasil_aberto,True
TO,1702109,Araguaína,Brasilândia,brasilandia,-7.191563299999999,-48.2094801,brasil_aberto,True
TO,1702109,Araguaína,Cocalinho,cocalinho,-7.099639300000001,-48.7602327,brasil_aberto,True
TO,1702109,Araguaína,Cocalândia,cocalandia,-7.2244058,-48.6221442,brasil_aberto,True
TO,1702109,Araguaína,Conjunto Residencial Patrocínio,conjunto residencial patrocinio,-7.1754808,-48.1845594,brasil_aberto,True
TO,1702109,Araguaína,Conjunto Urbanístico,conjunto urbanistico,-7.1856202,-48.2213177,brasil_aberto,True
TO,1702109,Araguaína,Correinha,correinha,-7.2831629,-49.19729969999999,brasil_aberto,True
TO,1702109,Araguaína,Daiara,daiara,-7.2743297,-48.2572818,brasil_aberto,True
TO,1702109,Araguaína,Dom Orione,dom orione,-7.1877358,-48.2189995,brasil_aberto,True
TO,1702109,Araguaína,Eldorado,eldorado,-7.2100692,-48.1984219,brasil_aberto,True
TO,1702109,Araguaína,Escondido,escondido,-7.191563299999999,-48.2094801,brasil_aberto,True
TO,1702109,Araguaína,Ilha Barreira Branca,ilha barreira branca,-6.7333333,-48.7833333,brasil_aberto,True
TO,1702109,Araguaína,JK,jk,-7.203272599999999,-48.243085,brasil_aberto,True
TO,1702109,Araguaína,Jardim Beira Lago,jardim beira lago,-7.2072194,-48.2182681,brasil_aberto,True
TO,1702109,Araguaína,Jardim Bounganville,jardim bounganville,-7.1985017,-48.1697553,brasil_aberto,True
TO,1702109,Araguaína,Jardim Califórnia,jardim california,-7.191563299999999,-48.2094801,brasil_aberto,True
TO,1702109,Araguaína,Jardim Esplanada,jardim esplanada,-7.2018909,-48.23064549999999,brasil_aberto,True
TO,1702109,Araguaína,Jardim Filadélfia,jardim filadelfia,-7.2055141,-48.214203,brasil_aberto,True
TO,1702109,Araguaína,Jardim Flores,jardim flores,-7.2029268,-48.204114,brasil_aberto,True
TO,1702109,Araguaína,Jardim Garavelo Sul,jardim garavelo sul,-7.2311442,-48.250239,brasil_aberto,True
TO,1702109,Araguaína,Jardim Goiás,jardim goias,-7.1852284,-48.2089201,brasil_aberto,True
TO,1702109,Araguaína,Jardim Itália,jardim italia,-7.1919207,-48.2252003,brasil_aberto,True
TO,1702109,Araguaína,Jardim Mansões Palmeiras,jardim mansoes palmeiras,-7.210591,-48.2075012,brasil_aberto,True
TO,1702109,Araguaína,Jardim Paulista,jardim paulista,-7.2137528,-48.1985051,brasil_aberto,True
TO,1702109,Araguaína,Jardim Pedra Alta,jardim pedra alta,-7.18065,-48.1858044,brasil_aberto,True
TO,1702109,Araguaína,Jardim Santa Helena,jardim santa helena,-7.2055141,-48.214203,brasil_aberto,True
TO,1702109,Araguaína,Jardim das Palmeiras,jardim das palmeiras,-7.191563299999999,-48.2094801,brasil_aberto,True
TO,1702109,Araguaína,Jardim dos Ipês I,jardim dos ipes i,-7.175536,-48.235121,brasil_aberto,True
TO,1702109,Araguaína,Jardim dos Ipês II,jardim dos ipes ii,-7.1695722,-48.2375717,brasil_aberto,True
TO,1702109,Araguaína,Jardim dos Ipês III,jardim dos ipes iii,-7.1671203,-48.2410146,brasil_aberto,True
TO,1702109,Araguaína,Jussara,jussara,-7.191563299999999,-48.2094801,brasil_aberto,True
TO,1702109,Araguaína,Loteamento Alaska,loteamento alaska,-7.1980726,-48.2125993,brasil_aberto,True
TO,1702109,Araguaína,Loteamento Araguaína Sul,loteamento araguaina sul,-7.1802113,-48.190684,brasil_aberto,True
TO,1702109,Araguaína,Loteamento Barros,loteamento barros,-7.1983617,-48.2037214,brasil_aberto,True
TO,1702109,Araguaína,Loteamento Boa Vista,loteamento boa vista,-7.191563299999999,-48.2094801,brasil_aberto,True
TO,1702109,Araguaína,Loteamento Brejão 3ª Etapa,loteamento brejao 3ª etapa,-7.1734127,-48.2064137,brasil_aberto,True
TO,1702109,Araguaína,Loteamento Castelo Branco,loteamento castelo branco,-7.174948799999999,-48.2079507,brasil_aberto,True
TO,1702109,Araguaína,Loteamento Cidade Nova,loteamento cidade nova,-7.1684945,-48.223396,brasil_aberto,True
TO,1702109,Araguaína,Loteamento Costa Esmeralda,loteamento costa esmeralda,-7.2196734,-48.15776229999999,brasil_aberto,True
TO,1702109,Araguaína,Loteamento Couto Magalhães,loteamento couto magalhaes,-7.1765638,-48.2064602,brasil_aberto,True
TO,1702109,Araguaína,Loteamento Cruzeiro,loteamento cruzeiro,-7.2000912,-48.2267524,brasil_aberto,True
TO,1702109,Araguaína,Loteamento Céu Azul,loteamento ceu azul,-7.2205497,-48.1833538,brasil_aberto,True
TO,1702109,Araguaína,Loteamento Dona Nélcia,loteamento dona nelcia,-7.2136996,-48.1985031,brasil_aberto,True
TO,1702109,Araguaína,Loteamento Flamboyant,loteamento flamboyant,-7.1926995,-48.224313,brasil_aberto,True
TO,1702109,Araguaína,Loteamento Jardim América,loteamento jardim america,-7.200658,-48.2165748,brasil_aberto,True
TO,1702109,Araguaína,Loteamento Jardim Boa Sorte,loteamento jardim boa sorte,-7.1916251,-48.2095008,brasil_aberto,True
TO,1702109,Araguaína,Loteamento Jardim do Lago,loteamento jardim do lago,-7.1951662,-48.2068662,brasil_aberto,True
TO,1702109,Araguaína,Loteamento Jardins Mônaco,loteamento jardins monaco,-7.200745599999999,-48.1704795,brasil_aberto,True
TO,1702109,Araguaína,Loteamento Jardins Siena,loteamento jardins siena,-7.2106897,-48.17402329999999,brasil_aberto,True
TO,1702109,Araguaína,Loteamento José Ferreira,loteamento jose ferreira,-7.2229648,-48.2482648,brasil_aberto,True
TO,1702109,Araguaína,Loteamento Lago Sul,loteamento lago sul,-7.191563299999999,-48.2094801,brasil_aberto,True
TO,1702109,Araguaína,Loteamento Liberdade,loteamento liberdade,-7.2175737,-48.2446992,brasil_aberto,True
TO,1702109,Araguaína,Loteamento Manoel Cardoso (Vila Cardoso),loteamento manoel cardoso (vila cardoso),-7.1912869,-48.2250486,brasil_aberto,True
TO,1702109,Araguaína,Loteamento Manoel Gomes da Cunha,loteamento manoel gomes da cunha,-7.1938809,-48.2045414,brasil_aberto,True
TO,1702109,Araguaína,Loteamento Mansões do Lago,loteamento mansoes do lago,-7.2211113,-48.2281393,brasil_aberto,True
TO,1702109,Araguaína,Loteamento Maracanã,loteamento maracana,-7.1566041,-48.1948921,brasil_aberto,True
TO,1702109,Araguaína,Loteamento Martins Jorge,loteamento martins jorge,-7.1946444,-48.2224935,brasil_aberto,True
TO,1702109,Araguaína,Loteamento Monte Sinai,loteamento monte sinai,-7.233091900000001,-48.2508307,brasil_aberto,True
TO,1702109,Araguaína,Loteamento Nova Araguaína,loteamento nova araguaina,-7.2206198,-48.2446399,brasil_aberto,True
TO,1702109,Araguaína,Loteamento Pampulha,loteamento pampulha,-7.1996022,-48.2127025,brasil_aberto,True
TO,1702109,Araguaína,Loteamento Panorama,loteamento panorama,-7.1818593,-48.2071536,brasil_aberto,True
TO,1702109,Araguaína,Loteamento Park Primavera,loteamento park primavera,-7.2077705,-48.1738448,brasil_aberto,True
TO,1702109,Araguaína,Loteamento Parque do Lago,loteamento parque do lago,-7.191563299999999,-48.2094801,brasil_aberto,True
TO,1702109,Araguaína,Loteamento Pedro Borges,loteamento pedro borges,-7.182144,-48.2252523,brasil_aberto,True
TO,1702109,Araguaína,Loteamento Planalto,loteamento planalto,-7.1762529,-48.2151683,brasil_aberto,True
TO,1702109,Araguaína,Loteamento Presidente Costa e Silva,loteamento presidente costa e silva,-7.2119952,-48.2077509,brasil_aberto,True
TO,1702109,Araguaína,Loteamento Recanto do Lago,loteamento recanto do lago,-7.2107474,-48.2149483,brasil_aberto,True
TO,1702109,Araguaína,Loteamento Santa Mônica,loteamento santa monica,-7.2004513,-48.222363,brasil_aberto,True
TO,1702109,Araguaína,Loteamento Santos Dumont,loteamento santos dumont,-7.2345503,-48.2368529,brasil_aberto,True
TO,1702109,Araguaína,Loteamento São Francisco,loteamento sao francisco,-9.6096544,-48.6285175,brasil_aberto,True
TO,1702109,Araguaína,Loteamento São Luiz,loteamento sao luiz,-7.1770689,-48.2064768,brasil_aberto,True
TO,1702109,Araguaína,Loteamento São Miguel,loteamento sao miguel,-9.6096544,-48.6285175,brasil_aberto,True
TO,1702109,Araguaína,Loteamento São Pedro,loteamento sao pedro,-7.200982,-48.1941609,brasil_aberto,True
TO,1702109,Araguaína,Loteamento Vila Azul,loteamento vila azul,-9.6096544,-48.6285175,brasil_aberto,True
