Uf,CityIbgeCode,City,Neighborhood,NormalizedName,Latitude,Longitude,Source,IsActive
AC,1200013,Acrelândia,Centro,centro,-10.0766449,-67.0557741,brasil_aberto_first_street,True
AC,1200054,Assis Brasil,Centro,centro,-10.938799,-69.5662391,brasil_aberto_first_street,True
AC,1200054,Assis Brasil,Terra Indígena Mamoadate,terra indigena mamoadate,,,dne,True
AC,1200104,Brasiléia,Centro,centro,-11.0157243,-68.7501181,brasil_aberto_first_street,True
AC,1200138,Bujari,Área Rural de Bujari,area rural de bujari,-9.831164,-67.95274,mapbox_geocoding,True
AC,1200138,Bujari,Centro,centro,-9.827951,-67.950368,mapbox_geocoding,True
AC,1200138,Bujari,Cerâmica,ceramica,-9.827159,-67.955192,mapbox_geocoding,True
AC,1200138,Bujari,Ely Papainnaro,ely papainnaro,-9.832875,-67.950463,mapbox_geocoding,True
AC,1200138,Bujari,Floresta,floresta,-9.831164,-67.95274,mapbox_geocoding,True
AC,1200138,Bujari,Gama,gama,-9.831865,-67.93841,mapbox_geocoding,True
AC,1200138,Bujari,João Doca,joao doca,-9.975861,-67.825732,mapbox_geocoding,True
AC,1200138,Bujari,Judite,judite,-9.831193,-67.951828,mapbox_geocoding,True
AC,1200138,Bujari,Loteamento Lins,loteamento lins,-9.839732,-67.947031,mapbox_geocoding,True
AC,1200138,Bujari,Loteamento Recanto Gaúcho,loteamento recanto gaucho,-7.600935,-72.663147,mapbox_geocoding,True
AC,1200138,Bujari,Quintais Florestais,quintais florestais,-9.939143,-67.805811,mapbox_geocoding,True
AC,1200138,Bujari,Raimundo Leão,raimundo leao,-9.831865,-67.93841,mapbox_geocoding,True
AC,1200138,Bujari,Raimundo Nonato,raimundo nonato,-9.68587,-68.284609,mapbox_geocoding,True
AC,1200138,Bujari,Residencial Açaí,residencial acai,-9.996003,-67.791538,mapbox_geocoding,True
AC,1200138,Bujari,Rui Lino,rui lino,-9.820604,-67.955595,mapbox_geocoding,True
AC,1200138,Bujari,Segundo Distrito,segundo distrito,-9.834665,-67.963384,mapbox_geocoding,True
AC,1200179,Capixaba,Área Rural de Capixaba,area rural de capixaba,-10.572051,-67.6752,mapbox_geocoding,True
AC,1200179,Capixaba,Centro,centro,-10.5755868,-67.677846,brasil_aberto_first_street,True
AC,1200179,Capixaba,Conquista,conquista,-10.577066,-67.679954,mapbox_geocoding,True
AC,1200179,Capixaba,Edson Barbosa,edson barbosa,-10.571162,-67.678542,mapbox_geocoding,True
AC,1200179,Capixaba,Edson Barbosa 2,edson barbosa 2,-24.96284,-53.401433,mapbox_geocoding,True
AC,1200179,Capixaba,Hélio Tessinari,helio tessinari,-10.573837,-67.675389,mapbox_geocoding,True
AC,1200179,Capixaba,Paraíso,paraiso,-10.573886,-67.672822,mapbox_geocoding,True
AC,1200179,Capixaba,Quixadamorim,quixadamorim,-10.573837,-67.675389,mapbox_geocoding,True
AC,1200203,Cruzeiro do Sul,Centro,centro,-7.635309899999999,-72.66666839999999,brasil_aberto_first_street,True
AC,1200252,Epitaciolândia,Centro,centro,-11.0253173,-68.7454805,brasil_aberto_first_street,True
AC,1200302,Feijó,Centro,centro,-8.1638974,-70.3539752,brasil_aberto_first_street,True
AC,1200302,Feijó,Terra Indígena Alto Tarauacá,terra indigena alto tarauaca,,,dne,True
AC,1200302,Feijó,Terra Indígena Kampa e Isolados do Rio Envira,terra indigena kampa e isolados do rio envira,,,dne,True
AC,1200302,Feijó,Terra Indígena Kaxinawá do Rio Humaitá,terra indigena kaxinawa do rio humaita,,,dne,True
AC,1200302,Feijó,Terra Indígena Kulina do Rio Envira,terra indigena kulina do rio envira,,,dne,True
AC,1200302,Feijó,Terra Indígena Riozinho do Alto Envira,terra indigena riozinho do alto envira,,,dne,True
AC,1200328,Jordão,Centro,centro,-9.1901084,-71.9505625,brasil_aberto_first_street,True
AC,1200328,Jordão,Terra Indígena Alto Tarauacá,terra indigena alto tarauaca,,,dne,True
AC,1200328,Jordão,Terra Indígena Igarapé Taboca do Alto Tarauacá,terra indigena igarape taboca do alto tarauaca,,,dne,True
AC,1200336,Mâncio Lima,Centro,centro,-7.6113613,-72.90428469999999,brasil_aberto_first_street,True
AC,1200344,Manoel Urbano,Centro,centro,-8.8369498,-69.2581703,brasil_aberto_first_street,True
AC,1200351,Marechal Thaumaturgo,Centro,centro,-8.947882,-72.7893354,brasil_aberto_first_street,True
AC,1200385,Plácido de Castro,Campinas,campinas,-10.0628287,-67.2991298,brasil_aberto_first_street,True
AC,1200385,Plácido de Castro,Centro,centro,-10.3320082,-67.1865652,brasil_aberto_first_street,True
AC,1200393,Porto Walter,Centro,centro,-8.267181,-72.742623,mapbox_geocoding,True
AC,1200401,Rio Branco,7º BEC,7o bec,-9.9633299,-67.8429613,brasil_aberto_first_street,True
AC,1200401,Rio Branco,Abraão Alab,abraao alab,-9.972254,-67.8246318,brasil_aberto_first_street,True
AC,1200401,Rio Branco,Adalberto Aragão,adalberto aragao,-9.9588844,-67.7903216,brasil_aberto_first_street,True
AC,1200401,Rio Branco,Aeroporto Velho,aeroporto velho,-9.9889992,-67.8223132,brasil_aberto_first_street,True
AC,1200401,Rio Branco,Alto Alegre,alto alegre,-9.9255711,-67.8263182,brasil_aberto_first_street,True
AC,1200401,Rio Branco,Amapá,amapa,-10.011924,-67.834896,brasil_aberto_first_street,True
AC,1200401,Rio Branco,Área Rural de Rio Branco,area rural de rio branco,-9.9740249,-67.8098191,brasil_aberto_first_street,True
AC,1200401,Rio Branco,Areal,areal,-10.0001638,-67.8004215,brasil_aberto_first_street,True
AC,1200401,Rio Branco,Aviário,aviario,-9.9659182,-67.8054938,brasil_aberto_first_street,True
AC,1200401,Rio Branco,Ayrton Senna,ayrton senna,-9.9977082,-67.8263812,brasil_aberto_first_street,True
AC,1200401,Rio Branco,Bahia Nova,bahia nova,-9.9929828,-67.8300212,brasil_aberto_first_street,True
AC,1200401,Rio Branco,Bahia Velha,bahia velha,-9.9888745,-67.83089749999999,brasil_aberto_first_street,True
AC,1200401,Rio Branco,Baixa da Colina,baixa da colina,-9.9626662,-67.8008654,brasil_aberto_first_street,True
AC,1200401,Rio Branco,Baixada da Cadeia Velha,baixada da cadeia velha,-9.9716301,-67.7927789,brasil_aberto_first_street,True
AC,1200401,Rio Branco,Baixada da Habitasa,baixada da habitasa,-9.9726072,-67.800586,brasil_aberto_first_street,True
AC,1200401,Rio Branco,Base,base,-9.9735918,-67.7973082,brasil_aberto_first_street,True
AC,1200401,Rio Branco,Belo Jardim I,belo jardim i,-10.0114355,-67.7703739,brasil_aberto_first_street,True
AC,1200401,Rio Branco,Belo Jardim II,belo jardim ii,-10.0010648,-67.77054,brasil_aberto_first_street,True
AC,1200401,Rio Branco,Boa Esperança,boa esperanca,-9.9544462,-67.8235268,brasil_aberto_first_street,True
AC,1200401,Rio Branco,Boa União,boa uniao,-9.995457,-67.82901919999999,brasil_aberto_first_street,True
AC,1200401,Rio Branco,Boa Vista,boa vista,-10.0042572,-67.8412563,brasil_aberto_first_street,True
AC,1200401,Rio Branco,Bosque,bosque,-9.962012,-67.8200495,brasil_aberto_first_street,True
AC,1200401,Rio Branco,Cadeia Velha,cadeia velha,-9.9716301,-67.7927789,brasil_aberto_first_street,True
AC,1200401,Rio Branco,Calafate,calafate,-9.9775976,-67.8849361,brasil_aberto_first_street,True
AC,1200401,Rio Branco,Capoeira,capoeira,-9.9716607,-67.8065166,brasil_aberto_first_street,True
AC,1200401,Rio Branco,Casa Nova,casa nova,-9.9616087,-67.7993199,brasil_aberto_first_street,True
AC,1200401,Rio Branco,Centro,centro,-9.9733832,-67.8083662,brasil_aberto_first_street,True
AC,1200401,Rio Branco,Cerâmica,ceramica,-9.9726072,-67.800586,brasil_aberto_first_street,True
AC,1200401,Rio Branco,Chácara Ipê,chacara ipe,-9.9659339,-67.8734472,brasil_aberto_first_street,True
AC,1200401,Rio Branco,Chico Mendes,chico mendes,-9.9434153,-67.8093846,brasil_aberto_first_street,True
AC,1200401,Rio Branco,Cidade do Povo,cidade do povo,-10.0243585,-67.75202519999999,brasil_aberto_first_street,True
AC,1200401,Rio Branco,Cidade Nova,cidade nova,-9.9785008,-67.8137776,brasil_aberto_first_street,True
AC,1200401,Rio Branco,Comara,comara,-10.001692,-67.8164913,brasil_aberto_first_street,True
AC,1200401,Rio Branco,Conjunto Adalberto Sena,conjunto adalberto sena,-9.9317489,-67.822649,brasil_aberto_first_street,True
AC,1200401,Rio Branco,Conjunto Bela Vista,conjunto bela vista,-9.9753505,-67.8339229,brasil_aberto_first_street,True
AC,1200401,Rio Branco,Conjunto Castelo Branco,conjunto castelo branco,-9.9788133,-67.828433,brasil_aberto_first_street,True
AC,1200401,Rio Branco,Conjunto Esperança,conjunto esperanca,-9.971867,-67.8367232,brasil_aberto_first_street,True
AC,1200401,Rio Branco,Conjunto Guiomard Santos,conjunto guiomard santos,-9.9580695,-67.8077311,brasil_aberto_first_street,True
AC,1200401,Rio Branco,Conjunto Habitar Brasil,conjunto habitar brasil,-9.9737404,-67.8487158,brasil_aberto_first_street,True
AC,1200401,Rio Branco,Conjunto Jardim São Francisco,conjunto jardim sao francisco,-9.9640808,-67.7971301,brasil_aberto_first_street,True
AC,1200401,Rio Branco,Conjunto Jardim Universitário,conjunto jardim universitario,-9.9627911,-67.8754401,brasil_aberto_first_street,True
AC,1200401,Rio Branco,Conjunto Laélia Alcântara,conjunto laelia alcantara,-9.9866135,-67.8862895,brasil_aberto_first_street,True
AC,1200401,Rio Branco,Conjunto Manoel Julião,conjunto manoel juliao,-9.9561869,-67.8337744,brasil_aberto_first_street,True
AC,1200401,Rio Branco,Conjunto Mariana,conjunto mariana,-9.956278,-67.8500296,brasil_aberto_first_street,True
AC,1200401,Rio Branco,Conjunto Mascarenhas de Moraes,conjunto mascarenhas de moraes,-9.971611099999999,-67.82791689999999,brasil_aberto_first_street,True
AC,1200401,Rio Branco,Conjunto Oscar Passos,conjunto oscar passos,-9.9533164,-67.8009163,brasil_aberto_first_street,True
AC,1200401,Rio Branco,Conjunto Ouricurí,conjunto ouricuri,-9.9364977,-67.8015149,brasil_aberto_first_street,True
AC,1200401,Rio Branco,Conjunto Paulo César de Oliveira,conjunto paulo cesar de oliveira,-9.9595811,-67.8466625,brasil_aberto_first_street,True
AC,1200401,Rio Branco,Conjunto Rui Lino,conjunto rui lino,-9.9491766,-67.8533013,brasil_aberto_first_street,True
AC,1200401,Rio Branco,Conjunto Tucumã,conjunto tucuma,-9.9478638,-67.860669,brasil_aberto_first_street,True
AC,1200401,Rio Branco,Conjunto Universitário,conjunto universitario,-9.9468583,-67.8786454,brasil_aberto_first_street,True
AC,1200401,Rio Branco,Conquista,conquista,-9.9485843,-67.8331177,brasil_aberto_first_street,True
AC,1200401,Rio Branco,Defesa Civil,defesa civil,-9.9356611,-67.8366686,brasil_aberto_first_street,True
AC,1200401,Rio Branco,Distrito Industrial,distrito industrial,-9.9423699,-67.87267659999999,brasil_aberto_first_street,True
AC,1200401,Rio Branco,Doca Furtado,doca furtado,-9.9669755,-67.8340447,brasil_aberto_first_street,True
AC,1200401,Rio Branco,Dom Giocondo,dom giocondo,-9.9705387,-67.8156997,brasil_aberto_first_street,True
AC,1200401,Rio Branco,Eldorado,eldorado,-9.9385665,-67.795875,brasil_aberto_first_street,True
AC,1200401,Rio Branco,Estação Experimental,estacao experimental,-9.9680755,-67.8293599,brasil_aberto_first_street,True
AC,1200401,Rio Branco,Floresta Sul,floresta sul,-9.9892781,-67.8392001,brasil_aberto_first_street,True
AC,1200401,Rio Branco,Geraldo Fleming,geraldo fleming,-15.242267,-58.11477,mapbox_geocoding,True
AC,1200401,Rio Branco,Glória,gloria,-9.9919646,-67.8212691,brasil_aberto_first_street,True
AC,1200401,Rio Branco,Habitasa,habitasa,-9.9726072,-67.800586,brasil_aberto_first_street,True
