Uf,CityIbgeCode,City,Neighborhood,NormalizedName,Latitude,Longitude,Source,IsActive
AM,1300029,Alvarães,Centro,centro,-3.213752,-64.80952239999999,brasil_aberto_first_street,True
AM,1300060,Amaturá,Centro,centro,-7.522149,-63.03204919999999,brasil_aberto_first_street,True
AM,1300086,Anamã,Centro,centro,-3.5782959,-61.4056084,brasil_aberto_first_street,True
AM,1300102,Anori,Centro,centro,-3.7439774,-61.6587138,brasil_aberto_first_street,True
AM,1300144,Apuí,Centro,centro,-7.198217199999999,-59.88926459999999,brasil_aberto_first_street,True
AM,1300144,Apuí,Sucunduri,sucunduri,,,dne,True
AM,1300201,Atalaia do Norte,Centro,centro,-4.3651303,-70.1910692,brasil_aberto_first_street,True
AM,1300201,Atalaia do Norte,Estirão do Equador,estirao do equador,,,dne,True
AM,1300201,Atalaia do Norte,Terra Indígena Vale do Javari,terra indigena vale do javari,,,dne,True
AM,1300300,Autazes,Centro,centro,-3.5863261,-59.13056619999999,brasil_aberto_first_street,True
AM,1300300,Autazes,Murutinga,murutinga,,,dne,True
AM,1300300,Autazes,Novo Céu,novo ceu,,,dne,True
AM,1300300,Autazes,Santa Luzia,santa luzia,-4.1285379,-59.90546029999999,brasil_aberto_first_street,True
AM,1300409,Barcelos,Carvoeiro,carvoeiro,,,dne,True
AM,1300409,Barcelos,Centro,centro,-0.9698881,-62.9252439,brasil_aberto_first_street,True
AM,1300409,Barcelos,Moura,moura,,,dne,True
AM,1300409,Barcelos,Terra Indígena Yanomami,terra indigena yanomami,,,dne,True
AM,1300508,Barreirinha,Ariaú,ariau,,,dne,True
AM,1300508,Barreirinha,Cametá,cameta,,,dne,True
AM,1300508,Barreirinha,Centro,centro,-2.7940999,-57.0692428,brasil_aberto_first_street,True
AM,1300508,Barreirinha,Freguesia do Andirá,freguesia do andira,,,dne,True
AM,1300508,Barreirinha,Pedras,pedras,-2.7928546,-57.0664691,brasil_aberto_first_street,True
AM,1300607,Benjamin Constant,Centro,centro,-4.3818907,-70.02757000000001,brasil_aberto_first_street,True
AM,1300607,Benjamin Constant,Colônia,colonia,-4.3818907,-70.02757000000001,brasil_aberto_first_street,True
AM,1300607,Benjamin Constant,Feijoal,feijoal,,,dne,True
AM,1300607,Benjamin Constant,Terra Indígena Vale do Javari,terra indigena vale do javari,,,dne,True
AM,1300631,Beruri,São Francisco,sao francisco,-3.8972061,-61.3732982,brasil_aberto_first_street,True
AM,1300680,Boa Vista do Ramos,Área Rural de Boa Vista do Ramos,area rural de boa vista do ramos,,,dne,True
AM,1300680,Boa Vista do Ramos,Boiúna,boiuna,,,dne,True
AM,1300680,Boa Vista do Ramos,Bom Jesus da Estrada,bom jesus da estrada,,,dne,True
AM,1300680,Boa Vista do Ramos,Carlos Matos,carlos matos,,,dne,True
AM,1300680,Boa Vista do Ramos,Centro,centro,,,dne,True
AM,1300680,Boa Vista do Ramos,Esperança,esperanca,,,dne,True
AM,1300680,Boa Vista do Ramos,Jardim Vitória Régia,jardim vitoria regia,,,dne,True
AM,1300680,Boa Vista do Ramos,Lago Preto,lago preto,,,dne,True
AM,1300680,Boa Vista do Ramos,Liberdade,liberdade,,,dne,True
AM,1300680,Boa Vista do Ramos,Massauari,massauari,,,dne,True
AM,1300680,Boa Vista do Ramos,Monte Sião,monte siao,,,dne,True
AM,1300680,Boa Vista do Ramos,Nossa Senhora de Fátima,nossa senhora de fatima,,,dne,True
AM,1300680,Boa Vista do Ramos,Santa Luzia,santa luzia,,,dne,True
AM,1300680,Boa Vista do Ramos,São Sebastião,sao sebastiao,,,dne,True
AM,1300706,Boca do Acre,Floriano Peixoto,floriano peixoto,,,dne,True
AM,1300706,Boca do Acre,Platô do Piquiá,plato do piquia,-8.7725226,-67.33219919999999,brasil_aberto_first_street,True
AM,1300805,Borba,Axinim,axinim,,,dne,True
AM,1300805,Borba,Canumã,canuma,,,dne,True
AM,1300805,Borba,Centro,centro,-3.4168427,-65.8560646,brasil_aberto_first_street,True
AM,1300839,Caapiranga,Araras,araras,,,dne,True
AM,1300839,Caapiranga,Centro,centro,-3.0882548,-59.8938632,brasil_aberto_first_street,True
AM,1300904,Canutama,Açuanópolis,acuanopolis,,,dne,True
AM,1300904,Canutama,Belo Monte,belo monte,,,dne,True
AM,1300904,Canutama,Centro,centro,-6.5346847,-64.3854357,brasil_aberto_first_street,True
AM,1300904,Canutama,Terra Indígena Juma,terra indigena juma,,,dne,True
AM,1301001,Carauari,Centro,centro,-4.8779914,-66.8963249,brasil_aberto_first_street,True
AM,1301100,Careiro,Careiro Parauá,careiro paraua,,,dne,True
AM,1301100,Careiro,Janauacá,janauaca,,,brasil_aberto,True
AM,1301100,Careiro,Purupuru,purupuru,,,dne,True
AM,1301100,Careiro,Terra Nova,terra nova,,,dne,True
AM,1301100,Careiro,Vista Alegre,vista alegre,-3.8231563,-60.36443370000001,brasil_aberto_first_street,True
AM,1301159,Careiro da Várzea,Centro,centro,-3.1982788,-59.8256594,brasil_aberto_first_street,True
AM,1301209,Coari,Área Rural,area rural,,,dne,True
AM,1301209,Coari,Centro,centro,,,dne,True
AM,1301209,Coari,Chagas Aguiar,chagas aguiar,,,dne,True
AM,1301209,Coari,Ciganópolis,ciganopolis,,,dne,True
AM,1301209,Coari,Duque de Caxias,duque de caxias,,,dne,True
AM,1301209,Coari,Espirito Santo,espirito santo,,,dne,True
AM,1301209,Coari,Grande Vitória,grande vitoria,,,dne,True
AM,1301209,Coari,Itamarati,itamarati,,,dne,True
AM,1301209,Coari,Liberdade,liberdade,,,dne,True
AM,1301209,Coari,Nazaré Pinheiro,nazare pinheiro,,,dne,True
AM,1301209,Coari,Pêra,pera,,,dne,True
AM,1301209,Coari,Santa Efigênia,santa efigenia,,,dne,True
AM,1301209,Coari,Santa Helena,santa helena,,,dne,True
AM,1301209,Coari,São Sebastião,sao sebastiao,,,dne,True
AM,1301209,Coari,Taua-Mirim,taua mirim,,,dne,True
AM,1301209,Coari,União,uniao,,,dne,True
AM,1301209,Coari,Urucú,urucu,,,dne,True
AM,1301308,Codajás,Badajós,badajos,,,dne,True
AM,1301308,Codajás,Centro,centro,,,dne,True
AM,1301308,Codajás,Murituba,murituba,,,dne,True
