Uf,CityIbgeCode,City,Neighborhood,NormalizedName,Latitude,Longitude,Source,IsActive
AP,1600055,Serra do Navio,Centro,centro,0.873185,-52.015011,mapbox_geocoding,True
AP,1600055,Serra do Navio,Vila Primária,vila primaria,0.9017109999999999,-52.0033808,brasil_aberto_first_street,True
AP,1600105,Amapá,Centro,centro,0.0157011,-51.0637733,brasil_aberto_first_street,True
AP,1600105,Amapá,Sucuriju,sucuriju,,,dne,True
AP,1600154,Pedra Branca do Amapari,Centro,centro,0.7772999,-51.9529765,brasil_aberto_first_street,True
AP,1600204,Calçoene,Centro,centro,2.4929117,-50.9483435,brasil_aberto_first_street,True
AP,1600204,Calçoene,Cunani,cunani,,,dne,True
AP,1600204,Calçoene,Lourenço,lourenco,2.3065278,-51.6363977,brasil_aberto_first_street,True
AP,1600204,Calçoene,Vila Carnot,vila carnot,,,brasil_aberto,True
AP,1600212,Cutias,Centro,centro,0.9710291,-50.8006691,brasil_aberto_first_street,True
AP,1600238,Ferreira Gomes,Centro,centro,0.8561197,-51.1835277,brasil_aberto_first_street,True
AP,1600238,Ferreira Gomes,Paredão,paredao,,,dne,True
AP,1600253,Itaubal,Centro,centro,-19.919168,-43.9386558,brasil_aberto_first_street,True
AP,1600279,Laranjal do Jari,Agreste,agreste,-0.8447296,-52.5240434,brasil_aberto_first_street,True
AP,1600279,Laranjal do Jari,Boca do Jari,boca do jari,,,dne,True
AP,1600303,Macapá,Abacate da Pedreira,abacate da pedreira,,,dne,True
AP,1600303,Macapá,Alvorada,alvorada,0.034596,-51.099936,brasil_aberto_first_street,True
AP,1600303,Macapá,Ambé,ambe,,,dne,True
AP,1600303,Macapá,Araxá,araxa,0.0097852,-51.06100464,brasil_aberto_first_street,True
AP,1600303,Macapá,Área Rural de Macapá,area rural de macapa,0.037646,-51.051765,mapbox_geocoding,True
AP,1600303,Macapá,Ariri,ariri,,,dne,True
AP,1600303,Macapá,Bailique,bailique,,,dne,True
AP,1600303,Macapá,Beirol,beirol,0.0208128,-51.0632536,brasil_aberto_first_street,True
AP,1600303,Macapá,Boné Azul,bone azul,0.0982588,-51.0631542,brasil_aberto_first_street,True
AP,1600303,Macapá,Brasil Novo,brasil novo,0.0961725,-51.0872596,brasil_aberto_first_street,True
AP,1600303,Macapá,Buritizal,buritizal,0.0213285,-51.0714936,brasil_aberto_first_street,True
AP,1600303,Macapá,Cabralzinho,cabralzinho,0.0272361,-51.1107169,brasil_aberto_first_street,True
AP,1600303,Macapá,Cantanzal,cantanzal,,,dne,True
AP,1600303,Macapá,Carmo,carmo,,,dne,True
AP,1600303,Macapá,Central,central,0.035908,-51.0502615,brasil_aberto_first_street,True
