Uf,CityIbgeCode,City,Neighborhood,NormalizedName,Latitude,Longitude,Source,IsActive
BA,2900108,Abaíra,Catolés,catoles,-13.2933414,-41.8477067,brasil_aberto_first_street,True
BA,2900108,Abaíra,Centro,centro,-13.2500504,-41.6648707,brasil_aberto_first_street,True
BA,2900207,Abaré,Centro,centro,-8.72228718,-39.11528397,brasil_aberto_first_street,True
BA,2900207,Abaré,Ibó,ibo,,,dne,True
BA,2900207,Abaré,Icozeira,icozeira,,,brasil_aberto,True
BA,2900306,Acajutiba,Centro,centro,-11.6609597,-38.0186793,brasil_aberto_first_street,True
BA,2900355,Adustina,Centro,centro,-10.53524303,-38.11959457,brasil_aberto_first_street,True
BA,2900405,Água Fria,Água Fria,agua fria,,,brasil_aberto,True
BA,2900405,Água Fria,Centro,centro,-11.8702714,-38.7620639,brasil_aberto_first_street,True
BA,2900405,Água Fria,Pataíba,pataiba,,,dne,True
BA,2900504,Érico Cardoso,Centro,centro,-13.4178083,-42.1404045,brasil_aberto_first_street,True
BA,2900603,Aiquara,Área Rural de Aiquara,area rural de aiquara,,,dne,True
BA,2900603,Aiquara,Centro,centro,,,dne,True
BA,2900603,Aiquara,Palmeirinha,palmeirinha,,,dne,True
BA,2900603,Aiquara,São Francisco,sao francisco,,,dne,True
BA,2900702,Alagoinhas,2 de Julho,2 de julho,,,dne,True
BA,2900702,Alagoinhas,Alagoinhas Velha,alagoinhas velha,,,dne,True
BA,2900702,Alagoinhas,Alto Sagrado Coração de Jesus,alto sagrado coracao de jesus,,,dne,True
BA,2900702,Alagoinhas,Área Rural de Alagoinhas,area rural de alagoinhas,,,dne,True
BA,2900702,Alagoinhas,Baixa da Candeia,baixa da candeia,,,dne,True
BA,2900702,Alagoinhas,Barreiro,barreiro,,,dne,True
BA,2900702,Alagoinhas,Boa União,boa uniao,,,dne,True
BA,2900702,Alagoinhas,Calu,calu,,,dne,True
BA,2900702,Alagoinhas,Catu,catu,,,dne,True
BA,2900702,Alagoinhas,Cavada,cavada,,,dne,True
BA,2900702,Alagoinhas,Centro,centro,,,dne,True
BA,2900702,Alagoinhas,Coqueiral,coqueiral,-12.1339689,-38.4211223,brasil_aberto_first_street,True
BA,2900702,Alagoinhas,Cruzeiro dos Montes,cruzeiro dos montes,,,dne,True
BA,2900702,Alagoinhas,DESAL,desal,,,dne,True
BA,2900702,Alagoinhas,Distrito Florestal,distrito florestal,,,dne,True
BA,2900702,Alagoinhas,Distrito Industrial I,distrito industrial i,,,dne,True
BA,2900702,Alagoinhas,Distrito Industrial II,distrito industrial ii,,,dne,True
BA,2900702,Alagoinhas,Distrito Industrial III,distrito industrial iii,,,dne,True
BA,2900702,Alagoinhas,Distrito Militar,distrito militar,,,dne,True
BA,2900702,Alagoinhas,Dois de Julho,dois de julho,,,brasil_aberto,True
BA,2900702,Alagoinhas,Jambeiro,jambeiro,,,dne,True
BA,2900702,Alagoinhas,Jardim Pedro Braga,jardim pedro braga,,,brasil_aberto,True
BA,2900702,Alagoinhas,Jardim Petrolar,jardim petrolar,-12.1500462,-38.4162914,brasil_aberto_first_street,True
BA,2900702,Alagoinhas,Jorge Amado,jorge amado,,,dne,True
BA,2900702,Alagoinhas,Juracy Magalhães,juracy magalhaes,,,dne,True
BA,2900702,Alagoinhas,Kennedy,kennedy,,,brasil_aberto,True
BA,2900702,Alagoinhas,Mãe Cirila,mae cirila,,,dne,True
BA,2900702,Alagoinhas,Mangalô,mangalo,,,dne,True
BA,2900702,Alagoinhas,Miguel Velho,miguel velho,,,dne,True
BA,2900702,Alagoinhas,Narandiba,narandiba,,,dne,True
BA,2900702,Alagoinhas,Nova Alagoinhas,nova alagoinhas,,,dne,True
BA,2900702,Alagoinhas,Nova Brasília,nova brasilia,,,dne,True
BA,2900702,Alagoinhas,Novo Horizonte,novo horizonte,,,dne,True
BA,2900702,Alagoinhas,Parque Santa Maria,parque santa maria,,,dne,True
BA,2900702,Alagoinhas,Parque Verde,parque verde,,,dne,True
BA,2900702,Alagoinhas,Parque Vitória,parque vitoria,,,brasil_aberto,True
BA,2900702,Alagoinhas,Pinto Aguiar,pinto aguiar,,,dne,True
BA,2900702,Alagoinhas,Pirinel,pirinel,,,dne,True
BA,2900702,Alagoinhas,Praça Kennedy,praca kennedy,,,dne,True
BA,2900702,Alagoinhas,Riacho da Guia,riacho da guia,,,dne,True
BA,2900702,Alagoinhas,Riacho do Mel,riacho do mel,,,dne,True
BA,2900702,Alagoinhas,Santa Isabel,santa isabel,,,dne,True
BA,2900702,Alagoinhas,Santa Terezinha,santa terezinha,,,dne,True
BA,2900702,Alagoinhas,Santo Antônio,santo antonio,,,dne,True
BA,2900702,Alagoinhas,São Francisco,sao francisco,,,dne,True
BA,2900702,Alagoinhas,São Jerônimo,sao jeronimo,,,dne,True
BA,2900702,Alagoinhas,São Lucas,sao lucas,,,dne,True
BA,2900702,Alagoinhas,Sauípe,sauipe,,,dne,True
BA,2900702,Alagoinhas,Serra do Ouro,serra do ouro,,,dne,True
BA,2900702,Alagoinhas,Severino Vieira,severino vieira,,,dne,True
BA,2900702,Alagoinhas,Silva Jardim,silva jardim,,,dne,True
BA,2900702,Alagoinhas,Taizé,taize,,,dne,True
BA,2900702,Alagoinhas,Teresópolis,teresopolis,,,brasil_aberto,True
BA,2900702,Alagoinhas,Terezópolis,terezopolis,,,dne,True
BA,2900702,Alagoinhas,Vale,vale,,,dne,True
BA,2900801,Alcobaça,Centro,centro,-17.54099464,-39.19329834,brasil_aberto_first_street,True
BA,2900801,Alcobaça,São José de Alcobaça,sao jose de alcobaca,,,brasil_aberto,True
BA,2900900,Almadina,Centro,centro,-14.70292282,-39.63699722,brasil_aberto_first_street,True
BA,2901007,Amargosa,Centro,centro,-13.0296908,-39.6044255,brasil_aberto_first_street,True
BA,2901007,Amargosa,Corta Mão,corta mao,,,dne,True
BA,2901007,Amargosa,Diógenes Sampaio,diogenes sampaio,,,dne,True
BA,2901007,Amargosa,Itachama,itachama,,,dne,True
BA,2901106,Amélia Rodrigues,Centro,centro,-22.80243683,-43.37079239,brasil_aberto_first_street,True
BA,2901106,Amélia Rodrigues,Inhata,inhata,-12.4013938,-38.6990609,brasil_aberto_first_street,True
BA,2901106,Amélia Rodrigues,Mata da Aliança,mata da alianca,-12.45666218,-39.07619476,brasil_aberto_first_street,True
BA,2901155,América Dourada,Área Rural de América Dourada,area rural de america dourada,,,dne,True
BA,2901155,América Dourada,Belo Campo,belo campo,,,dne,True
BA,2901155,América Dourada,Centro,centro,,,dne,True
BA,2901155,América Dourada,Ipanema,ipanema,,,dne,True
BA,2901155,América Dourada,Nova América,nova america,,,dne,True
BA,2901155,América Dourada,Prevenido,prevenido,,,dne,True
BA,2901155,América Dourada,Soares,soares,,,dne,True
BA,2901205,Anagé,Área Rural de Anagé,area rural de anage,,,dne,True
BA,2901205,Anagé,Augusto Vieira,augusto vieira,,,dne,True
BA,2901205,Anagé,Centro,centro,,,dne,True
BA,2901205,Anagé,Coquinhos,coquinhos,,,dne,True
BA,2901205,Anagé,Povoado Lindo Horizonte,povoado lindo horizonte,-14.5583469,-40.68153299999999,brasil_aberto_first_street,True
BA,2901205,Anagé,São João Batista,sao joao batista,,,dne,True
BA,2901205,Anagé,Vila dos Umbuzeiros,vila dos umbuzeiros,,,dne,True
BA,2901304,Andaraí,Centro,centro,-9.40068245,-38.22309113,brasil_aberto_first_street,True
BA,2901304,Andaraí,Igatu,igatu,-12.9667847,-41.260776,brasil_aberto_first_street,True
BA,2901304,Andaraí,Ubiraitá,ubiraita,-12.5910624,-41.0100493,brasil_aberto_first_street,True
