Uf,CityIbgeCode,City,Neighborhood,NormalizedName,Latitude,Longitude,Source,IsActive
BA,2900108,Abaíra,Catolés,catoles,-13.2933414,-41.8477067,brasil_aberto_first_street,True
BA,2900108,Abaíra,Centro,centro,-13.2500504,-41.6648707,brasil_aberto_first_street,True
BA,2900207,Abaré,Centro,centro,-8.72228718,-39.11528397,brasil_aberto_first_street,True
BA,2900207,Abaré,Ibó,ibo,,,dne,True
BA,2900207,Abaré,Icozeira,icozeira,,,brasil_aberto,True
BA,2900306,Acajutiba,Centro,centro,-11.6609597,-38.0186793,brasil_aberto_first_street,True
BA,2900355,Adustina,Centro,centro,-10.53524303,-38.11959457,brasil_aberto_first_street,True
BA,2900405,Água Fria,Água Fria,agua fria,,,brasil_aberto,True
BA,2900405,Água Fria,Centro,centro,-11.8702714,-38.7620639,brasil_aberto_first_street,True
BA,2900405,Água Fria,Pataíba,pataiba,,,dne,True
BA,2900504,Érico Cardoso,Centro,centro,-13.4178083,-42.1404045,brasil_aberto_first_street,True
BA,2900603,Aiquara,Área Rural de Aiquara,area rural de aiquara,-14.127104,-39.88992,mapbox_geocoding,True
BA,2900603,Aiquara,Centro,centro,-14.125177,-39.89066,mapbox_geocoding,True
BA,2900603,Aiquara,Palmeirinha,palmeirinha,,,dne,True
BA,2900603,Aiquara,São Francisco,sao francisco,-14.125177,-39.89066,mapbox_geocoding,True
BA,2900702,Alagoinhas,2 de Julho,2 de julho,-12.147504,-38.430054,mapbox_geocoding,True
BA,2900702,Alagoinhas,Alagoinhas Velha,alagoinhas velha,-12.129694,-38.419515,mapbox_geocoding,True
BA,2900702,Alagoinhas,Alto Sagrado Coração de Jesus,alto sagrado coracao de jesus,-12.136454,-38.422977,mapbox_geocoding,True
BA,2900702,Alagoinhas,Área Rural de Alagoinhas,area rural de alagoinhas,-11.294854,-41.818867,mapbox_geocoding,True
BA,2900702,Alagoinhas,Baixa da Candeia,baixa da candeia,-7.15251,-34.973726,mapbox_geocoding,True
BA,2900702,Alagoinhas,Barreiro,barreiro,-12.135971,-38.434011,mapbox_geocoding,True
BA,2900702,Alagoinhas,Boa União,boa uniao,,,dne,True
BA,2900702,Alagoinhas,Calu,calu,-12.514091,-38.224319,mapbox_geocoding,True
BA,2900702,Alagoinhas,Catu,catu,-11.942577,-38.092559,mapbox_geocoding,True
BA,2900702,Alagoinhas,Cavada,cavada,-12.129694,-38.419515,mapbox_geocoding,True
BA,2900702,Alagoinhas,Centro,centro,-12.147504,-38.430054,mapbox_geocoding,True
BA,2900702,Alagoinhas,Coqueiral,coqueiral,-12.1339689,-38.4211223,brasil_aberto_first_street,True
BA,2900702,Alagoinhas,Cruzeiro dos Montes,cruzeiro dos montes,-12.207055,-38.209442,mapbox_geocoding,True
BA,2900702,Alagoinhas,DESAL,desal,-12.136454,-38.422977,mapbox_geocoding,True
BA,2900702,Alagoinhas,Distrito Florestal,distrito florestal,-12.924649,-38.446243,mapbox_geocoding,True
BA,2900702,Alagoinhas,Distrito Industrial I,distrito industrial i,-30.015016,-51.173776,mapbox_geocoding,True
BA,2900702,Alagoinhas,Distrito Industrial II,distrito industrial ii,-12.169743,-38.414416,mapbox_geocoding,True
BA,2900702,Alagoinhas,Distrito Industrial III,distrito industrial iii,-12.084792,-38.352005,mapbox_geocoding,True
BA,2900702,Alagoinhas,Distrito Militar,distrito militar,-12.176637,-38.415039,mapbox_geocoding,True
BA,2900702,Alagoinhas,Dois de Julho,dois de julho,,,brasil_aberto,True
BA,2900702,Alagoinhas,Jambeiro,jambeiro,-17.72819,-39.180918,mapbox_geocoding,True
BA,2900702,Alagoinhas,Jardim Pedro Braga,jardim pedro braga,,,brasil_aberto,True
BA,2900702,Alagoinhas,Jardim Petrolar,jardim petrolar,-12.1500462,-38.4162914,brasil_aberto_first_street,True
BA,2900702,Alagoinhas,Jorge Amado,jorge amado,-2.989589,-60.068825,mapbox_geocoding,True
BA,2900702,Alagoinhas,Juracy Magalhães,juracy magalhaes,-14.880875,-40.844458,mapbox_geocoding,True
BA,2900702,Alagoinhas,Kennedy,kennedy,,,brasil_aberto,True
BA,2900702,Alagoinhas,Mãe Cirila,mae cirila,-12.260305,-38.948141,mapbox_geocoding,True
BA,2900702,Alagoinhas,Mangalô,mangalo,-12.146102,-38.43872,mapbox_geocoding,True
BA,2900702,Alagoinhas,Miguel Velho,miguel velho,-12.143228,-38.454903,mapbox_geocoding,True
BA,2900702,Alagoinhas,Narandiba,narandiba,,,dne,True
BA,2900702,Alagoinhas,Nova Alagoinhas,nova alagoinhas,-12.123983,-38.408197,mapbox_geocoding,True
BA,2900702,Alagoinhas,Nova Brasília,nova brasilia,-2.43217,-45.142298,mapbox_geocoding,True
BA,2900702,Alagoinhas,Novo Horizonte,novo horizonte,-12.136454,-38.422977,mapbox_geocoding,True
BA,2900702,Alagoinhas,Parque Santa Maria,parque santa maria,-12.139755,-38.441672,mapbox_geocoding,True
BA,2900702,Alagoinhas,Parque Verde,parque verde,-12.142867,-38.427484,mapbox_geocoding,True
BA,2900702,Alagoinhas,Parque Vitória,parque vitoria,,,brasil_aberto,True
BA,2900702,Alagoinhas,Pinto Aguiar,pinto aguiar,-12.147504,-38.430054,mapbox_geocoding,True
BA,2900702,Alagoinhas,Pirinel,pirinel,-12.126701,-38.411074,mapbox_geocoding,True
BA,2900702,Alagoinhas,Praça Kennedy,praca kennedy,-12.712294,-38.132509,mapbox_geocoding,True
BA,2900702,Alagoinhas,Riacho da Guia,riacho da guia,-12.146037,-38.652027,mapbox_geocoding,True
BA,2900702,Alagoinhas,Riacho do Mel,riacho do mel,-12.169743,-38.414416,mapbox_geocoding,True
BA,2900702,Alagoinhas,Santa Isabel,santa isabel,-12.136855,-38.415859,mapbox_geocoding,True
BA,2900702,Alagoinhas,Santa Terezinha,santa terezinha,-12.136454,-38.422977,mapbox_geocoding,True
BA,2900702,Alagoinhas,Santo Antônio,santo antonio,-12.260305,-38.948141,mapbox_geocoding,True
BA,2900702,Alagoinhas,São Francisco,sao francisco,-12.132443,-38.424284,mapbox_geocoding,True
BA,2900702,Alagoinhas,São Jerônimo,sao jeronimo,-12.132443,-38.424284,mapbox_geocoding,True
BA,2900702,Alagoinhas,São Lucas,sao lucas,-12.128526,-38.42337,mapbox_geocoding,True
BA,2900702,Alagoinhas,Sauípe,sauipe,-12.115282,-38.387281,mapbox_geocoding,True
BA,2900702,Alagoinhas,Serra do Ouro,serra do ouro,-12.128526,-38.42337,mapbox_geocoding,True
BA,2900702,Alagoinhas,Severino Vieira,severino vieira,-12.147504,-38.430054,mapbox_geocoding,True
BA,2900702,Alagoinhas,Silva Jardim,silva jardim,-12.14041,-38.430321,mapbox_geocoding,True
BA,2900702,Alagoinhas,Taizé,taize,-12.126701,-38.411074,mapbox_geocoding,True
BA,2900702,Alagoinhas,Teresópolis,teresopolis,,,brasil_aberto,True
BA,2900702,Alagoinhas,Terezópolis,terezopolis,-12.131216,-38.425812,mapbox_geocoding,True
BA,2900702,Alagoinhas,Vale,vale,-14.852542,-40.826147,mapbox_geocoding,True
BA,2900801,Alcobaça,Centro,centro,-17.54099464,-39.19329834,brasil_aberto_first_street,True
BA,2900801,Alcobaça,São José de Alcobaça,sao jose de alcobaca,,,brasil_aberto,True
BA,2900900,Almadina,Centro,centro,-14.70292282,-39.63699722,brasil_aberto_first_street,True
BA,2901007,Amargosa,Centro,centro,-13.0296908,-39.6044255,brasil_aberto_first_street,True
BA,2901007,Amargosa,Corta Mão,corta mao,,,dne,True
BA,2901007,Amargosa,Diógenes Sampaio,diogenes sampaio,,,dne,True
