Uf,CityIbgeCode,City,Neighborhood,NormalizedName,Latitude,Longitude,Source,IsActive
CE,2300101,Abaiara,Centro,centro,-7.3589977,-39.0486539,brasil_aberto_first_street,True
CE,2300101,Abaiara,São José,sao jose,,,dne,True
CE,2300150,Acarape,Canta Galo,canta galo,-4.2640705,-38.6850898,brasil_aberto_first_street,True
CE,2300150,Acarape,Centro,centro,-4.2243623,-38.7052677,brasil_aberto_first_street,True
CE,2300200,Acaraú,Aranaú,aranau,,,dne,True
CE,2300200,Acaraú,Centro,centro,-2.8845811,-40.1206887,brasil_aberto_first_street,True
CE,2300200,Acaraú,Juritianha,juritianha,-2.9014842,-40.00048109999999,brasil_aberto_first_street,True
CE,2300200,Acaraú,Lagoa do Carneiro,lagoa do carneiro,,,dne,True
CE,2300200,Acaraú,Santa Fé,santa fe,,,dne,True
CE,2300309,Acopiara,Barra do Ingá,barra do inga,-6.1970807,-39.5766778,brasil_aberto_first_street,True
CE,2300309,Acopiara,Centro,centro,-6.08993816,-39.45323944,brasil_aberto_first_street,True
CE,2300309,Acopiara,Ebron,ebron,-6.2743948,-39.5913018,brasil_aberto_first_street,True
CE,2300309,Acopiara,Isidoro,isidoro,-6.0931519,-39.4531552,brasil_aberto_first_street,True
CE,2300309,Acopiara,Quincoé,quincoe,-6.0931519,-39.4531552,brasil_aberto_first_street,True
CE,2300309,Acopiara,Santa Felícia,santa felicia,-6.1005622,-39.1669214,brasil_aberto_first_street,True
CE,2300309,Acopiara,Santo Antônio,santo antonio,-6.1254062,-39.2638112,brasil_aberto_first_street,True
CE,2300309,Acopiara,São Paulinho,sao paulinho,-6.175163,-39.6608572,brasil_aberto_first_street,True
CE,2300309,Acopiara,Solidão,solidao,,,dne,True
CE,2300309,Acopiara,Trussu,trussu,-6.0956153,-39.740252,brasil_aberto_first_street,True
CE,2300408,Aiuaba,Barra,barra,-6.595838,-40.318969,brasil_aberto_first_street,True
CE,2300408,Aiuaba,Boa Vista,boa vista,-6.57248688,-40.12303162,brasil_aberto_first_street,True
CE,2300408,Aiuaba,Centro,centro,,,brasil_aberto,True
CE,2300507,Alcântaras,Centro,centro,-3.5875647,-40.5453686,brasil_aberto_first_street,True
CE,2300507,Alcântaras,Ventura,ventura,,,dne,True
CE,2300606,Altaneira,Centro,centro,-7.002005199999999,-39.7401781,brasil_aberto_first_street,True
CE,2300606,Altaneira,São Romão,sao romao,,,dne,True
CE,2300705,Alto Santo,Castanhão,castanhao,,,dne,True
CE,2300705,Alto Santo,Centro,centro,-5.5193582,-38.27105210000001,brasil_aberto_first_street,True
CE,2300754,Amontada,Aracatiara,aracatiara,,,dne,True
CE,2300754,Amontada,Centro,centro,-3.3614271,-39.8318039,brasil_aberto_first_street,True
CE,2300754,Amontada,Garças,garcas,-3.1008244,-39.5834084,brasil_aberto_first_street,True
CE,2300754,Amontada,Icaraí,icarai,-3.1008244,-39.5834084,brasil_aberto_first_street,True
CE,2300754,Amontada,Lagoa Grande,lagoa grande,-3.1008244,-39.5834084,brasil_aberto_first_street,True
CE,2300754,Amontada,Moitas,moitas,-3.0118882,-39.6874556,brasil_aberto_first_street,True
CE,2300754,Amontada,Mosquito,mosquito,,,dne,True
CE,2300754,Amontada,Nascente,nascente,-3.1008244,-39.5834084,brasil_aberto_first_street,True
CE,2300754,Amontada,Poço Comprido,poco comprido,,,dne,True
CE,2300754,Amontada,Sabiaguaba,sabiaguaba,-3.1008244,-39.5834084,brasil_aberto_first_street,True
CE,2300804,Antonina do Norte,Centro,centro,-6.774677899999999,-39.98794669999999,brasil_aberto_first_street,True
CE,2300804,Antonina do Norte,Taboleiro,taboleiro,,,dne,True
CE,2300804,Antonina do Norte,Taboleiro dos Mendes,taboleiro dos mendes,,,dne,True
CE,2300903,Apuiarés,Canafistula,canafistula,,,dne,True
CE,2300903,Apuiarés,Centro,centro,-3.948468199999999,-39.43094809999999,brasil_aberto_first_street,True
CE,2300903,Apuiarés,Vila Soares,vila soares,-3.8669544,-39.3501895,brasil_aberto_first_street,True
CE,2301000,Aquiraz,Camará,camara,-3.9341002,-38.3128218,brasil_aberto_first_street,True
CE,2301000,Aquiraz,Caponga da Bernarda,caponga da bernarda,,,dne,True
CE,2301000,Aquiraz,Centro,centro,,,dne,True
CE,2301000,Aquiraz,Jacaúna,jacauna,,,dne,True
CE,2301000,Aquiraz,João de Castro,joao de castro,,,dne,True
