Uf,CityIbgeCode,City,Neighborhood,NormalizedName,Latitude,Longitude,Source,IsActive
ES,3200102,Afonso Cláudio,Centro,centro,-20.07513046,-41.12649155,brasil_aberto_first_street,True
ES,3200102,Afonso Cláudio,Fazenda Guandu,fazenda guandu,-20.21380615,-41.10358047,brasil_aberto_first_street,True
ES,3200102,Afonso Cláudio,Ibicaba,ibicaba,-20.167383,-41.097401,mapbox_geocoding,True
ES,3200102,Afonso Cláudio,Mata Fria,mata fria,-20.167383,-41.097401,mapbox_geocoding,True
ES,3200102,Afonso Cláudio,Piracema,piracema,-20.20783615,-40.32117462,brasil_aberto_first_street,True
ES,3200102,Afonso Cláudio,Pontões,pontoes,-21.31918716,-42.86124039,brasil_aberto_first_street,True
ES,3200102,Afonso Cláudio,São Francisco Xavier do Guandu,sao francisco xavier do guandu,-20.00621796,-41.09879303,brasil_aberto_first_street,True
ES,3200102,Afonso Cláudio,São Luís de Boa Sorte,sao luis de boa sorte,,,dne,True
ES,3200102,Afonso Cláudio,Serra Pelada,serra pelada,-20.00342369,-41.02947617,brasil_aberto_first_street,True
ES,3200136,Águia Branca,Águas Claras,aguas claras,-18.8811901,-40.8272822,brasil_aberto_first_street,True
ES,3200136,Águia Branca,Centro,centro,-18.9839844,-40.7387083,brasil_aberto_first_street,True
ES,3200136,Águia Branca,Ebenezer,ebenezer,-19.0853519,-40.6792229,brasil_aberto_first_street,True
ES,3200169,Água Doce do Norte,Centro,centro,-18.54777718,-40.97801971,brasil_aberto_first_street,True
ES,3200169,Água Doce do Norte,Governador Lacerda de Aguiar,governador lacerda de aguiar,-18.635865,-40.94027699999999,brasil_aberto_first_street,True
ES,3200169,Água Doce do Norte,Santa Luzia do Azul,santa luzia do azul,-18.4188979,-41.1244295,brasil_aberto_first_street,True
ES,3200169,Água Doce do Norte,Santo Agostinho,santo agostinho,-18.412874,-41.0367914,brasil_aberto_first_street,True
ES,3200169,Água Doce do Norte,Vila Nelita,vila nelita,-18.42918968,-40.98329163,brasil_aberto_first_street,True
ES,3200201,Alegre,Anutiba,anutiba,-20.6093519,-41.4515254,brasil_aberto_first_street,True
ES,3200201,Alegre,Araraí,ararai,-20.59283638,-41.55607224,brasil_aberto_first_street,True
ES,3200201,Alegre,Café,cafe,-20.8702387,-41.5718662,brasil_aberto_first_street,True
ES,3200201,Alegre,Celina,celina,-20.772089,-41.67502975,brasil_aberto_first_street,True
ES,3200201,Alegre,Centro,centro,-20.32141685,-40.3382988,brasil_aberto_first_street,True
ES,3200201,Alegre,Rive,rive,-20.7523365,-41.4626503,brasil_aberto_first_street,True
ES,3200201,Alegre,Santa Angélica,santa angelica,,,dne,True
ES,3200201,Alegre,São João do Norte,sao joao do norte,,,dne,True
ES,3200300,Alfredo Chaves,Centro,centro,-19.53380203,-40.62623978,brasil_aberto_first_street,True
ES,3200300,Alfredo Chaves,Crubixá,crubixa,-20.499362,-40.739564,mapbox_geocoding,True
ES,3200300,Alfredo Chaves,Ibitiruí,ibitirui,-20.602003,-40.8599141,brasil_aberto_first_street,True
ES,3200300,Alfredo Chaves,Matilde,matilde,-20.5540536,-40.8151146,brasil_aberto_first_street,True
ES,3200300,Alfredo Chaves,Ribeirão do Cristo,ribeirao do cristo,,,dne,True
ES,3200300,Alfredo Chaves,Sagrada Família,sagrada familia,-20.6351751,-40.7500283,brasil_aberto_first_street,True
ES,3200300,Alfredo Chaves,Urânia,urania,,,dne,True
ES,3200359,Alto Rio Novo,Centro,centro,-19.40465736,-40.06628418,brasil_aberto_first_street,True
ES,3200359,Alto Rio Novo,Monte Carmelo do Rio Novo,monte carmelo do rio novo,,,dne,True
ES,3200359,Alto Rio Novo,Palmerino,palmerino,,,dne,True
ES,3200409,Anchieta,Alto Pongal,alto pongal,-20.724327,-40.779593,mapbox_geocoding,True
ES,3200409,Anchieta,Centro,centro,-20.8061649,-40.6507235,brasil_aberto_first_street,True
ES,3200409,Anchieta,Iriri,iriri,-20.8306376,-40.6950139,brasil_aberto_first_street,True
ES,3200409,Anchieta,Iriritiba,iriritiba,,,dne,True
ES,3200409,Anchieta,Jabaquara,jabaquara,-20.68585968,-40.6777153,brasil_aberto_first_street,True
ES,3200409,Anchieta,Mãe-bá,mae ba,-20.7662875,-40.5755852,brasil_aberto_first_street,True
ES,3200409,Anchieta,Padre José de Anchieta,padre jose de anchieta,-20.792481,-40.639426,mapbox_geocoding,True
ES,3200409,Anchieta,Planalto,planalto,-20.8194608,-40.622314,brasil_aberto_first_street,True
ES,3200409,Anchieta,Ponta de Ubu,ponta de ubu,-20.77474785,-40.57795334,brasil_aberto_first_street,True
ES,3200409,Anchieta,Praia dos Castelhanos,praia dos castelhanos,-20.8017618,-40.5938223,brasil_aberto_first_street,True
ES,3200409,Anchieta,Recanto do Sol,recanto do sol,-12.90495968,-38.39032745,brasil_aberto_first_street,True
ES,3200409,Anchieta,Ubú,ubu,-20.80191612,-40.5949173,brasil_aberto_first_street,True
ES,3200508,Apiacá,Boa Vista,boa vista,-21.161398,-41.569245,mapbox_geocoding,True
ES,3200508,Apiacá,Bom Sucesso - Distrito,bom sucesso distrito,-20.981393,-41.558807,mapbox_geocoding,True
ES,3200508,Apiacá,Bonsucesso,bonsucesso,-20.98118019,-41.55847549,brasil_aberto_first_street,True
ES,3200508,Apiacá,Centro,centro,-21.155256,-41.565575,mapbox_geocoding,True
ES,3200508,Apiacá,Francisco Jorge da Silva,francisco jorge da silva,-21.155256,-41.565575,mapbox_geocoding,True
ES,3200508,Apiacá,José Carlos,jose carlos,-21.1474716,-41.6208775,brasil_aberto_first_street,True
ES,3200508,Apiacá,José Carlos - Distrito,jose carlos distrito,-21.148548,-41.620691,mapbox_geocoding,True
ES,3200508,Apiacá,José Henriques,jose henriques,-21.147661,-41.578712,mapbox_geocoding,True
ES,3200508,Apiacá,José Maria da Silveira,jose maria da silveira,-21.160434,-41.567266,mapbox_geocoding,True
ES,3200508,Apiacá,José Mendes de Freitas,jose mendes de freitas,-21.147437,-41.576277,mapbox_geocoding,True
ES,3200508,Apiacá,Oswaldo de Castro da Silveira,oswaldo de castro da silveira,-21.155256,-41.565575,mapbox_geocoding,True
ES,3200508,Apiacá,Parque das Palmeiras,parque das palmeiras,-21.159747,-41.56874,mapbox_geocoding,True
ES,3200508,Apiacá,Zona Rural Bom Sucesso,zona rural bom sucesso,-21.155256,-41.565575,mapbox_geocoding,True
ES,3200508,Apiacá,Zona Rural de Apiacá,zona rural de apiaca,-21.155256,-41.565575,mapbox_geocoding,True
ES,3200508,Apiacá,Zona Rural José Carlos - Distrito,zona rural jose carlos distrito,-21.155256,-41.565575,mapbox_geocoding,True
ES,3200607,Aracruz,Área Rural de Aracruz,area rural de aracruz,-19.8244299,-40.2670486,brasil_aberto_first_street,True
ES,3200607,Aracruz,Barra do Riacho,barra do riacho,-19.8228817,-40.06365585,brasil_aberto_first_street,True
ES,3200607,Aracruz,Barra do Sahy,barra do sahy,-19.88373756,-40.09502411,brasil_aberto_first_street,True
ES,3200607,Aracruz,Bela Vista,bela vista,-19.81200409,-40.2736702,brasil_aberto_first_street,True
ES,3200607,Aracruz,Centro,centro,-19.81200409,-40.2736702,brasil_aberto_first_street,True
ES,3200607,Aracruz,Centro Empresarial,centro empresarial,-19.83140373,-40.27224731,brasil_aberto_first_street,True
ES,3200607,Aracruz,Coqueiral,coqueiral,-19.93209076,-40.14249802,brasil_aberto_first_street,True
ES,3200607,Aracruz,Cupido,cupido,-19.81200409,-40.2736702,brasil_aberto_first_street,True
ES,3200607,Aracruz,De Carli,de carli,-19.81200409,-40.2736702,brasil_aberto_first_street,True
ES,3200607,Aracruz,Fátima,fatima,-19.829384,-40.267353,mapbox_geocoding,True
ES,3200607,Aracruz,Guanabara,guanabara,-19.80628014,-40.29693604,brasil_aberto_first_street,True
ES,3200607,Aracruz,Guaraná,guarana,-19.67780304,-40.26021957,brasil_aberto_first_street,True
ES,3200607,Aracruz,Guaxindiba,guaxindiba,-19.81200409,-40.2736702,brasil_aberto_first_street,True
ES,3200607,Aracruz,Itaparica,itaparica,-20.3600235,-40.29681778,brasil_aberto_first_street,True
ES,3200607,Aracruz,Itaputera,itaputera,-19.8243585,-40.2809915,brasil_aberto_first_street,True
ES,3200607,Aracruz,Jacupemba,jacupemba,-19.58570862,-40.19469452,brasil_aberto_first_street,True
ES,3200607,Aracruz,Jardins,jardins,-19.82435226,-40.26696777,brasil_aberto_first_street,True
ES,3200607,Aracruz,Jequitibá,jequitiba,-19.81200409,-40.2736702,brasil_aberto_first_street,True
ES,3200607,Aracruz,Limão,limao,-19.81226,-40.28014,mapbox_geocoding,True
ES,3200607,Aracruz,Mar Azul,mar azul,-19.91560173,-40.10356903,brasil_aberto_first_street,True
ES,3200607,Aracruz,Morobá,moroba,-19.82717133,-40.25680161,brasil_aberto_first_street,True
ES,3200607,Aracruz,Nova Colatina,nova colatina,-19.58570862,-40.19469452,brasil_aberto_first_street,True
ES,3200607,Aracruz,Nova Conquista,nova conquista,-19.82435226,-40.26696777,brasil_aberto_first_street,True
ES,3200607,Aracruz,Novo Irajá,novo iraja,-20.221226,-40.281473,mapbox_geocoding,True
ES,3200607,Aracruz,Novo Jequitibá,novo jequitiba,-19.8304639,-40.2804585,brasil_aberto_first_street,True
ES,3200607,Aracruz,Planalto,planalto,-19.81200409,-40.2736702,brasil_aberto_first_street,True
ES,3200607,Aracruz,Polivalente,polivalente,-19.81200409,-40.2736702,brasil_aberto_first_street,True
ES,3200607,Aracruz,Pontal do Piraqueaçú,pontal do piraqueacu,-19.9047908,-40.2219386,brasil_aberto_first_street,True
ES,3200607,Aracruz,Praia dos Padres,praia dos padres,-19.93087959,-40.12349319,brasil_aberto_first_street,True
ES,3200607,Aracruz,Praia Formosa,praia formosa,-20.0052166,-40.16090393,brasil_aberto_first_street,True
ES,3200607,Aracruz,Primavera,primavera,-19.83140373,-40.27224731,brasil_aberto_first_street,True
ES,3200607,Aracruz,Putirí,putiri,-19.90564346,-40.09852982,brasil_aberto_first_street,True
ES,3200607,Aracruz,Recanto Feliz,recanto feliz,-19.68517876,-40.26427078,brasil_aberto_first_street,True
ES,3200607,Aracruz,Residencial Solar Bitti,residencial solar bitti,-19.82351685,-40.26871872,brasil_aberto_first_street,True
ES,3200607,Aracruz,Residencial Valle Verde,residencial valle verde,-19.84659576,-40.27136993,brasil_aberto_first_street,True
ES,3200607,Aracruz,Santa Cruz,santa cruz,-19.8282391,-40.2685503,brasil_aberto_first_street,True
ES,3200607,Aracruz,Santa Luzia,santa luzia,-19.8334,-40.282497,mapbox_geocoding,True
ES,3200607,Aracruz,Santa Marta,santa marta,-20.31118965,-40.3168335,brasil_aberto_first_street,True
ES,3200607,Aracruz,São Clemente,sao clemente,-19.82332993,-40.28342438,brasil_aberto_first_street,True
ES,3200607,Aracruz,São Francisco,sao francisco,-19.8244299,-40.2670486,brasil_aberto_first_street,True
ES,3200607,Aracruz,São José,sao jose,-19.57468605,-40.18616867,brasil_aberto_first_street,True
ES,3200607,Aracruz,São Marcos,sao marcos,-19.8035958,-40.2771552,brasil_aberto_first_street,True
ES,3200607,Aracruz,Sauaçu,sauacu,-19.8244226,-40.2670497,brasil_aberto_first_street,True
ES,3200607,Aracruz,Sauê,saue,-19.9257164,-40.11554337,brasil_aberto_first_street,True
ES,3200607,Aracruz,Segato,segato,-19.8253441,-40.2691421,brasil_aberto_first_street,True
ES,3200607,Aracruz,Terra Indígena Caieiras Velha II,terra indigena caieiras velha ii,-19.821373,-40.275887,mapbox_geocoding,True
ES,3200607,Aracruz,Terra Indígena Comboios,terra indigena comboios,-19.828718,-40.267881,mapbox_geocoding,True
ES,3200607,Aracruz,Terra Indígena Tupiniquim,terra indigena tupiniquim,-19.581581,-39.830576,mapbox_geocoding,True
ES,3200607,Aracruz,Vila do Riacho,vila do riacho,-19.7509594,-40.04336166,brasil_aberto_first_street,True
ES,3200607,Aracruz,Vila Nova,vila nova,-19.81200409,-40.2736702,brasil_aberto_first_street,True
ES,3200607,Aracruz,Vila Rica,vila rica,-19.81200409,-40.2736702,brasil_aberto_first_street,True
ES,3200706,Atílio Vivácqua,Niterói,niteroi,-20.91601753,-41.19551468,brasil_aberto_first_street,True
ES,3200805,Baixo Guandu,Alto Mutum Preto,alto mutum preto,-19.2752681,-40.9094392,brasil_aberto_first_street,True
ES,3200805,Baixo Guandu,Centro,centro,-19.51393509,-41.01093292,brasil_aberto_first_street,True
ES,3200805,Baixo Guandu,Ibituba,ibituba,-19.68856621,-41.01671982,brasil_aberto_first_street,True
ES,3200805,Baixo Guandu,Quilômetro 14 do Mutum,quilometro 14 do mutum,-19.39778328,-40.9051857,brasil_aberto_first_street,True
ES,3200805,Baixo Guandu,Vila Nova de Bananal,vila nova de bananal,-19.68787003,-41.12359619,brasil_aberto_first_street,True
ES,3200904,Barra de São Francisco,Cachoeirinha de Itaúna,cachoeirinha de itauna,-18.8753605,-40.9297213,brasil_aberto_first_street,True
ES,3200904,Barra de São Francisco,Centro,centro,-18.75819588,-40.89179993,brasil_aberto_first_street,True
ES,3200904,Barra de São Francisco,Itaperuna,itaperuna,-18.7082858,-40.7362894,brasil_aberto_first_street,True
ES,3200904,Barra de São Francisco,Monte Senir,monte senir,-18.8373199,-40.7802588,brasil_aberto_first_street,True
ES,3200904,Barra de São Francisco,Monte Sinai,monte sinai,-18.5862685,-40.8876237,brasil_aberto_first_street,True
ES,3200904,Barra de São Francisco,Paulista,paulista,-18.6660645,-40.7956093,brasil_aberto_first_street,True
ES,3200904,Barra de São Francisco,Poranga,poranga,-18.5836385,-40.8622682,brasil_aberto_first_street,True
ES,3200904,Barra de São Francisco,Santo Antônio,santo antonio,-19.723423,-40.69557571,brasil_aberto_first_street,True
ES,3200904,Barra de São Francisco,Vargem Alegre,vargem alegre,-18.75696373,-40.89129639,brasil_aberto_first_street,True
ES,3201001,Boa Esperança,Centro,centro,-18.54000473,-40.29792023,brasil_aberto_first_street,True
ES,3201001,Boa Esperança,Quilômetro Vinte,quilometro vinte,-18.48912048,-40.39723587,brasil_aberto_first_street,True
ES,3201001,Boa Esperança,Santo Antônio do Pousalegre,santo antonio do pousalegre,,,dne,True
ES,3201001,Boa Esperança,São José do Sobradinho,sao jose do sobradinho,,,dne,True
ES,3201100,Bom Jesus do Norte,Área Rural de Bom Jesus do Norte,area rural de bom jesus do norte,-21.131742,-41.67606,mapbox_geocoding,True
ES,3201100,Bom Jesus do Norte,Belvedere,belvedere,-21.124142,-41.666874,mapbox_geocoding,True
ES,3201100,Bom Jesus do Norte,Centro,centro,-21.130701,-41.676306,mapbox_geocoding,True
ES,3201100,Bom Jesus do Norte,Dona Léa,dona lea,-21.131742,-41.67606,mapbox_geocoding,True
ES,3201100,Bom Jesus do Norte,Grande Vitória,grande vitoria,-21.125038,-41.658481,mapbox_geocoding,True
ES,3201100,Bom Jesus do Norte,Luiz Felipe,luiz felipe,-21.131742,-41.67606,mapbox_geocoding,True
ES,3201100,Bom Jesus do Norte,Macário Parte Alta,macario parte alta,-21.122069,-41.676274,mapbox_geocoding,True
ES,3201100,Bom Jesus do Norte,Macário Parte Baixa,macario parte baixa,-21.131742,-41.67606,mapbox_geocoding,True
ES,3201100,Bom Jesus do Norte,Pedro Branco,pedro branco,-21.124142,-41.666874,mapbox_geocoding,True
ES,3201100,Bom Jesus do Norte,São João,sao joao,-21.125652,-41.674364,mapbox_geocoding,True
ES,3201100,Bom Jesus do Norte,São Sebastião,sao sebastiao,-21.124142,-41.666874,mapbox_geocoding,True
ES,3201100,Bom Jesus do Norte,Silvana,silvana,-21.124142,-41.666874,mapbox_geocoding,True
ES,3201100,Bom Jesus do Norte,Vista Alegre,vista alegre,-21.121482,-41.664816,mapbox_geocoding,True
ES,3201159,Brejetuba,Centro,centro,-20.14952469,-41.29278946,brasil_aberto_first_street,True
ES,3201159,Brejetuba,Santa Rita de Brejetuba,santa rita de brejetuba,-20.149507,-41.2922431,brasil_aberto_first_street,True
ES,3201159,Brejetuba,São Jorge de Oliveira,sao jorge de oliveira,-19.97990227,-41.28301239,brasil_aberto_first_street,True
ES,3201159,Brejetuba,São Jorge do Oliveira,sao jorge do oliveira,,,brasil_aberto,True
ES,3201209,Cachoeiro de Itapemirim,Abelardo Ferreira Machado,abelardo ferreira machado,-20.84100723,-41.11693573,brasil_aberto_first_street,True
ES,3201209,Cachoeiro de Itapemirim,Aeroporto,aeroporto,-20.832203,-41.1843303,brasil_aberto_first_street,True
ES,3201209,Cachoeiro de Itapemirim,Agostinho Simonato,agostinho simonato,-20.84461784,-41.15167999,brasil_aberto_first_street,True
ES,3201209,Cachoeiro de Itapemirim,Alto Amarelo,alto amarelo,-20.8615225,-41.1111928,brasil_aberto_first_street,True
ES,3201209,Cachoeiro de Itapemirim,Alto Independência,alto independencia,-20.8473053,-41.11083603,brasil_aberto_first_street,True
ES,3201209,Cachoeiro de Itapemirim,Alto Monte Cristo,alto monte cristo,-20.87319946,-41.15699005,brasil_aberto_first_street,True
ES,3201209,Cachoeiro de Itapemirim,Alto Novo Parque,alto novo parque,-20.82683754,-41.11627579,brasil_aberto_first_street,True
ES,3201209,Cachoeiro de Itapemirim,Alto União,alto uniao,-20.8796403,-41.1050033,brasil_aberto_first_street,True
ES,3201209,Cachoeiro de Itapemirim,Álvaro Tavares,alvaro tavares,-20.86554337,-41.10108185,brasil_aberto_first_street,True
ES,3201209,Cachoeiro de Itapemirim,Amaral,amaral,-9.61816788,-35.69153976,brasil_aberto_first_street,True
ES,3201209,Cachoeiro de Itapemirim,Amarelo,amarelo,-20.85462761,-41.11803436,brasil_aberto_first_street,True
ES,3201209,Cachoeiro de Itapemirim,Aquidaban,aquidaban,-20.84100723,-41.11693573,brasil_aberto_first_street,True
ES,3201209,Cachoeiro de Itapemirim,Arariguaba,arariguaba,-20.86554337,-41.10108185,brasil_aberto_first_street,True
ES,3201209,Cachoeiro de Itapemirim,Área Rural de Cachoeiro de Itapemirim,area rural de cachoeiro de itapemirim,-20.85179901,-41.11486435,brasil_aberto_first_street,True
ES,3201209,Cachoeiro de Itapemirim,Baiminas,baiminas,-20.85781,-41.1039513,brasil_aberto_first_street,True
ES,3201209,Cachoeiro de Itapemirim,Basiléia,basileia,-20.84890556,-41.12213898,brasil_aberto_first_street,True
ES,3201209,Cachoeiro de Itapemirim,Bela Vista,bela vista,-20.861744,-41.104984,mapbox_geocoding,True
ES,3201209,Cachoeiro de Itapemirim,Boa Esperança,boa esperanca,-20.84750938,-41.13964081,brasil_aberto_first_street,True
ES,3201209,Cachoeiro de Itapemirim,Boa Vista,boa vista,-20.83688927,-41.16804504,brasil_aberto_first_street,True
ES,3201209,Cachoeiro de Itapemirim,Bom Pastor,bom pastor,-20.82683754,-41.11627579,brasil_aberto_first_street,True
ES,3201209,Cachoeiro de Itapemirim,Burarama,burarama,-20.67922783,-41.34183502,brasil_aberto_first_street,True
ES,3201209,Cachoeiro de Itapemirim,Caiçara,caicara,-20.84461784,-41.15167999,brasil_aberto_first_street,True
ES,3201209,Cachoeiro de Itapemirim,Campo da Leopoldina,campo da leopoldina,-20.85018539,-41.12548065,brasil_aberto_first_street,True
ES,3201209,Cachoeiro de Itapemirim,Central Parque,central parque,-20.8287071,-41.1646853,brasil_aberto_first_street,True
ES,3201209,Cachoeiro de Itapemirim,Centro,centro,-20.85042381,-41.11458206,brasil_aberto_first_street,True
ES,3201209,Cachoeiro de Itapemirim,Conduru,conduru,-20.67346382,-41.20465469,brasil_aberto_first_street,True
ES,3201209,Cachoeiro de Itapemirim,Coramara,coramara,-20.8320713,-41.15732193,brasil_aberto_first_street,True
ES,3201209,Cachoeiro de Itapemirim,Coronel Borges,coronel borges,-20.8473053,-41.11083603,brasil_aberto_first_street,True
ES,3201209,Cachoeiro de Itapemirim,Córrego dos Monos,corrego dos monos,-20.86862564,-41.20883942,brasil_aberto_first_street,True
ES,3201209,Cachoeiro de Itapemirim,Coutinho,coutinho,-20.7560266,-41.1944446,brasil_aberto_first_street,True
ES,3201209,Cachoeiro de Itapemirim,Doutor Gilberto Machado,doutor gilberto machado,-20.856893,-41.1215554,brasil_aberto_first_street,True
ES,3201209,Cachoeiro de Itapemirim,Doutor Gilson Carone,doutor gilson carone,-20.83453751,-41.14440536,brasil_aberto_first_street,True
ES,3201209,Cachoeiro de Itapemirim,Doutor Luiz Tinoco da Fonseca,doutor luiz tinoco da fonseca,-20.8320713,-41.15732193,brasil_aberto_first_street,True
ES,3201209,Cachoeiro de Itapemirim,Elpídio Volpini,elpidio volpini,-20.82239532,-41.13097763,brasil_aberto_first_street,True
ES,3201209,Cachoeiro de Itapemirim,Estelita Coelho Marins,estelita coelho marins,-20.8501849,-41.1254822,brasil_aberto_first_street,True
ES,3201209,Cachoeiro de Itapemirim,Fé e Raça,fe e raca,-20.8318634,-41.1177886,brasil_aberto_first_street,True
ES,3201209,Cachoeiro de Itapemirim,Ferroviários,ferroviarios,-20.84240532,-41.11111832,brasil_aberto_first_street,True
ES,3201209,Cachoeiro de Itapemirim,Gironda,gironda,-20.8590482,-41.1145608,brasil_aberto_first_street,True
ES,3201209,Cachoeiro de Itapemirim,Gruta,gruta,,,dne,True
ES,3201209,Cachoeiro de Itapemirim,Guandú,guandu,-20.84547234,-41.12118912,brasil_aberto_first_street,True
ES,3201209,Cachoeiro de Itapemirim,IBC,ibc,-20.87319946,-41.15699005,brasil_aberto_first_street,True
ES,3201209,Cachoeiro de Itapemirim,Ibitiquara,ibitiquara,-20.84737778,-41.11117172,brasil_aberto_first_street,True
ES,3201209,Cachoeiro de Itapemirim,Ilha da Luz,ilha da luz,-20.77412415,-41.0618782,brasil_aberto_first_street,True
ES,3201209,Cachoeiro de Itapemirim,Independência,independencia,-20.8473053,-41.11083603,brasil_aberto_first_street,True
ES,3201209,Cachoeiro de Itapemirim,Itabira,itabira,,,dne,True
