Uf,CityIbgeCode,City,Neighborhood,NormalizedName,Latitude,Longitude,Source,IsActive
GO,5200050,Abadia de Goiás,Área Rural de Abadia de Goiás,area rural de abadia de goias,-16.759356,-49.437607,mapbox_geocoding,True
GO,5200050,Abadia de Goiás,Campos Elysios,campos elysios,-16.759356,-49.437607,mapbox_geocoding,True
GO,5200050,Abadia de Goiás,Centro,centro,-16.809097,-49.325923,mapbox_geocoding,True
GO,5200050,Abadia de Goiás,Chácara Rancho Dourado,chacara rancho dourado,-15.9145,-50.415548,mapbox_geocoding,True
GO,5200050,Abadia de Goiás,Condomínio Residencial Copacabana,condominio residencial copacabana,-16.83639,-49.404813,mapbox_geocoding,True
GO,5200050,Abadia de Goiás,Conjunto Arco Iris,conjunto arco iris,-16.808874,-49.327849,mapbox_geocoding,True
GO,5200050,Abadia de Goiás,Conjunto Habitacional Cid Aguiar Silva,conjunto habitacional cid aguiar silva,-16.805877,-49.321334,mapbox_geocoding,True
GO,5200050,Abadia de Goiás,Conjunto Habitacional Frater Pablo de Oliveira Vasconcelos,conjunto habitacional frater pablo de oliveira vasconcelos,-16.765066,-49.427984,mapbox_geocoding,True
GO,5200050,Abadia de Goiás,Conjunto José Mendonça,conjunto jose mendonca,-16.80916,-49.326811,mapbox_geocoding,True
GO,5200050,Abadia de Goiás,Conjunto Renascer,conjunto renascer,-16.809097,-49.325923,mapbox_geocoding,True
GO,5200050,Abadia de Goiás,Conjunto Salvino Cezário,conjunto salvino cezario,-16.759356,-49.437607,mapbox_geocoding,True
GO,5200050,Abadia de Goiás,Daniella Park,daniella park,-16.758519,-49.43813,mapbox_geocoding,True
GO,5200050,Abadia de Goiás,Fazenda Dourados,fazenda dourados,-16.759356,-49.437607,mapbox_geocoding,True
GO,5200050,Abadia de Goiás,Jardim Bougainville,jardim bougainville,-16.776583,-49.431626,mapbox_geocoding,True
GO,5200050,Abadia de Goiás,Jardim Genuína Batista Borges,jardim genuina batista borges,-16.759356,-49.437607,mapbox_geocoding,True
GO,5200050,Abadia de Goiás,Jardim Itarumã,jardim itaruma,-16.806618,-49.327601,mapbox_geocoding,True
GO,5200050,Abadia de Goiás,Jardim Nova Abadia,jardim nova abadia,-16.758519,-49.43813,mapbox_geocoding,True
GO,5200050,Abadia de Goiás,Jardins Ville,jardins ville,-16.759356,-49.437607,mapbox_geocoding,True
GO,5200050,Abadia de Goiás,Paineiras I,paineiras i,-16.759356,-49.437607,mapbox_geocoding,True
GO,5200050,Abadia de Goiás,Paineiras II,paineiras ii,-16.759356,-49.437607,mapbox_geocoding,True
GO,5200050,Abadia de Goiás,Parque Izabel,parque izabel,-16.758519,-49.43813,mapbox_geocoding,True
GO,5200050,Abadia de Goiás,Quinta da Boa Vista,quinta da boa vista,-16.759356,-49.437607,mapbox_geocoding,True
GO,5200050,Abadia de Goiás,Quinta dos Sonhos,quinta dos sonhos,-16.759356,-49.437607,mapbox_geocoding,True
GO,5200050,Abadia de Goiás,Recanto dos Dourados,recanto dos dourados,-16.815275,-49.401443,mapbox_geocoding,True
