Uf,CityIbgeCode,City,Neighborhood,NormalizedName,Latitude,Longitude,Source,IsActive
MG,3100104,Abadia dos Dourados,Centro,centro,-18.48430443,-47.402771,brasil_aberto_first_street,True
MG,3100203,Abaeté,Centro,centro,-19.1576252,-45.44813538,brasil_aberto_first_street,True
MG,3100302,Abre Campo,Centro,centro,-20.30185127,-42.47848892,brasil_aberto_first_street,True
MG,3100302,Abre Campo,Granada,granada,-20.2990619,-42.4808238,brasil_aberto_first_street,True
MG,3100401,Acaiaca,Centro,centro,-17.3490962,-44.947475,brasil_aberto_first_street,True
MG,3100500,Açucena,Aramirim,aramirim,-19.01061249,-42.49018097,brasil_aberto_first_street,True
MG,3100500,Açucena,Centro,centro,-19.07347488,-42.5460968,brasil_aberto_first_street,True
MG,3100500,Açucena,Felicina,felicina,,,dne,True
MG,3100500,Açucena,Gama,gama,,,dne,True
MG,3100500,Açucena,Naque-Nanuque,naque nanuque,,,dne,True
MG,3100500,Açucena,Pedra Corrida,pedra corrida,,,brasil_aberto,True
MG,3100609,Água Boa,Centro,centro,-17.99444199,-42.39064026,brasil_aberto_first_street,True
MG,3100609,Água Boa,Palmeiras do Resplendor,palmeiras do resplendor,-17.80208206,-42.4146843,brasil_aberto_first_street,True
MG,3100708,Água Comprida,Centro,centro,-20.05876732,-48.10603333,brasil_aberto_first_street,True
MG,3100807,Aguanil,Boticão,boticao,-20.96533394,-45.48076248,brasil_aberto_first_street,True
MG,3100807,Aguanil,Centro,centro,-20.94252205,-45.39324188,brasil_aberto_first_street,True
MG,3100906,Águas Formosas,Água Quente,agua quente,-17.0914035,-41.0797172,brasil_aberto_first_street,True
MG,3100906,Águas Formosas,Centro,centro,-17.08189964,-40.93951416,brasil_aberto_first_street,True
MG,3101003,Águas Vermelhas,Campo Novo,campo novo,-15.5493536,-41.54109955,brasil_aberto_first_street,True
MG,3101003,Águas Vermelhas,Centro,centro,-15.7440736,-41.4571936,brasil_aberto_first_street,True
MG,3101003,Águas Vermelhas,Itamarati,itamarati,,,dne,True
MG,3101003,Águas Vermelhas,Machado Mineiro,machado mineiro,-15.52330875,-41.49905396,brasil_aberto_first_street,True
MG,3101003,Águas Vermelhas,Mocó,moco,,,brasil_aberto,True
MG,3101102,Aimorés,Alto Capim,alto capim,,,dne,True
MG,3101102,Aimorés,Centro,centro,-19.4917405,-41.0609215,brasil_aberto_first_street,True
MG,3101102,Aimorés,Conceição do Capim,conceicao do capim,,,dne,True
MG,3101102,Aimorés,Expedicionário Alício,expedicionario alicio,,,dne,True
MG,3101102,Aimorés,Mundo Novo de Minas,mundo novo de minas,,,dne,True
MG,3101102,Aimorés,Penha do Capim,penha do capim,,,dne,True
MG,3101102,Aimorés,Santo Antônio do Rio Doce,santo antonio do rio doce,,,brasil_aberto,True
MG,3101102,Aimorés,São José do Limoeiro,sao jose do limoeiro,,,dne,True
MG,3101102,Aimorés,São Sebastião da Vala,sao sebastiao da vala,,,dne,True
MG,3101102,Aimorés,Tabaúna,tabauna,,,dne,True
MG,3101201,Aiuruoca,Centro,centro,-21.97694016,-44.60361099,brasil_aberto_first_street,True
MG,3101300,Alagoa,Centro,centro,-22.1705196,-44.63931609999999,brasil_aberto_first_street,True
MG,3101409,Albertina,Centro,centro,-22.20090866,-46.61693573,brasil_aberto_first_street,True
MG,3101508,Além Paraíba,Angustura,angustura,-21.8853574,-42.700352,brasil_aberto_first_street,True
MG,3101508,Além Paraíba,Aterrado,aterrado,,,dne,True
MG,3101508,Além Paraíba,Centro,centro,-21.8783264,-42.6946223,brasil_aberto_first_street,True
MG,3101508,Além Paraíba,Porto Novo,porto novo,,,brasil_aberto,True
MG,3101607,Alfenas,Aparecida,aparecida,-18.90100288,-48.26496124,brasil_aberto_first_street,True
MG,3101607,Alfenas,Área Rural de Alfenas,area rural de alfenas,-21.4245173,-45.9470205,brasil_aberto_first_street,True
MG,3101607,Alfenas,Barranco Alto,barranco alto,-21.18216705,-45.96048355,brasil_aberto_first_street,True
MG,3101607,Alfenas,Bosque do Lobo,bosque do lobo,,,dne,True
MG,3101607,Alfenas,Campinho,campinho,-21.41920471,-45.94221497,brasil_aberto_first_street,True
MG,3101607,Alfenas,Campos Elísios,campos elisios,-21.419204,-45.9422135,brasil_aberto_first_street,True
MG,3101607,Alfenas,Centro,centro,-19.93274498,-43.93002701,brasil_aberto_first_street,True
MG,3101607,Alfenas,Chapada,chapada,-21.4234648,-45.9493315,brasil_aberto_first_street,True
MG,3101607,Alfenas,Cidade Jardim,cidade jardim,-21.4220116,-45.939852,brasil_aberto_first_street,True
MG,3101607,Alfenas,Conjunto Habitacional Campo Alegre (Por do Sol),conjunto habitacional campo alegre por do sol,-20.90976524,-46.9994812,brasil_aberto_first_street,True
