Uf,CityIbgeCode,City,Neighborhood,NormalizedName,Latitude,Longitude,Source,IsActive
MS,5000203,Água Clara,Área Rural de Água Clara,area rural de agua clara,-20.44245,-52.878227,mapbox_geocoding,True
MS,5000203,Água Clara,Barra Mansa,barra mansa,-20.447048,-52.874437,mapbox_geocoding,True
MS,5000203,Água Clara,Centro,centro,-20.448055,-52.875734,mapbox_geocoding,True
MS,5000203,Água Clara,Coohamac,coohamac,-20.430139,-52.877747,mapbox_geocoding,True
MS,5000203,Água Clara,Jardim 14 Bis,jardim 14 bis,-20.443102,-52.875864,mapbox_geocoding,True
MS,5000203,Água Clara,Jardim Aeroporto,jardim aeroporto,-20.436672,-52.873202,mapbox_geocoding,True
MS,5000203,Água Clara,Jardim Água Limpa,jardim agua limpa,-20.436672,-52.873202,mapbox_geocoding,True
MS,5000203,Água Clara,Jardim Alvorada,jardim alvorada,-20.436672,-52.873202,mapbox_geocoding,True
MS,5000203,Água Clara,Jardim Alvorada II,jardim alvorada ii,-20.430719,-52.872692,mapbox_geocoding,True
MS,5000203,Água Clara,Jardim Boa Vista,jardim boa vista,-20.44245,-52.878227,mapbox_geocoding,True
MS,5000203,Água Clara,Jardim Bom Jesus,jardim bom jesus,-20.436339,-52.890843,mapbox_geocoding,True
MS,5000203,Água Clara,Jardim das Palmeiras,jardim das palmeiras,-20.437268,-52.878223,mapbox_geocoding,True
MS,5000203,Água Clara,Jardim dos Ipês,jardim dos ipes,-20.44245,-52.878227,mapbox_geocoding,True
MS,5000203,Água Clara,Jardim Morumbi,jardim morumbi,-20.440346,-52.884164,mapbox_geocoding,True
MS,5000203,Água Clara,Jardim Nova Água Clara,jardim nova agua clara,-20.437268,-52.878223,mapbox_geocoding,True
MS,5000203,Água Clara,Jardim Novo Horizonte,jardim novo horizonte,-20.436672,-52.873202,mapbox_geocoding,True
MS,5000203,Água Clara,Jardim Novo Paraiso,jardim novo paraiso,-20.4456,-52.882251,mapbox_geocoding,True
MS,5000203,Água Clara,Jardim Paraíso,jardim paraiso,-20.443314,-52.885095,mapbox_geocoding,True
MS,5000203,Água Clara,Jardim Paulista,jardim paulista,-20.447499,-52.87652,mapbox_geocoding,True
MS,5000203,Água Clara,Jardim Planalto,jardim planalto,-20.436672,-52.873202,mapbox_geocoding,True
MS,5000203,Água Clara,Jardim Primavera,jardim primavera,-20.437268,-52.878223,mapbox_geocoding,True
MS,5000203,Água Clara,Jardim Primavera II,jardim primavera ii,-20.438718,-52.884217,mapbox_geocoding,True
MS,5000203,Água Clara,Jardim Santos Dumont,jardim santos dumont,-20.436346,-52.872443,mapbox_geocoding,True
MS,5000203,Água Clara,Jardim São Jorge,jardim sao jorge,-20.447048,-52.874437,mapbox_geocoding,True
MS,5000203,Água Clara,Jardim São Judas Tadeu,jardim sao judas tadeu,-20.437268,-52.878223,mapbox_geocoding,True
MS,5000203,Água Clara,Jardim São Judas Tadeu II,jardim sao judas tadeu ii,-20.437268,-52.878223,mapbox_geocoding,True
MS,5000203,Água Clara,Jardim Sinhozinho,jardim sinhozinho,-20.44245,-52.878227,mapbox_geocoding,True
MS,5000203,Água Clara,Jardim Vista Alegre,jardim vista alegre,-20.433508,-52.89124,mapbox_geocoding,True
