Uf,CityIbgeCode,City,Neighborhood,NormalizedName,Latitude,Longitude,Source,IsActive
MT,5100102,Acorizal,Aldeia,aldeia,,,brasil_aberto,True
MT,5100102,Acorizal,Baús,baus,,,dne,True
MT,5100102,Acorizal,Centro,centro,-15.20003,-56.365617,mapbox_geocoding,True
MT,5100102,Acorizal,Engenho,engenho,,,dne,True
MT,5100201,Água Boa,Centro,centro,-14.0488415,-52.1582087,brasil_aberto_first_street,True
MT,5100201,Água Boa,Jaragua,jaragua,-14.1751873,-52.70241120000001,brasil_aberto_first_street,True
MT,5100201,Água Boa,Serrinha,serrinha,-13.8720842,-52.7563708,brasil_aberto_first_street,True
MT,5100250,Alta Floresta,Centro,centro,-9.8792122,-56.0868045,brasil_aberto_first_street,True
MT,5100250,Alta Floresta,Cidade Alta,cidade alta,-9.8792122,-56.0868045,brasil_aberto_first_street,True
MT,5100250,Alta Floresta,Novo Cruzeiro,novo cruzeiro,,,brasil_aberto,True
MT,5100250,Alta Floresta,São José do Apuí,sao jose do apui,,,brasil_aberto,True
MT,5100250,Alta Floresta,Vila Mutum,vila mutum,,,dne,True
MT,5100300,Alto Araguaia,Buriti,buriti,,,dne,True
MT,5100300,Alto Araguaia,Centro,centro,-17.3164035,-53.2134773,brasil_aberto_first_street,True
MT,5100359,Alto Boa Vista,Centro,centro,-11.6723148,-51.3792904,brasil_aberto_first_street,True
MT,5100409,Alto Garças,Centro,centro,-16.9430516,-53.5312309,brasil_aberto_first_street,True
MT,5100508,Alto Paraguai,Campos Novos,campos novos,,,dne,True
MT,5100508,Alto Paraguai,Capão Verde,capao verde,,,dne,True
MT,5100508,Alto Paraguai,Centro,centro,-14.9294608,-56.8441304,brasil_aberto_first_street,True
MT,5100508,Alto Paraguai,Lavouras,lavouras,,,dne,True
MT,5100508,Alto Paraguai,Tira Sentido,tira sentido,,,brasil_aberto,True
MT,5100607,Alto Taquari,Centro,centro,-17.8301967,-53.2837957,brasil_aberto_first_street,True
MT,5100805,Apiacás,Centro,centro,-9.5618511,-57.3892688,brasil_aberto_first_street,True
MT,5101001,Araguaiana,Centro,centro,-15.7219655,-51.8357156,brasil_aberto_first_street,True
MT,5101209,Araguainha,Centro,centro,-16.8586044,-53.0334584,brasil_aberto_first_street,True
MT,5101258,Araputanga,Centro,centro,-15.4701261,-58.3482096,brasil_aberto_first_street,True
MT,5101308,Arenápolis,Centro,centro,-16.0704947,-57.6864138,brasil_aberto_first_street,True
MT,5101407,Aripuanã,Centro,centro,-10.1762623,-59.45332630000001,brasil_aberto_first_street,True
MT,5101407,Aripuanã,Cidade Morena,cidade morena,,,dne,True
MT,5101407,Aripuanã,Conselvan,conselvan,-9.927987,-59.91637549999999,brasil_aberto_first_street,True
MT,5101605,Barão de Melgaço,Centro,centro,-16.4741542,-54.6295387,brasil_aberto_first_street,True
MT,5101605,Barão de Melgaço,Joselândia,joselandia,,,dne,True
MT,5101704,Barra do Bugres,Assari,assari,,,dne,True
MT,5101704,Barra do Bugres,Centro,centro,-15.068166,-57.1798095,brasil_aberto_first_street,True
MT,5101704,Barra do Bugres,Nova Fernandopolis,nova fernandopolis,,,brasil_aberto,True
MT,5101704,Barra do Bugres,Tapirapua,tapirapua,,,dne,True
MT,5101803,Barra do Garças,Alto da Boa Vista,alto da boa vista,-15.8854673,-52.2622574,brasil_aberto_first_street,True
MT,5101803,Barra do Garças,Anchieta,anchieta,-15.8765038,-52.2360824,brasil_aberto_first_street,True
MT,5101803,Barra do Garças,Área Rural de Barra do Garças,area rural de barra do garcas,-15.8916202,-52.2618826,brasil_aberto_first_street,True
MT,5101803,Barra do Garças,Bela Vista,bela vista,-15.8830909,-52.2646424,brasil_aberto_first_street,True
MT,5101803,Barra do Garças,Campinas,campinas,-15.8878626,-52.2674893,brasil_aberto_first_street,True
MT,5101803,Barra do Garças,Centro,centro,-15.896356,-52.260118,brasil_aberto_first_street,True
MT,5101803,Barra do Garças,Condomínio Parque da Serra,condominio parque da serra,-15.8756837,-52.2276131,brasil_aberto_first_street,True
MT,5101803,Barra do Garças,Condomínio Parque das Flores,condominio parque das flores,-15.89238,-52.260693,mapbox_geocoding,True
MT,5101803,Barra do Garças,Conjunto Habitacional Araguaia,conjunto habitacional araguaia,-15.8916202,-52.2618826,brasil_aberto_first_street,True
MT,5101803,Barra do Garças,Conjunto Habitacional Jardim Amazônia,conjunto habitacional jardim amazonia,-15.8769378,-52.236959,brasil_aberto_first_street,True
MT,5101803,Barra do Garças,Conjunto Habitacional Piracema,conjunto habitacional piracema,-15.8813486,-52.2871542,brasil_aberto_first_street,True
MT,5101803,Barra do Garças,Distrito Industrial,distrito industrial,-15.8819105,-52.2306597,brasil_aberto_first_street,True
MT,5101803,Barra do Garças,Indianápolis,indianapolis,,,dne,True
MT,5101803,Barra do Garças,Jardim Araguaia,jardim araguaia,-15.8897489,-52.2734909,brasil_aberto_first_street,True
MT,5101803,Barra do Garças,Jardim Bela Vista,jardim bela vista,,,brasil_aberto,True
MT,5101803,Barra do Garças,Jardim das Garças,jardim das garcas,-15.896356,-52.260118,brasil_aberto_first_street,True
MT,5101803,Barra do Garças,Jardim das Mangueiras,jardim das mangueiras,-15.8831397,-52.2506403,brasil_aberto_first_street,True
MT,5101803,Barra do Garças,Jardim Domingos Mariano,jardim domingos mariano,-15.87411,-52.2165717,brasil_aberto_first_street,True
MT,5101803,Barra do Garças,Jardim Floresta I,jardim floresta i,-15.8872098,-52.2621024,brasil_aberto_first_street,True
MT,5101803,Barra do Garças,Jardim Maria Lúcia,jardim maria lucia,-15.8869458,-52.2572846,brasil_aberto_first_street,True
