Uf,CityIbgeCode,City,Neighborhood,NormalizedName,Latitude,Longitude,Source,IsActive
PA,1500107,Abaetetuba,Algodoal,algodoal,,,dne,True
PA,1500107,Abaetetuba,Angélica,angelica,,,dne,True
PA,1500107,Abaetetuba,Área Rural de Abaetetuba,area rural de abaetetuba,,,dne,True
PA,1500107,Abaetetuba,Aviação,aviacao,,,dne,True
PA,1500107,Abaetetuba,Beja,beja,,,dne,True
PA,1500107,Abaetetuba,Bosque,bosque,,,dne,True
PA,1500107,Abaetetuba,Castanhal,castanhal,,,dne,True
PA,1500107,Abaetetuba,Centro,centro,,,dne,True
PA,1500107,Abaetetuba,Chicolândia,chicolandia,,,dne,True
PA,1500107,Abaetetuba,Cristo Redentor,cristo redentor,,,dne,True
PA,1500107,Abaetetuba,Francilândia,francilandia,,,dne,True
PA,1500107,Abaetetuba,Jarumã,jaruma,,,dne,True
PA,1500107,Abaetetuba,Mutirão,mutirao,,,dne,True
PA,1500107,Abaetetuba,Santa Clara,santa clara,,,dne,True
PA,1500107,Abaetetuba,Santa Rosa,santa rosa,,,dne,True
PA,1500107,Abaetetuba,São João,sao joao,,,dne,True
PA,1500107,Abaetetuba,São José,sao jose,,,dne,True
PA,1500107,Abaetetuba,São Lourenço,sao lourenco,,,dne,True
PA,1500107,Abaetetuba,São Sebastião,sao sebastiao,,,dne,True
PA,1500131,Abel Figueiredo,Centro,centro,-4.9511479,-48.3943683,brasil_aberto_first_street,True
PA,1500206,Acará,Centro,centro,-1.36523724,-48.33889771,brasil_aberto_first_street,True
PA,1500206,Acará,Guajará-Miri,guajara miri,,,dne,True
PA,1500206,Acará,Jaguarari,jaguarari,,,dne,True
PA,1500305,Afuá,Baturité,baturite,,,dne,True
PA,1500305,Afuá,Centro,centro,-0.1572135,-50.3913125,brasil_aberto_first_street,True
PA,1500347,Água Azul do Norte,Centro,centro,-6.8034515,-50.4861586,brasil_aberto_first_street,True
PA,1500404,Alenquer,Camburão,camburao,,,brasil_aberto,True
PA,1500404,Alenquer,Centro,centro,-1.9496325,-54.7380376,brasil_aberto_first_street,True
PA,1500404,Alenquer,Vila de Mamia,vila de mamia,,,brasil_aberto,True
PA,1500503,Almeirim,Arumanduba,arumanduba,,,dne,True
PA,1500503,Almeirim,Centro,centro,-0.8678172,-52.5349937,brasil_aberto_first_street,True
PA,1500503,Almeirim,Monte Dourado,monte dourado,,,dne,True
PA,1500503,Almeirim,Vila de Munguba,vila de munguba,,,brasil_aberto,True
PA,1500602,Altamira,Alberto Soares,alberto soares,-3.1965649,-52.1896143,brasil_aberto_first_street,True
PA,1500602,Altamira,Aparecida,aparecida,-3.1990601,-52.2076417,brasil_aberto_first_street,True
PA,1500602,Altamira,Área Rural de Altamira,area rural de altamira,-3.2044205,-52.2079174,brasil_aberto_first_street,True
PA,1500602,Altamira,Bela Vista,bela vista,-3.2110591,-52.2371181,brasil_aberto_first_street,True
PA,1500602,Altamira,Boa Esperança,boa esperanca,-3.1921313,-52.2129223,brasil_aberto_first_street,True
PA,1500602,Altamira,Brasília,brasilia,-3.2056847,-52.2189647,brasil_aberto_first_street,True
PA,1500602,Altamira,Cachoeira da Serra,cachoeira da serra,,,dne,True
PA,1500602,Altamira,Castelo dos Sonhos,castelo dos sonhos,,,dne,True
PA,1500602,Altamira,Catedral,catedral,-3.2051842,-52.2070087,brasil_aberto_first_street,True
PA,1500602,Altamira,Central,central,-8.316887699999999,-55.1005023,brasil_aberto_first_street,True
PA,1500602,Altamira,Centro,centro,-3.2038715,-52.2145012,brasil_aberto_first_street,True
PA,1500602,Altamira,Colinas,colinas,-3.1866928,-52.1903218,brasil_aberto_first_street,True
PA,1500602,Altamira,Esplanada do Xingú,esplanada do xingu,-3.2118016,-52.2315049,brasil_aberto_first_street,True
PA,1500602,Altamira,Iataí,iatai,,,dne,True
PA,1500602,Altamira,Ibiza,ibiza,-3.2242497,-52.2294953,brasil_aberto_first_street,True
PA,1500602,Altamira,Jardim Altamira,jardim altamira,-3.1978725,-52.2236568,brasil_aberto_first_street,True
PA,1500602,Altamira,Jardim Independente I,jardim independente i,-3.2201232,-52.2313327,brasil_aberto_first_street,True
PA,1500602,Altamira,Jardim Independente II,jardim independente ii,-3.2085178,-52.2273643,brasil_aberto_first_street,True
PA,1500602,Altamira,Jardim Uirapuru,jardim uirapuru,-3.2103681,-52.2258164,brasil_aberto_first_street,True
PA,1500602,Altamira,Liberdade,liberdade,-3.1921336,-52.2183829,brasil_aberto_first_street,True
PA,1500602,Altamira,Mutirão,mutirao,-3.1846208,-52.21042420000001,brasil_aberto_first_street,True
PA,1500602,Altamira,Nova Altamira,nova altamira,-3.1783596,-52.1887539,brasil_aberto_first_street,True
PA,1500602,Altamira,Perpétuo Socorro,perpetuo socorro,-3.2074761,-52.2162933,brasil_aberto_first_street,True
PA,1500602,Altamira,Premem,premem,-3.2131079,-52.2218839,brasil_aberto_first_street,True
PA,1500602,Altamira,Recreio,recreio,-3.2086501,-52.2093162,brasil_aberto_first_street,True
PA,1500602,Altamira,Sudam I,sudam i,-3.2028507,-52.2122106,brasil_aberto_first_street,True
PA,1500602,Altamira,Sudam II,sudam ii,-3.2085178,-52.2273643,brasil_aberto_first_street,True
PA,1500602,Altamira,Terra Indígena Araweté Igarapé Ipixuna,terra indigena arawete igarape ipixuna,,,dne,True
PA,1500602,Altamira,Terra Indígena Cachoeira Seca,terra indigena cachoeira seca,,,dne,True
PA,1500701,Anajás,Centro,centro,-0.9857624999999999,-49.93497,brasil_aberto_first_street,True
PA,1500800,Ananindeua,Águas Brancas,aguas brancas,-1.3741035,-48.368731,brasil_aberto_first_street,True
PA,1500800,Ananindeua,Águas Lindas,aguas lindas,-1.3879142,-48.3896236,brasil_aberto_first_street,True
PA,1500800,Ananindeua,Área Rural de Ananindeua,area rural de ananindeua,,,dne,True
PA,1500800,Ananindeua,Atalaia,atalaia,-1.383979,-48.4219832,brasil_aberto_first_street,True
PA,1500800,Ananindeua,Aurá,aura,-1.3806319,-48.3682414,brasil_aberto_first_street,True
PA,1500800,Ananindeua,Centro,centro,-1.3481237,-48.3876735,brasil_aberto_first_street,True
PA,1500800,Ananindeua,Cidade Nova,cidade nova,-1.3698739,-48.4016299,brasil_aberto_first_street,True
PA,1500800,Ananindeua,Coqueiro,coqueiro,-1.383979,-48.4219832,brasil_aberto_first_street,True
PA,1500800,Ananindeua,Curuçambá,curucamba,-1.3218701,-48.3789544,brasil_aberto_first_street,True
PA,1500800,Ananindeua,Distrito Industrial,distrito industrial,,,dne,True
PA,1500800,Ananindeua,Guanabara,guanabara,-1.4018034,-48.4046105,brasil_aberto_first_street,True
PA,1500800,Ananindeua,Icuí-Guajará,icui guajara,-1.3265916,-48.4150497,brasil_aberto_first_street,True
PA,1500800,Ananindeua,Icuí-Laranjeira,icui laranjeira,-1.3435365,-48.3772306,brasil_aberto_first_street,True
PA,1500800,Ananindeua,Ilha João Pilatos,ilha joao pilatos,-1.3649909,-48.3739943,brasil_aberto_first_street,True
PA,1500800,Ananindeua,Jibóia Branca,jiboia branca,-1.3265916,-48.4150497,brasil_aberto_first_street,True
PA,1500800,Ananindeua,Levilândia,levilandia,-1.3823572,-48.4035745,brasil_aberto_first_street,True
PA,1500800,Ananindeua,Maguari,maguari,-1.3481237,-48.3876735,brasil_aberto_first_street,True
PA,1500800,Ananindeua,Marituba,marituba,-1.3383689,-48.3610266,brasil_aberto_first_street,True
PA,1500800,Ananindeua,Pato Macho,pato macho,-1.3761014,-48.3764264,brasil_aberto_first_street,True
PA,1500800,Ananindeua,Quarenta Horas (Coqueiro),quarenta horas coqueiro,-1.383979,-48.4219832,brasil_aberto_first_street,True
PA,1500859,Anapu,Centro,centro,-3.4609923,-51.2086588,brasil_aberto_first_street,True
PA,1500909,Augusto Corrêa,Aturiaí,aturiai,,,dne,True
PA,1500909,Augusto Corrêa,Emboraí,emborai,,,dne,True
PA,1500909,Augusto Corrêa,Itapixuna,itapixuna,,,dne,True
PA,1500909,Augusto Corrêa,Nazaré,nazare,-1.0242767,-46.63593720000001,brasil_aberto_first_street,True
PA,1500909,Augusto Corrêa,Nova Olinda,nova olinda,,,brasil_aberto,True
PA,1500958,Aurora do Pará,Centro,centro,-2.1367008,-47.5596308,brasil_aberto_first_street,True
PA,1501006,Aveiro,Área de Expansão Urbana,area de expansao urbana,,,dne,True
PA,1501006,Aveiro,Área Rural de Aveiro,area rural de aveiro,,,dne,True
PA,1501006,Aveiro,Brasília Legal,brasilia legal,,,dne,True
PA,1501006,Aveiro,Centro,centro,,,dne,True
PA,1501006,Aveiro,Cidade Nova,cidade nova,,,dne,True
PA,1501006,Aveiro,Comunidade de Apacê,comunidade de apace,,,dne,True
PA,1501006,Aveiro,Comunidade de Cametá,comunidade de cameta,,,dne,True
PA,1501006,Aveiro,Comunidade de Cauassu-ê-Pá,comunidade de cauassu e pa,,,dne,True
PA,1501006,Aveiro,Comunidade de Daniel de Carvalho,comunidade de daniel de carvalho,,,dne,True
PA,1501006,Aveiro,Comunidade de Santa Cruz,comunidade de santa cruz,,,dne,True
PA,1501006,Aveiro,Comunidade do Cristalino I,comunidade do cristalino i,,,dne,True
PA,1501006,Aveiro,Comunidade do Tavio,comunidade do tavio,,,dne,True
PA,1501006,Aveiro,Distrito de Brasília Legal,distrito de brasilia legal,,,dne,True
PA,1501006,Aveiro,Distrito de Fordlândia,distrito de fordlandia,,,dne,True
PA,1501006,Aveiro,Distrito de Pinhal,distrito de pinhal,,,dne,True
PA,1501006,Aveiro,Morrinho,morrinho,,,dne,True
PA,1501006,Aveiro,Pinhal,pinhal,,,dne,True
PA,1501006,Aveiro,Vila de Andrelândia,vila de andrelandia,,,dne,True
PA,1501105,Bagre,Centro,centro,-1.8986384,-50.2098977,brasil_aberto_first_street,True
PA,1501105,Bagre,Pedreira,pedreira,,,dne,True
PA,1501204,Baião,Centro,centro,-2.7907204,-49.6700627,brasil_aberto_first_street,True
PA,1501204,Baião,Joana Peres,joana peres,,,dne,True
PA,1501253,Bannach,Centro,centro,-7.3524392,-50.40782489999999,brasil_aberto_first_street,True
PA,1501303,Barcarena,Águas Verdes,aguas verdes,,,dne,True
PA,1501303,Barcarena,Arapari,arapari,,,dne,True
PA,1501303,Barcarena,Área Rural de Barcarena,area rural de barcarena,,,dne,True
PA,1501303,Barcarena,Aruan,aruan,,,dne,True
PA,1501303,Barcarena,Bacabal,bacabal,,,dne,True
PA,1501303,Barcarena,Barbolândia,barbolandia,,,dne,True
PA,1501303,Barcarena,Beira Rio,beira rio,,,dne,True
PA,1501303,Barcarena,Betânia,betania,,,dne,True
PA,1501303,Barcarena,Boa Vista,boa vista,,,dne,True
PA,1501303,Barcarena,Bom Futuro,bom futuro,,,dne,True
PA,1501303,Barcarena,Burajuba,burajuba,,,dne,True
PA,1501303,Barcarena,Cafezal,cafezal,,,dne,True
PA,1501303,Barcarena,Caripi,caripi,,,dne,True
PA,1501303,Barcarena,Centro,centro,,,dne,True
PA,1501303,Barcarena,Comercial,comercial,,,dne,True
PA,1501303,Barcarena,Fazendinha,fazendinha,,,dne,True
PA,1501303,Barcarena,Ilha Trambioca,ilha trambioca,,,dne,True
PA,1501303,Barcarena,Itupanema,itupanema,,,dne,True
PA,1501303,Barcarena,Jardim Cabanos,jardim cabanos,,,dne,True
PA,1501303,Barcarena,Jardim Palmeiras,jardim palmeiras,,,dne,True
PA,1501303,Barcarena,Laranjal,laranjal,,,dne,True
PA,1501303,Barcarena,Murucupi,murucupi,,,dne,True
PA,1501303,Barcarena,Nazaré,nazare,,,dne,True
PA,1501303,Barcarena,Novo,novo,,,dne,True
PA,1501303,Barcarena,Novo Horizonte,novo horizonte,,,dne,True
PA,1501303,Barcarena,Novo Paraíso,novo paraiso,,,dne,True
PA,1501303,Barcarena,Pedreira,pedreira,,,dne,True
PA,1501303,Barcarena,Pioneiro,pioneiro,,,dne,True
PA,1501303,Barcarena,Renascer,renascer,,,dne,True
PA,1501303,Barcarena,São Francisco,sao francisco,,,dne,True
PA,1501303,Barcarena,Vila do Conde,vila do conde,,,dne,True
PA,1501303,Barcarena,Vila dos Cabanos,vila dos cabanos,,,dne,True
PA,1501303,Barcarena,Zita Cunha,zita cunha,,,dne,True
PA,1501402,Belém,Aeroporto (Mosqueiro),aeroporto mosqueiro,-1.1493545,-48.4658175,brasil_aberto_first_street,True
PA,1501402,Belém,Água Boa (Outeiro),agua boa outeiro,-1.2544739,-48.4618503,brasil_aberto_first_street,True
PA,1501402,Belém,Águas Lindas,aguas lindas,-1.4001637,-48.3896483,brasil_aberto_first_street,True
PA,1501402,Belém,Águas Negras (Icoaraci),aguas negras icoaraci,-1.2974295,-48.459782,brasil_aberto_first_street,True
PA,1501402,Belém,Agulha (Icoaraci),agulha icoaraci,-1.30900931,-48.47549438,brasil_aberto_first_street,True
PA,1501402,Belém,Área Rural de Belém,area rural de belem,-1.422998,-48.4895544,brasil_aberto_first_street,True
PA,1501402,Belém,Ariramba (Mosqueiro),ariramba mosqueiro,-1.1138804,-48.4273065,brasil_aberto_first_street,True
PA,1501402,Belém,Aurá,aura,-1.3818959,-48.3662483,brasil_aberto_first_street,True
PA,1501402,Belém,Baía do Sol (Mosqueiro),baia do sol mosqueiro,-1.0642632,-48.3349514,brasil_aberto_first_street,True
