Uf,CityIbgeCode,City,Neighborhood,NormalizedName,Latitude,Longitude,Source,IsActive
PB,2500106,Água Branca,Centro,centro,-7.514670599999999,-37.640397,brasil_aberto_first_street,True
PB,2500205,Aguiar,Centro,centro,-7.0930675,-38.1722916,brasil_aberto_first_street,True
PB,2500304,Alagoa Grande,Centro,centro,-7.038517,-35.63223267,brasil_aberto_first_street,True
PB,2500304,Alagoa Grande,Povoado,povoado,-7.102044999999999,-35.635783,brasil_aberto_first_street,True
PB,2500403,Alagoa Nova,Centro,centro,-7.0597924,-35.7591137,brasil_aberto_first_street,True
PB,2500502,Alagoinha,Centro,centro,-6.95011997,-35.54595566,brasil_aberto_first_street,True
PB,2500536,Alcantil,Centro,centro,-7.688008,-35.9969297,brasil_aberto_first_street,True
PB,2500536,Alcantil,Povoado,povoado,,,dne,True
PB,2500577,Algodão de Jandaíra,Centro,centro,-6.90427303,-36.01096344,brasil_aberto_first_street,True
PB,2500601,Alhandra,Centro,centro,-7.4313546,-34.9123542,brasil_aberto_first_street,True
PB,2500601,Alhandra,Povoado,povoado,,,dne,True
PB,2500700,São João do Rio do Peixe,Centro,centro,-6.7312594,-38.4474184,brasil_aberto_first_street,True
PB,2500700,São João do Rio do Peixe,Umari,umari,,,dne,True
PB,2500734,Amparo,Centro,centro,-7.568987999999999,-37.0643221,brasil_aberto_first_street,True
PB,2500775,Aparecida,Centro,centro,-6.7866269,-38.08029,brasil_aberto_first_street,True
PB,2500809,Araçagi,Centro,centro,-6.8513462,-35.381492,brasil_aberto_first_street,True
PB,2500809,Araçagi,Povoado,povoado,,,brasil_aberto,True
PB,2500908,Arara,Centro,centro,-6.8307101,-35.7612682,brasil_aberto_first_street,True
PB,2501005,Araruna,Centro,centro,-6.52802849,-35.74185944,brasil_aberto_first_street,True
PB,2501104,Areia,Centro,centro,-6.96775961,-35.70593643,brasil_aberto_first_street,True
PB,2501104,Areia,Cepilho,cepilho,,,dne,True
PB,2501104,Areia,Distrito Cepilho,distrito cepilho,-6.9892032,-35.7191498,brasil_aberto_first_street,True
PB,2501104,Areia,Distrito Mata Limpa,distrito mata limpa,-6.9323865,-35.71144779999999,brasil_aberto_first_street,True
PB,2501104,Areia,Mata Limpa,mata limpa,,,dne,True
PB,2501104,Areia,Muquém,muquem,,,dne,True
PB,2501104,Areia,Usina Santa Maria,usina santa maria,,,brasil_aberto,True
PB,2501153,Areia de Baraúnas,Centro,centro,-7.1237168,-36.9488487,brasil_aberto_first_street,True
PB,2501203,Areial,Centro,centro,-7.04933023,-35.92618561,brasil_aberto_first_street,True
PB,2501302,Aroeiras,Centro,centro,-6.9794963,-34.8334217,brasil_aberto_first_street,True
PB,2501351,Assunção,Centro,centro,-7.07420874,-36.7293663,brasil_aberto_first_street,True
PB,2501401,Baía da Traição,Centro,centro,-6.6873951,-34.9383143,brasil_aberto_first_street,True
PB,2501500,Bananeiras,Centro,centro,-6.7545642,-35.633168,brasil_aberto_first_street,True
PB,2501500,Bananeiras,Distritos,distritos,,,dne,True
PB,2501500,Bananeiras,Maia,maia,,,dne,True
