Uf,CityIbgeCode,City,Neighborhood,NormalizedName,Latitude,Longitude,Source,IsActive
PE,2600054,Abreu e Lima,Alto da Bela Vista,alto da bela vista,-8.08683872,-34.96607208,brasil_aberto_first_street,True
PE,2600054,Abreu e Lima,Alto São Miguel,alto sao miguel,-7.9016636,-34.9054381,brasil_aberto_first_street,True
PE,2600054,Abreu e Lima,Área Rural de Abreu e Lima,area rural de abreu e lima,-7.9054787,-34.9049499,brasil_aberto_first_street,True
PE,2600054,Abreu e Lima,Boa Esperança,boa esperanca,-7.9015019,-34.9013318,brasil_aberto_first_street,True
PE,2600054,Abreu e Lima,Caetés I,caetes i,-7.91860294,-34.92926025,brasil_aberto_first_street,True
PE,2600054,Abreu e Lima,Caetés II,caetes ii,-7.92035961,-34.91046143,brasil_aberto_first_street,True
PE,2600054,Abreu e Lima,Caetés III,caetes iii,-7.91034269,-34.91452789,brasil_aberto_first_street,True
PE,2600054,Abreu e Lima,Centro,centro,-7.9090767,-34.9076136,brasil_aberto_first_street,True
PE,2600054,Abreu e Lima,Chã de Cruz,cha de cruz,,,dne,True
PE,2600054,Abreu e Lima,Desterro,desterro,-7.89144564,-34.91806412,brasil_aberto_first_street,True
PE,2600054,Abreu e Lima,Distrito Industrial,distrito industrial,-7.92320776,-34.90127563,brasil_aberto_first_street,True
PE,2600054,Abreu e Lima,Jardim Caetés,jardim caetes,-7.9036599,-34.9022651,brasil_aberto_first_street,True
PE,2600054,Abreu e Lima,Matinha,matinha,-7.89822388,-34.902771,brasil_aberto_first_street,True
PE,2600054,Abreu e Lima,Planalto,planalto,-7.910270700000001,-34.9136677,brasil_aberto_first_street,True
PE,2600054,Abreu e Lima,Timbó,timbo,-7.90649128,-34.90676498,brasil_aberto_first_street,True
PE,2600104,Afogados da Ingazeira,Área Rural de Afogados da Ingazeira,area rural de afogados da ingazeira,-7.749432,-37.639217,mapbox_geocoding,True
PE,2600104,Afogados da Ingazeira,Borges,borges,-7.745564,-37.630768,mapbox_geocoding,True
PE,2600104,Afogados da Ingazeira,Brotas,brotas,-7.752661,-37.624376,mapbox_geocoding,True
PE,2600104,Afogados da Ingazeira,Campinhos,campinhos,-7.770648,-37.638601,mapbox_geocoding,True
PE,2600104,Afogados da Ingazeira,Centro,centro,-7.747263,-37.63736,mapbox_geocoding,True
PE,2600104,Afogados da Ingazeira,Costa,costa,-8.076991,-34.909195,mapbox_geocoding,True
PE,2600104,Afogados da Ingazeira,Manoela Valadares,manoela valadares,-7.755372,-37.628455,mapbox_geocoding,True
PE,2600104,Afogados da Ingazeira,Padre Pedro Pereira,padre pedro pereira,-8.215646,-35.568635,mapbox_geocoding,True
PE,2600104,Afogados da Ingazeira,Planalto,planalto,-7.746822,-37.646649,mapbox_geocoding,True
PE,2600104,Afogados da Ingazeira,São Braz,sao braz,-7.756309,-37.637179,mapbox_geocoding,True
PE,2600104,Afogados da Ingazeira,São Cristovão,sao cristovao,-7.757405,-37.652802,mapbox_geocoding,True
PE,2600104,Afogados da Ingazeira,São Francisco,sao francisco,-7.750353,-37.646129,mapbox_geocoding,True
PE,2600104,Afogados da Ingazeira,Sobreira,sobreira,-7.75821,-37.650089,mapbox_geocoding,True
PE,2600203,Afrânio,Arizona,arizona,,,dne,True
PE,2600203,Afrânio,Cachoeira do Roberto,cachoeira do roberto,,,dne,True
PE,2600203,Afrânio,Centro,centro,-8.5162541,-41.005237,brasil_aberto_first_street,True
PE,2600203,Afrânio,Poção de Afrânio,pocao de afranio,,,dne,True
PE,2600302,Agrestina,Barra do Chata,barra do chata,,,dne,True
PE,2600302,Agrestina,Barra do Jardim,barra do jardim,,,dne,True
PE,2600302,Agrestina,Centro,centro,-8.457613799999999,-35.9479829,brasil_aberto_first_street,True
PE,2600302,Agrestina,Pé-de-Serra dos Mendes,pe de serra dos mendes,,,dne,True
PE,2600302,Agrestina,Povoado Pe de Serra dos Mendes,povoado pe de serra dos mendes,,,brasil_aberto,True
PE,2600401,Água Preta,Centro,centro,-8.7021639,-35.5252478,brasil_aberto_first_street,True
PE,2600401,Água Preta,Distrito Santa Terezinha,distrito santa terezinha,,,brasil_aberto,True
PE,2600401,Água Preta,Povoado Campo Frio,povoado campo frio,,,brasil_aberto,True
PE,2600401,Água Preta,Santa Terezinha,santa terezinha,,,dne,True
PE,2600500,Águas Belas,Centro,centro,-9.111779,-37.1219732,brasil_aberto_first_street,True
PE,2600500,Águas Belas,Curral Novo,curral novo,-9.0240473,-37.0532867,brasil_aberto_first_street,True
PE,2600500,Águas Belas,Distrito Curral Novo,distrito curral novo,,,brasil_aberto,True
PE,2600500,Águas Belas,Povoado de Garcia,povoado de garcia,,,brasil_aberto,True
PE,2600609,Alagoinha,Alverne,alverne,,,dne,True
PE,2600609,Alagoinha,Centro,centro,-8.46759987,-36.77611542,brasil_aberto_first_street,True
PE,2600609,Alagoinha,Distrito de Perpétuo Socorro,distrito de perpetuo socorro,-8.5392902,-36.7209124,brasil_aberto_first_street,True
PE,2600609,Alagoinha,Perpétuo Socorro,perpetuo socorro,,,dne,True
PE,2600708,Aliança,Centro,centro,-7.6039633,-35.2291925,brasil_aberto_first_street,True
PE,2600708,Aliança,Cohab,cohab,-7.413243899999999,-35.110169,brasil_aberto_first_street,True
PE,2600708,Aliança,Distrito Macuje,distrito macuje,-7.4960695,-35.1262214,brasil_aberto_first_street,True
PE,2600708,Aliança,Macujé,macuje,,,dne,True
PE,2600708,Aliança,Povoado Chã de Esconso,povoado cha de esconso,-7.6150593,-35.1509742,brasil_aberto_first_street,True
PE,2600708,Aliança,Povoado de Caueira,povoado de caueira,-7.5976411,-35.2308917,brasil_aberto_first_street,True
PE,2600708,Aliança,Tupaoca,tupaoca,-7.609477699999999,-35.2301954,brasil_aberto_first_street,True
PE,2600708,Aliança,Upatininga,upatininga,-7.666496,-35.172586,brasil_aberto_first_street,True
PE,2600708,Aliança,Vila da COHAB,vila da cohab,,,brasil_aberto,True
PE,2600807,Altinho,Centro,centro,-8.4896478,-36.0601591,brasil_aberto_first_street,True
PE,2600807,Altinho,Ituguaçu,ituguacu,-8.488021999999999,-36.0597471,brasil_aberto_first_street,True
PE,2600906,Amaraji,Centro,centro,-8.378843200000002,-35.4520164,brasil_aberto_first_street,True
PE,2601003,Angelim,Açude,acude,-8.89229,-36.280924,mapbox_geocoding,True
PE,2601003,Angelim,Área Rural de Angelim,area rural de angelim,-7.851279,-34.86897,mapbox_geocoding,True
PE,2601003,Angelim,Baixada,baixada,-8.888453,-36.281937,mapbox_geocoding,True
PE,2601003,Angelim,Bela Vista,bela vista,-8.888269,-36.286069,mapbox_geocoding,True
PE,2601003,Angelim,Centro,centro,-8.889733,-36.284979,mapbox_geocoding,True
PE,2601003,Angelim,Loteamento São Miguel,loteamento sao miguel,-8.888269,-36.286069,mapbox_geocoding,True
PE,2601003,Angelim,Nova Aliança,nova alianca,-8.014393,-34.880559,mapbox_geocoding,True
PE,2601003,Angelim,Quatro Bocas,quatro bocas,-8.935318,-36.29529,mapbox_geocoding,True
PE,2601003,Angelim,São Luiz,sao luiz,-8.890922,-36.292256,mapbox_geocoding,True
PE,2601052,Araçoiaba,Centro,centro,-7.792989,-35.0847708,brasil_aberto_first_street,True
PE,2601052,Araçoiaba,Vila Canaã,vila canaa,-7.584733,-35.106401,mapbox_geocoding,True
PE,2601102,Araripina,Alto Alegre,alto alegre,-7.577113,-40.500546,mapbox_geocoding,True
PE,2601102,Araripina,Alto da Boa Vista,alto da boa vista,-7.557962,-40.490216,mapbox_geocoding,True
PE,2601102,Araripina,Alto do Adelino,alto do adelino,-7.569539,-40.487081,mapbox_geocoding,True
PE,2601102,Araripina,Aplausos,aplausos,-7.576159,-40.512589,mapbox_geocoding,True
PE,2601102,Araripina,Área Rural de Araripina,area rural de araripina,-7.851279,-34.86897,mapbox_geocoding,True
PE,2601102,Araripina,Batista,batista,-7.571643,-40.514398,mapbox_geocoding,True
PE,2601102,Araripina,Boca da Mata,boca da mata,-7.572297,-40.49654,mapbox_geocoding,True
PE,2601102,Araripina,Bom Jardim do Araripe,bom jardim do araripe,,,dne,True
PE,2601102,Araripina,Bomba,bomba,-7.584561,-40.502917,mapbox_geocoding,True
PE,2601102,Araripina,Cachoeira,cachoeira,-7.572297,-40.49654,mapbox_geocoding,True
PE,2601102,Araripina,Canastra,canastra,-7.582266,-40.53444,mapbox_geocoding,True
PE,2601102,Araripina,Cavalete I,cavalete i,-7.586857,-40.505957,mapbox_geocoding,True
PE,2601102,Araripina,Cavalete II,cavalete ii,-7.584561,-40.502917,mapbox_geocoding,True
PE,2601102,Araripina,Centro,centro,-7.575543,-40.500395,mapbox_geocoding,True
PE,2601102,Araripina,Conceição,conceicao,-7.582266,-40.53444,mapbox_geocoding,True
PE,2601102,Araripina,Distrito de Gergelim,distrito de gergelim,-7.808875,-40.488291,mapbox_geocoding,True
PE,2601102,Araripina,Distrito de Nascente,distrito de nascente,,,brasil_aberto,True
PE,2601102,Araripina,Distrito Gergelim,distrito gergelim,-7.808875,-40.488291,mapbox_geocoding,True
PE,2601102,Araripina,Distrito Lagoa do Barro,distrito lagoa do barro,,,brasil_aberto,True
PE,2601102,Araripina,Espedito Arraes,espedito arraes,-7.572297,-40.49654,mapbox_geocoding,True
