Uf,CityIbgeCode,City,Neighborhood,NormalizedName,Latitude,Longitude,Source,IsActive
PR,4100103,Abatiá,Centro,centro,-23.3020244,-50.3115629,brasil_aberto_first_street,True
PR,4100202,Adrianópolis,Adrianópolis,adrianopolis,,,dne,True
PR,4100202,Adrianópolis,Área Rural de Adrianópolis,area rural de adrianopolis,,,dne,True
PR,4100202,Adrianópolis,Capelinha,capelinha,,,dne,True
PR,4100202,Adrianópolis,Centro,centro,,,brasil_aberto,True
PR,4100202,Adrianópolis,Porto Novo,porto novo,,,dne,True
PR,4100202,Adrianópolis,Vila Mota,vila mota,,,dne,True
PR,4100301,Agudos do Sul,Centro,centro,-25.9895085,-49.3331198,brasil_aberto_first_street,True
PR,4100301,Agudos do Sul,Colônia Padre Paulo,colonia padre paulo,,,dne,True
PR,4100301,Agudos do Sul,Leão,leao,,,brasil_aberto,True
PR,4100301,Agudos do Sul,Taboão,taboao,-25.9903419,-49.3356059,brasil_aberto_first_street,True
PR,4100301,Agudos do Sul,Tarumã,taruma,-26.1029616,-49.30964119999999,brasil_aberto_first_street,True
PR,4100400,Almirante Tamandaré,Área Rural de Almirante Tamandaré,area rural de almirante tamandare,-25.3128138,-49.299585,brasil_aberto_first_street,True
PR,4100400,Almirante Tamandaré,Areias,areias,,,dne,True
PR,4100400,Almirante Tamandaré,Betaras,betaras,,,dne,True
PR,4100400,Almirante Tamandaré,Boichininga,boichininga,,,brasil_aberto,True
PR,4100400,Almirante Tamandaré,Boixininga,boixininga,-25.2771596,-49.2656924,brasil_aberto_first_street,True
PR,4100400,Almirante Tamandaré,Bonfim,bonfim,,,dne,True
PR,4100400,Almirante Tamandaré,Botiatuba,botiatuba,-25.3341592,-49.3048345,brasil_aberto_first_street,True
PR,4100400,Almirante Tamandaré,Cachoeira,cachoeira,-25.3442295,-49.2619753,brasil_aberto_first_street,True
PR,4100400,Almirante Tamandaré,Campina do Arruda,campina do arruda,,,dne,True
PR,4100400,Almirante Tamandaré,Campo Grande,campo grande,,,dne,True
PR,4100400,Almirante Tamandaré,Capivara,capivara,,,dne,True
PR,4100400,Almirante Tamandaré,Centro,centro,-25.3087558,-49.2969368,brasil_aberto_first_street,True
PR,4100400,Almirante Tamandaré,Colônia Antônio Prado,colonia antonio prado,-25.318867,-49.2544716,brasil_aberto_first_street,True
PR,4100400,Almirante Tamandaré,Colonia Santa Gabriela,colonia santa gabriela,-25.3666121,-49.29598,brasil_aberto_first_street,True
PR,4100400,Almirante Tamandaré,Colônia São Venâncio,colonia sao venancio,,,dne,True
