Uf,CityIbgeCode,City,Neighborhood,NormalizedName,Latitude,Longitude,Source,IsActive
RN,2400109,Acari,Centro,centro,-6.435110900000001,-36.63965779999999,brasil_aberto_first_street,True
RN,2400208,Assú,Centro,centro,-5.1916927,-37.33925600000001,brasil_aberto_first_street,True
RN,2400208,Assú,Sítio Linda Flor,sitio linda flor,,,brasil_aberto,True
RN,2400208,Assú,Sítio Nova Esperança,sitio nova esperanca,,,brasil_aberto,True
RN,2400208,Assú,Sítio Panom,sitio panom,,,brasil_aberto,True
RN,2400307,Afonso Bezerra,Centro,centro,-5.5001551,-36.5066455,brasil_aberto_first_street,True
RN,2400406,Água Nova,Centro,centro,-6.2074639,-38.2932584,brasil_aberto_first_street,True
RN,2400505,Alexandria,Centro,centro,-6.4136701,-38.0174329,brasil_aberto_first_street,True
RN,2400604,Almino Afonso,Centro,centro,-6.1527246,-37.765986,brasil_aberto_first_street,True
RN,2400703,Alto do Rodrigues,Centro,centro,-5.2878438,-36.7612978,brasil_aberto_first_street,True
RN,2400802,Angicos,Centro,centro,-5.6641621,-36.6000213,brasil_aberto_first_street,True
RN,2400901,Antônio Martins,Centro,centro,-6.2169795,-37.8908661,brasil_aberto_first_street,True
RN,2401008,Apodi,Centro,centro,-5.6658614,-37.79923,brasil_aberto_first_street,True
RN,2401008,Apodi,Povoado Soledade,povoado soledade,,,brasil_aberto,True
RN,2401107,Areia Branca,Centro,centro,-4.9570747,-37.1336908,brasil_aberto_first_street,True
RN,2401107,Areia Branca,Povoado Cristovão,povoado cristovao,,,brasil_aberto,True
RN,2401107,Areia Branca,Povoado Ponta do Mel,povoado ponta do mel,,,brasil_aberto,True
RN,2401107,Areia Branca,Povoado Redonda,povoado redonda,,,brasil_aberto,True
RN,2401206,Arez,Centro,centro,-6.1969749,-35.1655188,brasil_aberto_first_street,True
RN,2401206,Arez,Patané,patane,-6.1756186,-35.1292123,brasil_aberto_first_street,True
RN,2401305,Campo Grande,Centro,centro,-5.8640224,-37.3080305,brasil_aberto_first_street,True
RN,2401404,Baía Formosa,Centro,centro,-6.3689877,-35.0071861,brasil_aberto_first_street,True
RN,2401453,Baraúna,Centro,centro,-5.0788882,-37.6202483,brasil_aberto_first_street,True
RN,2401503,Barcelona,Centro,centro,-5.9506853,-35.926106,brasil_aberto_first_street,True
RN,2401602,Bento Fernandes,Belo Horizonte,belo horizonte,,,dne,True
RN,2401602,Bento Fernandes,Centro,centro,-5.6927271,-35.8207872,brasil_aberto_first_street,True
RN,2401602,Bento Fernandes,Sítio Arisco,sitio arisco,,,brasil_aberto,True
RN,2401602,Bento Fernandes,Sítio Quinturure,sitio quinturure,,,brasil_aberto,True
RN,2401651,Bodó,Centro,centro,-5.9881331,-36.4131185,brasil_aberto_first_street,True
RN,2401701,Bom Jesus,Centro,centro,-5.9853584,-35.5825526,brasil_aberto_first_street,True
RN,2401800,Brejinho,Centro,centro,-6.1912343,-35.3584169,brasil_aberto_first_street,True
RN,2401800,Brejinho,Esperança,esperanca,,,brasil_aberto,True
RN,2401800,Brejinho,Remédio,remedio,,,brasil_aberto,True
RN,2401859,Caiçara do Norte,Centro,centro,-5.063311,-36.052417,brasil_aberto_first_street,True
RN,2401909,Caiçara do Rio do Vento,Centro,centro,-5.7587635,-35.9992283,brasil_aberto_first_street,True
RN,2402006,Caicó,Centro,centro,-6.459264000000001,-37.0959074,brasil_aberto_first_street,True
RN,2402105,Campo Redondo,Centro,centro,-6.2412323,-36.18289040000001,brasil_aberto_first_street,True
RN,2402105,Campo Redondo,Malhada Vermelha,malhada vermelha,,,brasil_aberto,True
RN,2402105,Campo Redondo,Serra do Doutor,serra do doutor,,,brasil_aberto,True
RN,2402204,Canguaretama,Areia Branca,areia branca,-6.360696,-35.151568,mapbox_geocoding,True
RN,2402204,Canguaretama,Barra de Cunhaú,barra de cunhau,-6.4110117,-35.1819399,brasil_aberto_first_street,True
RN,2402204,Canguaretama,Centro,centro,-6.4121311,-35.1787617,brasil_aberto_first_street,True
RN,2402204,Canguaretama,Piquirí,piquiri,-6.3137079,-35.0426424,brasil_aberto_first_street,True
RN,2402303,Caraúbas,Centro,centro,-5.793239799999999,-37.5593115,brasil_aberto_first_street,True
RN,2402303,Caraúbas,Miranda,miranda,-5.792889,-37.558025,mapbox_geocoding,True
RN,2402303,Caraúbas,São Geraldo,sao geraldo,-5.704489,-37.693977,mapbox_geocoding,True
RN,2402402,Carnaúba dos Dantas,Centro,centro,-6.556058699999999,-36.5938871,brasil_aberto_first_street,True
