Uf,CityIbgeCode,City,Neighborhood,NormalizedName,Latitude,Longitude,Source,IsActive
RO,1100015,Alta Floresta D'Oeste,Centro,centro,,,dne,True
RO,1100015,Alta Floresta D'Oeste,Terra Indígena Massaco,terra indigena massaco,,,dne,True
RO,1100015,Alta Floresta D'Oeste,Terra Indígena Rio Branco,terra indigena rio branco,,,dne,True
RO,1100023,Ariquemes,Apoio BR-364,apoio br 364,,,dne,True
RO,1100023,Ariquemes,Apoio BR-421,apoio br 421,,,dne,True
RO,1100023,Ariquemes,Apoio Rodoviário,apoio rodoviario,,,dne,True
RO,1100023,Ariquemes,Apoio Rodoviário Sul,apoio rodoviario sul,,,dne,True
RO,1100023,Ariquemes,Apoio Social,apoio social,,,dne,True
RO,1100023,Ariquemes,Área Industrial,area industrial,,,dne,True
RO,1100023,Ariquemes,Área Rural de Ariquemes,area rural de ariquemes,,,dne,True
RO,1100023,Ariquemes,Áreas de Chácara,areas de chacara,,,dne,True
RO,1100023,Ariquemes,Áreas Especiais,areas especiais,,,dne,True
RO,1100023,Ariquemes,Áreas Especiais 01,areas especiais 01,,,dne,True
RO,1100023,Ariquemes,Áreas Especiais 02,areas especiais 02,,,dne,True
RO,1100023,Ariquemes,Bela Vista,bela vista,,,dne,True
RO,1100023,Ariquemes,BNH,bnh,,,dne,True
RO,1100023,Ariquemes,Bom Futuro,bom futuro,,,dne,True
RO,1100023,Ariquemes,Bom Jesus,bom jesus,,,dne,True
RO,1100023,Ariquemes,Centro,centro,,,dne,True
RO,1100023,Ariquemes,Colonial,colonial,,,dne,True
RO,1100023,Ariquemes,Condomínio São Paulo,condominio sao paulo,,,dne,True
RO,1100023,Ariquemes,Coqueiral,coqueiral,,,dne,True
RO,1100023,Ariquemes,Entre Rios,entre rios,,,dne,True
RO,1100023,Ariquemes,Estância Sol Nascente,estancia sol nascente,,,dne,True
RO,1100023,Ariquemes,Feliz Cidade,feliz cidade,,,dne,True
RO,1100023,Ariquemes,Flores,flores,,,dne,True
RO,1100023,Ariquemes,Grandes Áreas,grandes areas,,,dne,True
RO,1100023,Ariquemes,Industrial Jamari,industrial jamari,,,dne,True
RO,1100023,Ariquemes,Jamari,jamari,,,dne,True
RO,1100023,Ariquemes,Jardim América,jardim america,,,dne,True
RO,1100023,Ariquemes,Jardim Bela Vista,jardim bela vista,,,dne,True
RO,1100023,Ariquemes,Jardim das Palmeiras,jardim das palmeiras,,,dne,True
RO,1100023,Ariquemes,Jardim Europa,jardim europa,,,dne,True
RO,1100023,Ariquemes,Jardim Jorge Teixeira,jardim jorge teixeira,,,dne,True
RO,1100023,Ariquemes,Jardim Paraná,jardim parana,,,dne,True
