Uf,CityIbgeCode,City,Neighborhood,NormalizedName,Latitude,Longitude,Source,IsActive
RO,1100015,Alta Floresta D'Oeste,Centro,centro,-11.927556,-61.997565,mapbox_geocoding,True
RO,1100015,Alta Floresta D'Oeste,Terra Indígena Massaco,terra indigena massaco,,,dne,True
RO,1100015,Alta Floresta D'Oeste,Terra Indígena Rio Branco,terra indigena rio branco,,,dne,True
RO,1100023,Ariquemes,Apoio BR-364,apoio br 364,-10.1147007,-62.9150894,cep_aberto,True
RO,1100023,Ariquemes,Apoio BR-421,apoio br 421,-10.083125,-62.996413,mapbox_geocoding,True
RO,1100023,Ariquemes,Apoio Rodoviário,apoio rodoviario,-9.9061054,-63.0330413,cep_aberto,True
RO,1100023,Ariquemes,Apoio Rodoviário Sul,apoio rodoviario sul,-9.922024,-63.034614,mapbox_geocoding,True
RO,1100023,Ariquemes,Apoio Social,apoio social,-9.9088754,-63.0179083,cep_aberto,True
RO,1100023,Ariquemes,Área Industrial,area industrial,-9.895958,-63.04779,mapbox_geocoding,True
RO,1100023,Ariquemes,Área Rural de Ariquemes,area rural de ariquemes,-9.9061054,-63.0330413,cep_aberto,True
RO,1100023,Ariquemes,Áreas de Chácara,areas de chacara,-9.9061054,-63.0330413,cep_aberto,True
RO,1100023,Ariquemes,Áreas Especiais,areas especiais,-9.913187,-63.02417,mapbox_geocoding,True
RO,1100023,Ariquemes,Áreas Especiais 01,areas especiais 01,-9.9163395,-63.0414662,cep_aberto,True
RO,1100023,Ariquemes,Áreas Especiais 02,areas especiais 02,-9.922024,-63.034614,mapbox_geocoding,True
RO,1100023,Ariquemes,Bela Vista,bela vista,-9.8943472,-63.0346525,cep_aberto,True
RO,1100023,Ariquemes,BNH,bnh,-9.895958,-63.04779,mapbox_geocoding,True
RO,1100023,Ariquemes,Bom Futuro,bom futuro,,,dne,True
RO,1100023,Ariquemes,Bom Jesus,bom jesus,-9.888283,-63.030695,mapbox_geocoding,True
RO,1100023,Ariquemes,Centro,centro,-9.9061054,-63.0330413,cep_aberto,True
RO,1100023,Ariquemes,Colonial,colonial,-9.89908,-63.029342,mapbox_geocoding,True
RO,1100023,Ariquemes,Condomínio São Paulo,condominio sao paulo,-9.9061054,-63.0330413,cep_aberto,True
RO,1100023,Ariquemes,Coqueiral,coqueiral,-9.915254,-63.011405,mapbox_geocoding,True
RO,1100023,Ariquemes,Entre Rios,entre rios,-10.083125,-62.996413,mapbox_geocoding,True
RO,1100023,Ariquemes,Estância Sol Nascente,estancia sol nascente,-10.083125,-62.996413,mapbox_geocoding,True
RO,1100023,Ariquemes,Feliz Cidade,feliz cidade,-9.888283,-63.030695,mapbox_geocoding,True
RO,1100023,Ariquemes,Flores,flores,-9.9061054,-63.0330413,cep_aberto,True
RO,1100023,Ariquemes,Grandes Áreas,grandes areas,-9.922024,-63.034614,mapbox_geocoding,True
RO,1100023,Ariquemes,Industrial Jamari,industrial jamari,-9.9113195,-63.0668963,cep_aberto,True
RO,1100023,Ariquemes,Jamari,jamari,-10.083125,-62.996413,mapbox_geocoding,True
RO,1100023,Ariquemes,Jardim América,jardim america,-9.896574,-63.0479032,cep_aberto,True
RO,1100023,Ariquemes,Jardim Bela Vista,jardim bela vista,-9.87617,-63.025005,mapbox_geocoding,True
RO,1100023,Ariquemes,Jardim das Palmeiras,jardim das palmeiras,-9.9061054,-63.0330413,cep_aberto,True
RO,1100023,Ariquemes,Jardim Europa,jardim europa,-9.888283,-63.030695,mapbox_geocoding,True
RO,1100023,Ariquemes,Jardim Jorge Teixeira,jardim jorge teixeira,-9.9061054,-63.0330413,cep_aberto,True
RO,1100023,Ariquemes,Jardim Paraná,jardim parana,-9.895958,-63.04779,mapbox_geocoding,True
RO,1100023,Ariquemes,Jardim Paulista,jardim paulista,-9.9061054,-63.0330413,cep_aberto,True
RO,1100023,Ariquemes,Jardim Primavera,jardim primavera,-9.913187,-63.02417,mapbox_geocoding,True
RO,1100023,Ariquemes,Jardim Rio de Janeiro,jardim rio de janeiro,-9.918712,-63.022222,mapbox_geocoding,True
RO,1100023,Ariquemes,Jardim Vitória,jardim vitoria,-9.9022758,-63.0477857,cep_aberto,True
RO,1100023,Ariquemes,Jardim Zona Sul,jardim zona sul,-9.948905,-63.014781,mapbox_geocoding,True
RO,1100023,Ariquemes,Loteamento Renascer,loteamento renascer,-9.9061054,-63.0330413,cep_aberto,True
RO,1100023,Ariquemes,Marechal Rondon 01,marechal rondon 01,-9.927167,-63.05745,mapbox_geocoding,True
RO,1100023,Ariquemes,Marechal Rondon 02,marechal rondon 02,-9.9061054,-63.0330413,cep_aberto,True
RO,1100023,Ariquemes,Monte Alegre,monte alegre,-9.895958,-63.04779,mapbox_geocoding,True
RO,1100023,Ariquemes,Monte Cristo,monte cristo,-9.9116595,-63.0639263,cep_aberto,True
RO,1100023,Ariquemes,Nova Londrina,nova londrina,-9.917134,-63.057788,mapbox_geocoding,True
RO,1100023,Ariquemes,Nova União 01,nova uniao 01,-9.9061054,-63.0330413,cep_aberto,True
RO,1100023,Ariquemes,Nova União 03,nova uniao 03,-9.895958,-63.04779,mapbox_geocoding,True
RO,1100023,Ariquemes,Nova Vida,nova vida,,,dne,True
RO,1100023,Ariquemes,PAD Marechal Dutra,pad marechal dutra,-9.895958,-63.04779,mapbox_geocoding,True
RO,1100023,Ariquemes,Park Tropical,park tropical,-9.9261274,-63.0353447,cep_aberto,True
RO,1100023,Ariquemes,Parque das Gemas,parque das gemas,-9.913187,-63.02417,mapbox_geocoding,True
RO,1100023,Ariquemes,Pedras,pedras,-9.9061054,-63.0330413,cep_aberto,True
RO,1100023,Ariquemes,Polo Moveleiro de Ariquemes,polo moveleiro de ariquemes,-9.888283,-63.030695,mapbox_geocoding,True
RO,1100023,Ariquemes,Raio de Luz,raio de luz,-9.9224995,-63.0230162,cep_aberto,True
RO,1100023,Ariquemes,Residencial Alvorada,residencial alvorada,-9.948905,-63.014781,mapbox_geocoding,True
