Uf,CityIbgeCode,City,Neighborhood,NormalizedName,Latitude,Longitude,Source,IsActive
RR,1400027,Amajari,Centro,centro,,,dne,True
RR,1400027,Amajari,Terra Indígena Yanomami,terra indigena yanomami,,,dne,True
RR,1400050,Alto Alegre,Centro,centro,,,dne,True
RR,1400050,Alto Alegre,Terra Indígena Yanomami,terra indigena yanomami,,,dne,True
RR,1400100,Boa Vista,13 de Setembro,13 de setembro,,,dne,True
RR,1400100,Boa Vista,31 de Março,31 de marco,,,dne,True
RR,1400100,Boa Vista,Aeroporto,aeroporto,,,dne,True
RR,1400100,Boa Vista,Alvorada,alvorada,,,dne,True
RR,1400100,Boa Vista,Área Rural de Boa Vista,area rural de boa vista,,,dne,True
RR,1400100,Boa Vista,Asa Branca,asa branca,,,dne,True
RR,1400100,Boa Vista,Bela Vista,bela vista,,,dne,True
RR,1400100,Boa Vista,Buritis,buritis,,,dne,True
RR,1400100,Boa Vista,Caçari,cacari,,,dne,True
RR,1400100,Boa Vista,Caimbé,caimbe,,,dne,True
RR,1400100,Boa Vista,Calungá,calunga,,,dne,True
RR,1400100,Boa Vista,Cambará,cambara,,,dne,True
RR,1400100,Boa Vista,Canarinho,canarinho,,,dne,True
RR,1400100,Boa Vista,Caranã,carana,,,dne,True
RR,1400100,Boa Vista,Cauamé,cauame,,,dne,True
RR,1400100,Boa Vista,Centenário,centenario,,,dne,True
RR,1400100,Boa Vista,Centro,centro,,,dne,True
RR,1400100,Boa Vista,Cidade Satélite,cidade satelite,,,dne,True
RR,1400100,Boa Vista,Cinturão Verde,cinturao verde,,,dne,True
RR,1400100,Boa Vista,Distr. Ind. Gov. Aquilino Mota Duarte,distr ind gov aquilino mota duarte,,,dne,True
RR,1400100,Boa Vista,Doutor Sílvio Botelho,doutor silvio botelho,,,dne,True
RR,1400100,Boa Vista,Doutor Sílvio Leite,doutor silvio leite,,,dne,True
RR,1400100,Boa Vista,Dr. Airton Rocha,dr airton rocha,,,dne,True
RR,1400100,Boa Vista,Equatorial,equatorial,,,dne,True
RR,1400100,Boa Vista,Estados,estados,,,dne,True
RR,1400100,Boa Vista,Jardim Caranã,jardim carana,,,dne,True
RR,1400100,Boa Vista,Jardim Floresta,jardim floresta,,,dne,True
RR,1400100,Boa Vista,Jardim Primavera,jardim primavera,,,dne,True
RR,1400100,Boa Vista,Jardim Tropical,jardim tropical,,,dne,True
RR,1400100,Boa Vista,João de Barro,joao de barro,,,dne,True
RR,1400100,Boa Vista,Jóquei Clube,joquei clube,,,dne,True
RR,1400100,Boa Vista,Laura Moreira,laura moreira,,,dne,True
RR,1400100,Boa Vista,Liberdade,liberdade,,,dne,True
