Uf,CityIbgeCode,City,Neighborhood,NormalizedName,Latitude,Longitude,Source,IsActive
RS,4300034,Aceguá,Centro,centro,,,dne,True
RS,4300034,Aceguá,Colônia Nova,colonia nova,,,dne,True
RS,4300034,Aceguá,Minuano,minuano,,,dne,True
RS,4300034,Aceguá,Rio Negro,rio negro,,,dne,True
RS,4300059,Água Santa,Centro,centro,,,dne,True
RS,4300059,Água Santa,Engenho Grande,engenho grande,,,dne,True
RS,4300059,Água Santa,Santo Antonio dos Pinheirinhos,santo antonio dos pinheirinhos,,,dne,True
RS,4300059,Água Santa,São Caetano,sao caetano,,,dne,True
RS,4300109,Agudo,Centro,centro,,,dne,True
RS,4300208,Ajuricaba,Barro Preto,barro preto,,,dne,True
RS,4300208,Ajuricaba,Centro,centro,,,dne,True
RS,4300208,Ajuricaba,Medianeira,medianeira,,,dne,True
RS,4300307,Alecrim,Centro,centro,,,dne,True
RS,4300406,Alegrete,Airton Senna,airton senna,,,dne,True
RS,4300406,Alegrete,Alberto Grande,alberto grande,,,dne,True
RS,4300406,Alegrete,Anita Garibaldi,anita garibaldi,,,dne,True
RS,4300406,Alegrete,Área Rural de Alegrete,area rural de alegrete,,,dne,True
RS,4300406,Alegrete,Assunção,assuncao,,,dne,True
RS,4300406,Alegrete,Atlântida,atlantida,,,dne,True
RS,4300406,Alegrete,Balneário Caverá,balneario cavera,,,dne,True
RS,4300406,Alegrete,Boa Vista,boa vista,,,dne,True
RS,4300406,Alegrete,Canjiqueira,canjiqueira,,,dne,True
RS,4300406,Alegrete,Canudos,canudos,,,dne,True
RS,4300406,Alegrete,Capão do Angico,capao do angico,,,dne,True
RS,4300406,Alegrete,Capivari,capivari,,,dne,True
RS,4300406,Alegrete,Catimbau,catimbau,,,dne,True
RS,4300406,Alegrete,Centenário,centenario,,,dne,True
RS,4300406,Alegrete,Centro,centro,,,dne,True
RS,4300406,Alegrete,Cidade Alta,cidade alta,,,dne,True
RS,4300406,Alegrete,Dr. Romário A de Oliveira,dr romario a de oliveira,,,dne,True
RS,4300406,Alegrete,Durasnal,durasnal,,,dne,True
RS,4300406,Alegrete,Emílio Zuneda,emilio zuneda,,,dne,True
RS,4300406,Alegrete,Favila,favila,,,dne,True
RS,4300406,Alegrete,Fênix,fenix,,,dne,True
RS,4300406,Alegrete,Fronteira Oeste,fronteira oeste,,,dne,True
RS,4300406,Alegrete,Gamino,gamino,,,dne,True
RS,4300406,Alegrete,Getúlio Vargas,getulio vargas,,,dne,True
RS,4300406,Alegrete,Grande,grande,,,dne,True
RS,4300406,Alegrete,Guassu Boi,guassu boi,,,dne,True
RS,4300406,Alegrete,Honório lemos,honorio lemos,,,dne,True
RS,4300406,Alegrete,Ibirapuitã,ibirapuita,,,dne,True
RS,4300406,Alegrete,Independência,independencia,,,dne,True
RS,4300406,Alegrete,Inez,inez,,,dne,True
RS,4300406,Alegrete,Inhanduí,inhandui,,,dne,True
RS,4300406,Alegrete,Itapororó,itapororo,,,dne,True
RS,4300406,Alegrete,Izabel,izabel,,,dne,True
RS,4300406,Alegrete,Jardim Planalto,jardim planalto,,,dne,True
RS,4300406,Alegrete,Joaquim Fonseca Milano,joaquim fonseca milano,,,dne,True
RS,4300406,Alegrete,José de Abreu,jose de abreu,,,dne,True
RS,4300406,Alegrete,Kennedy,kennedy,,,dne,True
RS,4300406,Alegrete,Lara,lara,,,dne,True
RS,4300406,Alegrete,Liberdade,liberdade,,,dne,True
RS,4300406,Alegrete,Macedo,macedo,,,dne,True
RS,4300406,Alegrete,Maria do Carmo,maria do carmo,,,dne,True
RS,4300406,Alegrete,Medianeira,medianeira,,,dne,True
RS,4300406,Alegrete,Militar,militar,,,dne,True
RS,4300406,Alegrete,Nilo Soares Gonçalves,nilo soares goncalves,,,dne,True
RS,4300406,Alegrete,Nossa Senhora da Conceição Aparecida,nossa senhora da conceicao aparecida,,,dne,True
RS,4300406,Alegrete,Nova Brasília,nova brasilia,,,dne,True
RS,4300406,Alegrete,Novo Lar,novo lar,,,dne,True
RS,4300406,Alegrete,Olhos D'Agua de Natal,olhos d agua de natal,,,dne,True
RS,4300406,Alegrete,Oswaldo Aranha,oswaldo aranha,,,dne,True
RS,4300406,Alegrete,Palma,palma,,,dne,True
RS,4300406,Alegrete,Passo Novo,passo novo,,,dne,True
RS,4300406,Alegrete,Pedreiras,pedreiras,,,dne,True
RS,4300406,Alegrete,Piola,piola,,,dne,True
RS,4300406,Alegrete,Praça da Lagoa,praca da lagoa,,,dne,True
RS,4300406,Alegrete,Prado,prado,,,dne,True
RS,4300406,Alegrete,Progresso,progresso,,,dne,True
RS,4300406,Alegrete,Promorar,promorar,,,dne,True
