Uf,CityIbgeCode,City,Neighborhood,NormalizedName,Latitude,Longitude,Source,IsActive
RS,4300034,Aceguá,Centro,centro,-31.870625,-54.159983,mapbox_geocoding,True
RS,4300034,Aceguá,Colônia Nova,colonia nova,,,dne,True
RS,4300034,Aceguá,Minuano,minuano,,,dne,True
RS,4300034,Aceguá,Rio Negro,rio negro,,,dne,True
RS,4300059,Água Santa,Centro,centro,-28.177634,-52.034333,mapbox_geocoding,True
RS,4300059,Água Santa,Engenho Grande,engenho grande,,,dne,True
RS,4300059,Água Santa,Santo Antonio dos Pinheirinhos,santo antonio dos pinheirinhos,,,dne,True
RS,4300059,Água Santa,São Caetano,sao caetano,,,dne,True
RS,4300109,Agudo,Centro,centro,-29.265814,-51.521932,mapbox_geocoding,True
RS,4300208,Ajuricaba,Barro Preto,barro preto,,,dne,True
RS,4300208,Ajuricaba,Centro,centro,-28.239504,-53.771691,mapbox_geocoding,True
RS,4300208,Ajuricaba,Medianeira,medianeira,,,dne,True
RS,4300307,Alecrim,Centro,centro,-27.656959,-54.764513,mapbox_geocoding,True
RS,4300406,Alegrete,Airton Senna,airton senna,-29.7897076,-55.7725524,cep_aberto,True
RS,4300406,Alegrete,Alberto Grande,alberto grande,-29.807327,-55.807393,mapbox_geocoding,True
RS,4300406,Alegrete,Anita Garibaldi,anita garibaldi,-29.7844400005,-55.7936591533,cep_aberto,True
RS,4300406,Alegrete,Área Rural de Alegrete,area rural de alegrete,-29.784271,-55.791634,mapbox_geocoding,True
RS,4300406,Alegrete,Assunção,assuncao,-29.783900004,-55.7909630249,cep_aberto,True
RS,4300406,Alegrete,Atlântida,atlantida,-29.804725,-55.804842,mapbox_geocoding,True
RS,4300406,Alegrete,Balneário Caverá,balneario cavera,-29.7879500044,-55.7977033425,cep_aberto,True
RS,4300406,Alegrete,Boa Vista,boa vista,-29.784271,-55.791634,mapbox_geocoding,True
RS,4300406,Alegrete,Canjiqueira,canjiqueira,-29.783,-55.7941776416,cep_aberto,True
RS,4300406,Alegrete,Canudos,canudos,-29.774486,-55.792134,mapbox_geocoding,True
RS,4300406,Alegrete,Capão do Angico,capao do angico,-29.783,-55.7860892677,cep_aberto,True
RS,4300406,Alegrete,Capivari,capivari,-29.765142,-55.647611,mapbox_geocoding,True
RS,4300406,Alegrete,Catimbau,catimbau,,,dne,True
RS,4300406,Alegrete,Centenário,centenario,-29.7801199997,-55.7886816942,cep_aberto,True
RS,4300406,Alegrete,Centro,centro,-29.783712,-55.782525,mapbox_geocoding,True
RS,4300406,Alegrete,Cidade Alta,cidade alta,-29.783,-55.7957331017,cep_aberto,True
RS,4300406,Alegrete,Dr. Romário A de Oliveira,dr romario a de oliveira,-29.810318,-55.745203,mapbox_geocoding,True
RS,4300406,Alegrete,Durasnal,durasnal,,,dne,True
RS,4300406,Alegrete,Emílio Zuneda,emilio zuneda,-29.783,-55.7888890873,cep_aberto,True
RS,4300406,Alegrete,Favila,favila,-29.806238,-55.749462,mapbox_geocoding,True
RS,4300406,Alegrete,Fênix,fenix,-29.7844400046,-55.790340842,cep_aberto,True
RS,4300406,Alegrete,Fronteira Oeste,fronteira oeste,-29.807853,-55.807564,mapbox_geocoding,True
RS,4300406,Alegrete,Gamino,gamino,-29.7868700092,-55.792,cep_aberto,True
RS,4300406,Alegrete,Getúlio Vargas,getulio vargas,-29.803107,-55.76809,mapbox_geocoding,True
RS,4300406,Alegrete,Grande,grande,-30.11606,-50.826312,mapbox_geocoding,True
RS,4300406,Alegrete,Guassu Boi,guassu boi,,,dne,True
RS,4300406,Alegrete,Honório lemos,honorio lemos,-29.7808399968,-55.792,cep_aberto,True
RS,4300406,Alegrete,Ibirapuitã,ibirapuita,-29.961568,-55.655064,mapbox_geocoding,True
RS,4300406,Alegrete,Independência,independencia,-29.7810199955,-55.7897186599,cep_aberto,True
RS,4300406,Alegrete,Inez,inez,-29.805838,-55.806954,mapbox_geocoding,True
RS,4300406,Alegrete,Inhanduí,inhandui,,,dne,True
RS,4300406,Alegrete,Itapororó,itapororo,,,dne,True
RS,4300406,Alegrete,Izabel,izabel,-29.7817399984,-55.7905482395,cep_aberto,True
RS,4300406,Alegrete,Jardim Planalto,jardim planalto,-29.809112,-55.810388,mapbox_geocoding,True
RS,4300406,Alegrete,Joaquim Fonseca Milano,joaquim fonseca milano,-29.783,-55.795110916,cep_aberto,True
RS,4300406,Alegrete,José de Abreu,jose de abreu,-29.815832,-55.816386,mapbox_geocoding,True
RS,4300406,Alegrete,Kennedy,kennedy,-29.7868700035,-55.7964589769,cep_aberto,True
