Uf,CityIbgeCode,City,Neighborhood,NormalizedName,Latitude,Longitude,Source,IsActive
SC,4200051,Abdon Batista,Centro,centro,,,dne,True
SC,4200101,Abelardo Luz,Centro,centro,,,dne,True
SC,4200200,Agrolândia,Centro,centro,,,dne,True
SC,4200309,Agronômica,Centro,centro,,,dne,True
SC,4200408,Água Doce,Centro,centro,,,dne,True
SC,4200408,Água Doce,Distrito de Herciliópolis,distrito de herciliopolis,,,dne,True
SC,4200408,Água Doce,Herciliópolis,herciliopolis,,,dne,True
SC,4200507,Águas de Chapecó,Centro,centro,,,dne,True
SC,4200556,Águas Frias,Centro,centro,,,dne,True
SC,4200606,Águas Mornas,Área Rural,area rural,,,dne,True
SC,4200606,Águas Mornas,Centro,centro,,,dne,True
SC,4200606,Águas Mornas,Fazenda da Ressurreição,fazenda da ressurreicao,,,dne,True
SC,4200606,Águas Mornas,Fazenda do Sacramento,fazenda do sacramento,,,dne,True
SC,4200606,Águas Mornas,Santa Cruz da Figueira,santa cruz da figueira,,,dne,True
SC,4200606,Águas Mornas,Vargem Grande,vargem grande,,,dne,True
SC,4200606,Águas Mornas,Vila Nova,vila nova,,,dne,True
SC,4200705,Alfredo Wagner,Arnópolis,arnopolis,,,dne,True
SC,4200705,Alfredo Wagner,Catuíra,catuira,,,dne,True
SC,4200705,Alfredo Wagner,Centro,centro,,,dne,True
SC,4200705,Alfredo Wagner,São Leonardo,sao leonardo,,,dne,True
SC,4200754,Alto Bela Vista,Centro,centro,,,dne,True
SC,4200804,Anchieta,Centro,centro,,,dne,True
SC,4200903,Angelina,Barra Clara,barra clara,,,dne,True
SC,4200903,Angelina,Centro,centro,,,dne,True
SC,4200903,Angelina,Distrito de Garcia,distrito de garcia,,,dne,True
SC,4200903,Angelina,Garcia,garcia,,,dne,True
SC,4201000,Anita Garibaldi,Centro,centro,,,dne,True
SC,4201000,Anita Garibaldi,Lagoa da Estiva,lagoa da estiva,,,dne,True
SC,4201109,Anitápolis,Centro,centro,,,dne,True
SC,4201208,Antônio Carlos,Área Rural de Antônio Carlos,area rural de antonio carlos,,,dne,True
SC,4201208,Antônio Carlos,Canudos,canudos,,,dne,True
SC,4201208,Antônio Carlos,Centro,centro,,,dne,True
SC,4201208,Antônio Carlos,Egito,egito,,,dne,True
SC,4201208,Antônio Carlos,Guiomar,guiomar,,,dne,True
SC,4201208,Antônio Carlos,Guiomar de Baixo,guiomar de baixo,,,dne,True
SC,4201208,Antônio Carlos,Louro,louro,,,dne,True
SC,4201208,Antônio Carlos,Rachadel,rachadel,,,dne,True
SC,4201208,Antônio Carlos,Santa Barbara,santa barbara,,,dne,True
SC,4201208,Antônio Carlos,Santa Maria,santa maria,,,dne,True
SC,4201208,Antônio Carlos,Usina,usina,,,dne,True
SC,4201208,Antônio Carlos,Vila Doze de Outubro,vila doze de outubro,,,dne,True
SC,4201257,Apiúna,Centro,centro,,,dne,True
SC,4201273,Arabutã,Centro,centro,,,dne,True
SC,4201273,Arabutã,Nova Estrela,nova estrela,,,dne,True
SC,4201307,Araquari,Centro,centro,,,dne,True
SC,4201307,Araquari,Distrito de Itapocu,distrito de itapocu,,,dne,True
SC,4201307,Araquari,Itapocu,itapocu,,,dne,True
SC,4201307,Araquari,Itinga,itinga,,,dne,True
SC,4201406,Araranguá,Alto Feliz,alto feliz,,,dne,True
SC,4201406,Araranguá,Arapongas,arapongas,,,dne,True
SC,4201406,Araranguá,Área Rural de Araranguá,area rural de ararangua,,,dne,True
SC,4201406,Araranguá,Balneário de Ilhas (Hercílio Luz),balneario de ilhas hercilio luz,,,dne,True
SC,4201406,Araranguá,Barranca,barranca,,,dne,True
SC,4201406,Araranguá,Caverazinho,caverazinho,,,dne,True
SC,4201406,Araranguá,Centro,centro,,,dne,True
SC,4201406,Araranguá,Centro Cívico,centro civico,,,dne,True
SC,4201406,Araranguá,Cidade Alta,cidade alta,,,dne,True
SC,4201406,Araranguá,Coloninha,coloninha,,,dne,True
SC,4201406,Araranguá,Hercílio Luz (Hercílio Luz),hercilio luz hercilio luz,,,dne,True
SC,4201406,Araranguá,Industrial,industrial,,,dne,True
SC,4201406,Araranguá,Jardim Cibeli,jardim cibeli,,,dne,True
SC,4201406,Araranguá,Jardim das Avenidas,jardim das avenidas,,,dne,True
SC,4201406,Araranguá,Lagoa da Serra,lagoa da serra,,,dne,True
SC,4201406,Araranguá,Lagoão,lagoao,,,dne,True
SC,4201406,Araranguá,Mato Alto,mato alto,,,dne,True
SC,4201406,Araranguá,Morro Agudo (Hercílio Luz),morro agudo hercilio luz,,,dne,True
SC,4201406,Araranguá,Morro dos Conventos,morro dos conventos,,,dne,True
SC,4201406,Araranguá,Nova Divinéia,nova divineia,,,dne,True
SC,4201406,Araranguá,Operária,operaria,,,dne,True
SC,4201406,Araranguá,Polícia Rodoviária,policia rodoviaria,,,dne,True
SC,4201406,Araranguá,Sanga da Areia,sanga da areia,,,dne,True
SC,4201406,Araranguá,Sanga da Toca,sanga da toca,,,dne,True
SC,4201406,Araranguá,Sanga da Toca 1ª,sanga da toca 1a,,,dne,True
SC,4201406,Araranguá,Santa Bárbara,santa barbara,,,dne,True
SC,4201406,Araranguá,Santa Catarina,santa catarina,,,dne,True
SC,4201406,Araranguá,Santa Rosa de Lima,santa rosa de lima,,,dne,True
SC,4201406,Araranguá,Urussanguinha,urussanguinha,,,dne,True
SC,4201406,Araranguá,Vila São José,vila sao jose,,,dne,True
SC,4201505,Armazém,Centro,centro,,,dne,True
SC,4201604,Arroio Trinta,Centro,centro,,,dne,True
SC,4201653,Arvoredo,Centro,centro,,,dne,True
SC,4201703,Ascurra,Centro,centro,,,dne,True
SC,4201802,Atalanta,Centro,centro,,,dne,True
SC,4201901,Aurora,Centro,centro,,,dne,True
SC,4201950,Balneário Arroio do Silva,Centro,centro,,,dne,True
SC,4202008,Balneário Camboriú,Área Rural de Balneário Camboriú,area rural de balneario camboriu,,,dne,True
SC,4202008,Balneário Camboriú,Ariribá,aririba,,,dne,True
SC,4202008,Balneário Camboriú,Barra,barra,,,dne,True
SC,4202008,Balneário Camboriú,Centro,centro,,,dne,True
SC,4202008,Balneário Camboriú,Estados,estados,,,dne,True
SC,4202008,Balneário Camboriú,Jardim Iate Clube,jardim iate clube,,,dne,True
SC,4202008,Balneário Camboriú,Municípios,municipios,,,dne,True
SC,4202008,Balneário Camboriú,Nações,nacoes,,,dne,True
SC,4202008,Balneário Camboriú,Nova Esperança,nova esperanca,,,dne,True
