Uf,CityIbgeCode,City,Neighborhood,NormalizedName,Latitude,Longitude,Source,IsActive
SC,4200051,Abdon Batista,Centro,centro,-27.610366,-51.023679,mapbox_geocoding,True
SC,4200101,Abelardo Luz,Centro,centro,-26.568811,-52.329692,mapbox_geocoding,True
SC,4200200,Agrolândia,Centro,centro,-27.410555,-49.824573,mapbox_geocoding,True
SC,4200309,Agronômica,Centro,centro,-27.249061,-48.643213,mapbox_geocoding,True
SC,4200408,Água Doce,Centro,centro,-26.998166,-51.553017,mapbox_geocoding,True
SC,4200408,Água Doce,Distrito de Herciliópolis,distrito de herciliopolis,-26.8185923,-51.5101861,cep_aberto,True
SC,4200408,Água Doce,Herciliópolis,herciliopolis,,,dne,True
SC,4200507,Águas de Chapecó,Centro,centro,-27.072953,-52.987126,mapbox_geocoding,True
SC,4200556,Águas Frias,Centro,centro,-26.882335,-52.859792,mapbox_geocoding,True
SC,4200606,Águas Mornas,Área Rural,area rural,-27.69921,-48.81717,mapbox_geocoding,True
SC,4200606,Águas Mornas,Centro,centro,-27.696092,-48.820967,mapbox_geocoding,True
SC,4200606,Águas Mornas,Fazenda da Ressurreição,fazenda da ressurreicao,-28.684015,-49.364789,mapbox_geocoding,True
SC,4200606,Águas Mornas,Fazenda do Sacramento,fazenda do sacramento,-27.689744,-48.839292,mapbox_geocoding,True
SC,4200606,Águas Mornas,Santa Cruz da Figueira,santa cruz da figueira,-27.7212,-48.893314,mapbox_geocoding,True
SC,4200606,Águas Mornas,Vargem Grande,vargem grande,-27.716702,-48.880213,mapbox_geocoding,True
SC,4200606,Águas Mornas,Vila Nova,vila nova,-27.706968,-48.807779,mapbox_geocoding,True
SC,4200705,Alfredo Wagner,Arnópolis,arnopolis,,,dne,True
SC,4200705,Alfredo Wagner,Catuíra,catuira,,,dne,True
SC,4200705,Alfredo Wagner,Centro,centro,-27.761633,-49.27539,mapbox_geocoding,True
SC,4200705,Alfredo Wagner,São Leonardo,sao leonardo,,,dne,True
SC,4200754,Alto Bela Vista,Centro,centro,-27.431897,-51.908664,mapbox_geocoding,True
SC,4200804,Anchieta,Centro,centro,-26.536786,-53.330914,mapbox_geocoding,True
SC,4200903,Angelina,Barra Clara,barra clara,,,dne,True
SC,4200903,Angelina,Centro,centro,-27.5261541,-49.1185998,cep_aberto,True
SC,4200903,Angelina,Distrito de Garcia,distrito de garcia,-27.498231,-48.99576,mapbox_geocoding,True
SC,4200903,Angelina,Garcia,garcia,,,dne,True
SC,4201000,Anita Garibaldi,Centro,centro,-27.684423,-51.131436,mapbox_geocoding,True
SC,4201000,Anita Garibaldi,Lagoa da Estiva,lagoa da estiva,,,dne,True
SC,4201109,Anitápolis,Centro,centro,-27.911887,-49.131283,mapbox_geocoding,True
SC,4201208,Antônio Carlos,Área Rural de Antônio Carlos,area rural de antonio carlos,-27.517895,-48.768753,mapbox_geocoding,True
SC,4201208,Antônio Carlos,Canudos,canudos,-27.521557,-48.751654,mapbox_geocoding,True
SC,4201208,Antônio Carlos,Centro,centro,-27.517092,-48.759085,mapbox_geocoding,True
SC,4201208,Antônio Carlos,Egito,egito,-27.529328,-48.871628,mapbox_geocoding,True
SC,4201208,Antônio Carlos,Guiomar,guiomar,-27.51459,-48.776226,mapbox_geocoding,True
SC,4201208,Antônio Carlos,Guiomar de Baixo,guiomar de baixo,-27.508083,-48.760519,mapbox_geocoding,True
SC,4201208,Antônio Carlos,Louro,louro,-27.500353,-48.81688,mapbox_geocoding,True
SC,4201208,Antônio Carlos,Rachadel,rachadel,-27.481334,-48.794734,mapbox_geocoding,True
SC,4201208,Antônio Carlos,Santa Barbara,santa barbara,-27.500353,-48.81688,mapbox_geocoding,True
SC,4201208,Antônio Carlos,Santa Maria,santa maria,-27.517811,-48.852327,mapbox_geocoding,True
SC,4201208,Antônio Carlos,Usina,usina,-27.522669,-48.801007,mapbox_geocoding,True
SC,4201208,Antônio Carlos,Vila Doze de Outubro,vila doze de outubro,-27.44921,-48.817715,mapbox_geocoding,True
SC,4201257,Apiúna,Centro,centro,-27.02311,-49.372147,mapbox_geocoding,True
SC,4201273,Arabutã,Centro,centro,-27.158859,-52.144008,mapbox_geocoding,True
SC,4201273,Arabutã,Nova Estrela,nova estrela,-27.16,-52.1417976893,cep_aberto,True
SC,4201307,Araquari,Centro,centro,-26.371954,-48.721466,mapbox_geocoding,True
SC,4201307,Araquari,Distrito de Itapocu,distrito de itapocu,-26.5487518,-48.7147536,cep_aberto,True
SC,4201307,Araquari,Itapocu,itapocu,,,dne,True
SC,4201307,Araquari,Itinga,itinga,-26.409197,-48.797688,mapbox_geocoding,True
SC,4201406,Araranguá,Alto Feliz,alto feliz,-28.9537347,-49.4958207,cep_aberto,True
SC,4201406,Araranguá,Arapongas,arapongas,-28.943982,-49.44938,mapbox_geocoding,True
SC,4201406,Araranguá,Área Rural de Araranguá,area rural de ararangua,-28.9497238,-49.5306654,cep_aberto,True
SC,4201406,Araranguá,Balneário de Ilhas (Hercílio Luz),balneario de ilhas hercilio luz,-28.909905,-49.335491,mapbox_geocoding,True
SC,4201406,Araranguá,Barranca,barranca,-28.9555483,-49.522249,cep_aberto,True
