Uf,CityIbgeCode,City,Neighborhood,NormalizedName,Latitude,Longitude,Source,IsActive
SE,2800100,Amparo do São Francisco,Centro,centro,,,dne,True
SE,2800209,Aquidabã,Centro,centro,,,dne,True
SE,2800308,Aracaju,17 de Março,17 de marco,,,dne,True
SE,2800308,Aracaju,Aeroporto,aeroporto,,,dne,True
SE,2800308,Aracaju,América,america,,,dne,True
SE,2800308,Aracaju,Areia Branca,areia branca,,,dne,True
SE,2800308,Aracaju,Aruana,aruana,,,dne,True
SE,2800308,Aracaju,Atalaia,atalaia,,,dne,True
SE,2800308,Aracaju,Bugio,bugio,,,dne,True
SE,2800308,Aracaju,Capucho,capucho,,,dne,True
SE,2800308,Aracaju,Centro,centro,,,dne,True
SE,2800308,Aracaju,Cidade Nova,cidade nova,,,dne,True
SE,2800308,Aracaju,Cirurgia,cirurgia,,,dne,True
SE,2800308,Aracaju,Coroa do Meio,coroa do meio,,,dne,True
SE,2800308,Aracaju,Dezoito do Forte,dezoito do forte,,,dne,True
SE,2800308,Aracaju,Dom Luciano,dom luciano,,,dne,True
SE,2800308,Aracaju,Farolândia,farolandia,,,dne,True
SE,2800308,Aracaju,Gameleira,gameleira,,,dne,True
SE,2800308,Aracaju,Getúlio Vargas,getulio vargas,,,dne,True
SE,2800308,Aracaju,Grageru,grageru,,,dne,True
SE,2800308,Aracaju,Inácio Barbosa,inacio barbosa,,,dne,True
SE,2800308,Aracaju,Industrial,industrial,,,dne,True
SE,2800308,Aracaju,Jabotiana,jabotiana,,,dne,True
SE,2800308,Aracaju,Japãozinho,japaozinho,,,dne,True
SE,2800308,Aracaju,Jardim Centenário,jardim centenario,,,dne,True
SE,2800308,Aracaju,Jardins,jardins,,,dne,True
SE,2800308,Aracaju,José Conrado de Araújo,jose conrado de araujo,,,dne,True
SE,2800308,Aracaju,Lamarão,lamarao,,,dne,True
SE,2800308,Aracaju,Luzia,luzia,,,dne,True
SE,2800308,Aracaju,Marivan,marivan,,,dne,True
SE,2800308,Aracaju,Matapoã,matapoa,,,dne,True
SE,2800308,Aracaju,Mosqueiro,mosqueiro,,,dne,True
SE,2800308,Aracaju,Novo Paraíso,novo paraiso,,,dne,True
SE,2800308,Aracaju,Olaria,olaria,,,dne,True
SE,2800308,Aracaju,Palestina,palestina,,,dne,True
SE,2800308,Aracaju,Pereira Lobo,pereira lobo,,,dne,True
SE,2800308,Aracaju,Ponto Novo,ponto novo,,,dne,True
SE,2800308,Aracaju,Porto D'Antas,porto d antas,,,dne,True
SE,2800308,Aracaju,Robalo,robalo,,,dne,True
SE,2800308,Aracaju,Salgado Filho,salgado filho,,,dne,True
SE,2800308,Aracaju,Santa Maria,santa maria,,,dne,True
SE,2800308,Aracaju,Santo Antônio,santo antonio,,,dne,True
SE,2800308,Aracaju,Santos Dumont,santos dumont,,,dne,True
SE,2800308,Aracaju,São Conrado,sao conrado,,,dne,True
SE,2800308,Aracaju,São José,sao jose,,,dne,True
SE,2800308,Aracaju,São José dos Náufragos,sao jose dos naufragos,,,dne,True
SE,2800308,Aracaju,Siqueira Campos,siqueira campos,,,dne,True
SE,2800308,Aracaju,Soledade,soledade,,,dne,True
SE,2800308,Aracaju,Suíça,suica,,,dne,True
SE,2800308,Aracaju,Treze de Julho,treze de julho,,,dne,True
SE,2800407,Arauá,Centro,centro,,,dne,True
SE,2800506,Areia Branca,Centro,centro,,,dne,True
SE,2800605,Barra dos Coqueiros,Alphaville,alphaville,,,dne,True
SE,2800605,Barra dos Coqueiros,Antônio Pedro,antonio pedro,,,dne,True
SE,2800605,Barra dos Coqueiros,Atalaia Nova,atalaia nova,,,dne,True
SE,2800605,Barra dos Coqueiros,Baixo,baixo,,,dne,True
SE,2800605,Barra dos Coqueiros,Beira Rio,beira rio,,,dne,True
SE,2800605,Barra dos Coqueiros,Brisas de Atalaia,brisas de atalaia,,,dne,True
SE,2800605,Barra dos Coqueiros,Caminho da Praia,caminho da praia,,,dne,True
SE,2800605,Barra dos Coqueiros,Centro,centro,,,dne,True
SE,2800605,Barra dos Coqueiros,Costa Paradiso,costa paradiso,,,dne,True
SE,2800605,Barra dos Coqueiros,Espaço Tropical,espaco tropical,,,dne,True
SE,2800605,Barra dos Coqueiros,Governador Marcelo Déda,governador marcelo deda,,,dne,True
SE,2800605,Barra dos Coqueiros,Luar da Barra,luar da barra,,,dne,True
SE,2800605,Barra dos Coqueiros,Marivan,marivan,,,dne,True
SE,2800605,Barra dos Coqueiros,Moisés Gomes,moises gomes,,,dne,True
SE,2800605,Barra dos Coqueiros,Olimar,olimar,,,dne,True
