Uf,CityIbgeCode,City,Neighborhood,NormalizedName,Latitude,Longitude,Source,IsActive
SE,2800100,Amparo do São Francisco,Centro,centro,-10.130533,-36.926439,mapbox_geocoding,True
SE,2800209,Aquidabã,Centro,centro,-10.280461,-37.017024,mapbox_geocoding,True
SE,2800308,Aracaju,17 de Março,17 de marco,-10.898559,-37.059896,cep_aberto,True
SE,2800308,Aracaju,Aeroporto,aeroporto,-10.998022,-37.069211,mapbox_geocoding,True
SE,2800308,Aracaju,América,america,-10.918302,-37.0802772,cep_aberto,True
SE,2800308,Aracaju,Areia Branca,areia branca,-10.89572,-37.100077,mapbox_geocoding,True
SE,2800308,Aracaju,Aruana,aruana,-10.9472468,-37.0730823,cep_aberto,True
SE,2800308,Aracaju,Atalaia,atalaia,-10.985556,-37.052733,mapbox_geocoding,True
SE,2800308,Aracaju,Bugio,bugio,-10.8939626,-37.0963693,cep_aberto,True
SE,2800308,Aracaju,Capucho,capucho,-10.90951,-37.078993,mapbox_geocoding,True
SE,2800308,Aracaju,Centro,centro,-10.9184933,-37.055075,cep_aberto,True
SE,2800308,Aracaju,Cidade Nova,cidade nova,-10.893788,-37.066517,mapbox_geocoding,True
SE,2800308,Aracaju,Cirurgia,cirurgia,-10.9172183,-37.0628412,cep_aberto,True
SE,2800308,Aracaju,Coroa do Meio,coroa do meio,-10.961455,-37.041549,mapbox_geocoding,True
SE,2800308,Aracaju,Dezoito do Forte,dezoito do forte,-10.900966,-37.0695478,cep_aberto,True
SE,2800308,Aracaju,Dom Luciano,dom luciano,-10.884322,-37.074587,mapbox_geocoding,True
SE,2800308,Aracaju,Farolândia,farolandia,-10.941538,-37.062084,mapbox_geocoding,True
SE,2800308,Aracaju,Gameleira,gameleira,-11.060903,-37.100424,mapbox_geocoding,True
SE,2800308,Aracaju,Getúlio Vargas,getulio vargas,-10.9101511,-37.0628412,cep_aberto,True
SE,2800308,Aracaju,Grageru,grageru,-10.94183,-37.062007,mapbox_geocoding,True
SE,2800308,Aracaju,Inácio Barbosa,inacio barbosa,-10.942195,-37.0742217,cep_aberto,True
SE,2800308,Aracaju,Industrial,industrial,-11.397607,-37.413414,mapbox_geocoding,True
SE,2800308,Aracaju,Jabotiana,jabotiana,-10.9472468,-37.0730823,cep_aberto,True
SE,2800308,Aracaju,Japãozinho,japaozinho,-10.884322,-37.074587,mapbox_geocoding,True
SE,2800308,Aracaju,Jardim Centenário,jardim centenario,-10.8977356,-37.1040455,cep_aberto,True
SE,2800308,Aracaju,Jardins,jardins,-10.918202,-37.064683,mapbox_geocoding,True
SE,2800308,Aracaju,José Conrado de Araújo,jose conrado de araujo,-10.9044109,-37.0894622,cep_aberto,True
SE,2800308,Aracaju,Lamarão,lamarao,-10.873647,-37.076544,mapbox_geocoding,True
SE,2800308,Aracaju,Luzia,luzia,-10.942195,-37.0742217,cep_aberto,True
SE,2800308,Aracaju,Marivan,marivan,-10.979272,-37.086799,mapbox_geocoding,True
SE,2800308,Aracaju,Matapoã,matapoa,-11.096153,-37.1497657,cep_aberto,True
SE,2800308,Aracaju,Mosqueiro,mosqueiro,-11.090355,-37.121524,mapbox_geocoding,True
SE,2800308,Aracaju,Novo Paraíso,novo paraiso,-10.9118483,-37.0843003,cep_aberto,True
SE,2800308,Aracaju,Olaria,olaria,-10.899233,-37.084031,mapbox_geocoding,True
SE,2800308,Aracaju,Palestina,palestina,-10.893731,-37.0665293,cep_aberto,True
SE,2800308,Aracaju,Pereira Lobo,pereira lobo,-10.917458,-37.06738,mapbox_geocoding,True
SE,2800308,Aracaju,Ponto Novo,ponto novo,-10.9349279,-37.075392,cep_aberto,True
SE,2800308,Aracaju,Porto D'Antas,porto d antas,-10.87678,-37.05092,mapbox_geocoding,True
SE,2800308,Aracaju,Robalo,robalo,-11.018538,-37.070584,mapbox_geocoding,True
SE,2800308,Aracaju,Salgado Filho,salgado filho,-10.9289225,-37.056472,cep_aberto,True
SE,2800308,Aracaju,Santa Maria,santa maria,-10.216155,-37.4377,mapbox_geocoding,True
SE,2800308,Aracaju,Santo Antônio,santo antonio,-10.8963946,-37.0601583,cep_aberto,True
SE,2800308,Aracaju,Santos Dumont,santos dumont,-10.900401,-37.083487,mapbox_geocoding,True
SE,2800308,Aracaju,São Conrado,sao conrado,-10.9837456,-37.053138,cep_aberto,True
SE,2800308,Aracaju,São José,sao jose,-10.924417,-37.047941,mapbox_geocoding,True
SE,2800308,Aracaju,São José dos Náufragos,sao jose dos naufragos,-10.915655,-37.078403,mapbox_geocoding,True
SE,2800308,Aracaju,Siqueira Campos,siqueira campos,-10.9160879,-37.0708891,cep_aberto,True
SE,2800308,Aracaju,Soledade,soledade,-10.888802,-37.069325,mapbox_geocoding,True
SE,2800308,Aracaju,Suíça,suica,-10.9242862,-37.0628412,cep_aberto,True
SE,2800308,Aracaju,Treze de Julho,treze de julho,-10.93006,-37.046712,mapbox_geocoding,True
SE,2800407,Arauá,Centro,centro,-10.222339,-36.843797,mapbox_geocoding,True
SE,2800506,Areia Branca,Centro,centro,-10.758138,-37.316106,mapbox_geocoding,True
SE,2800605,Barra dos Coqueiros,Alphaville,alphaville,-10.907704,-37.02962,mapbox_geocoding,True
SE,2800605,Barra dos Coqueiros,Antônio Pedro,antonio pedro,-10.907714,-37.029489,mapbox_geocoding,True
SE,2800605,Barra dos Coqueiros,Atalaia Nova,atalaia nova,-10.943855,-37.034864,mapbox_geocoding,True
SE,2800605,Barra dos Coqueiros,Baixo,baixo,-10.907714,-37.029489,mapbox_geocoding,True
SE,2800605,Barra dos Coqueiros,Beira Rio,beira rio,-10.907704,-37.02962,mapbox_geocoding,True
SE,2800605,Barra dos Coqueiros,Brisas de Atalaia,brisas de atalaia,-10.915492,-37.022959,mapbox_geocoding,True
SE,2800605,Barra dos Coqueiros,Caminho da Praia,caminho da praia,-10.916445,-37.027884,mapbox_geocoding,True
