Uf,CityIbgeCode,City,Neighborhood,NormalizedName,Latitude,Longitude,Source,IsActive
TO,1700251,Abreulândia,Setor Central,setor central,,,dne,True
TO,1700301,Aguiarnópolis,Setor Central,setor central,,,dne,True
TO,1700350,Aliança do Tocantins,Centro,centro,,,dne,True
TO,1700400,Almas,Centro,centro,,,dne,True
TO,1700707,Alvorada,Jorge Figueiras,jorge figueiras,,,dne,True
TO,1700707,Alvorada,Setor Central,setor central,,,dne,True
TO,1701002,Ananás,Setor Central,setor central,,,dne,True
TO,1701051,Angico,Setor Central,setor central,,,dne,True
TO,1701101,Aparecida do Rio Negro,Setor Central,setor central,,,dne,True
TO,1701309,Aragominas,Setor Central,setor central,,,dne,True
TO,1701903,Araguacema,Setor Central,setor central,,,dne,True
TO,1702000,Araguaçu,Setor Central,setor central,,,dne,True
TO,1702109,Araguaína,Área Rural de Araguaína,area rural de araguaina,,,dne,True
TO,1702109,Araguaína,Bairro da Cimba,bairro da cimba,,,dne,True
TO,1702109,Araguaína,Barra da Grota,barra da grota,,,dne,True
TO,1702109,Araguaína,Barra do Grota,barra do grota,,,dne,True
TO,1702109,Araguaína,Boa Sorte,boa sorte,,,dne,True
TO,1702109,Araguaína,Brasilândia,brasilandia,,,dne,True
TO,1702109,Araguaína,Cocalândia,cocalandia,,,dne,True
TO,1702109,Araguaína,Cocalinho,cocalinho,,,dne,True
TO,1702109,Araguaína,Conjunto Residencial Patrocínio,conjunto residencial patrocinio,,,dne,True
TO,1702109,Araguaína,Conjunto Urbanístico,conjunto urbanistico,,,dne,True
TO,1702109,Araguaína,Correinha,correinha,,,dne,True
TO,1702109,Araguaína,Daiara,daiara,,,dne,True
TO,1702109,Araguaína,Dom Orione,dom orione,,,dne,True
TO,1702109,Araguaína,Eldorado,eldorado,,,dne,True
TO,1702109,Araguaína,Escondido,escondido,,,dne,True
TO,1702109,Araguaína,Ilha Barreira Branca,ilha barreira branca,,,dne,True
TO,1702109,Araguaína,Jardim Beira Lago,jardim beira lago,,,dne,True
TO,1702109,Araguaína,Jardim Bounganville,jardim bounganville,,,dne,True
TO,1702109,Araguaína,Jardim Califórnia,jardim california,,,dne,True
TO,1702109,Araguaína,Jardim das Palmeiras,jardim das palmeiras,,,dne,True
TO,1702109,Araguaína,Jardim dos Ipês I,jardim dos ipes i,,,dne,True
TO,1702109,Araguaína,Jardim dos Ipês II,jardim dos ipes ii,,,dne,True
TO,1702109,Araguaína,Jardim dos Ipês III,jardim dos ipes iii,,,dne,True
TO,1702109,Araguaína,Jardim Esplanada,jardim esplanada,,,dne,True
TO,1702109,Araguaína,Jardim Filadélfia,jardim filadelfia,,,dne,True
TO,1702109,Araguaína,Jardim Flores,jardim flores,,,dne,True
TO,1702109,Araguaína,Jardim Garavelo Sul,jardim garavelo sul,,,dne,True
TO,1702109,Araguaína,Jardim Goiás,jardim goias,,,dne,True
TO,1702109,Araguaína,Jardim Itália,jardim italia,,,dne,True
TO,1702109,Araguaína,Jardim Mansões Palmeiras,jardim mansoes palmeiras,,,dne,True
TO,1702109,Araguaína,Jardim Paulista,jardim paulista,,,dne,True
TO,1702109,Araguaína,Jardim Pedra Alta,jardim pedra alta,,,dne,True
TO,1702109,Araguaína,Jardim Santa Helena,jardim santa helena,,,dne,True
TO,1702109,Araguaína,JK,jk,,,dne,True
TO,1702109,Araguaína,Jussara,jussara,,,dne,True
TO,1702109,Araguaína,Loteamento Alaska,loteamento alaska,,,dne,True
TO,1702109,Araguaína,Loteamento Araguaína Sul,loteamento araguaina sul,,,dne,True
TO,1702109,Araguaína,Loteamento Barros,loteamento barros,,,dne,True
TO,1702109,Araguaína,Loteamento Boa Vista,loteamento boa vista,,,dne,True
TO,1702109,Araguaína,Loteamento Brejão 3ª Etapa,loteamento brejao 3a etapa,,,dne,True
TO,1702109,Araguaína,Loteamento Castelo Branco,loteamento castelo branco,,,dne,True
TO,1702109,Araguaína,Loteamento Céu Azul,loteamento ceu azul,,,dne,True
TO,1702109,Araguaína,Loteamento Cidade Jardim,loteamento cidade jardim,,,dne,True
TO,1702109,Araguaína,Loteamento Cidade Nova,loteamento cidade nova,,,dne,True
TO,1702109,Araguaína,Loteamento Costa Esmeralda,loteamento costa esmeralda,,,dne,True
TO,1702109,Araguaína,Loteamento Couto Magalhães,loteamento couto magalhaes,,,dne,True
TO,1702109,Araguaína,Loteamento Cruzeiro,loteamento cruzeiro,,,dne,True
TO,1702109,Araguaína,Loteamento de Fátima,loteamento de fatima,,,dne,True
TO,1702109,Araguaína,Loteamento Dona Nélcia,loteamento dona nelcia,,,dne,True
TO,1702109,Araguaína,Loteamento e Residencial Cazarotto,loteamento e residencial cazarotto,,,dne,True
TO,1702109,Araguaína,Loteamento Flamboyant,loteamento flamboyant,,,dne,True
TO,1702109,Araguaína,Loteamento Jardim América,loteamento jardim america,,,dne,True
TO,1702109,Araguaína,Loteamento Jardim Boa Sorte,loteamento jardim boa sorte,,,dne,True
TO,1702109,Araguaína,Loteamento Jardim do Lago,loteamento jardim do lago,,,dne,True
TO,1702109,Araguaína,Loteamento Jardins Mônaco,loteamento jardins monaco,,,dne,True
TO,1702109,Araguaína,Loteamento Jardins Siena,loteamento jardins siena,,,dne,True
TO,1702109,Araguaína,Loteamento José Ferreira,loteamento jose ferreira,,,dne,True
TO,1702109,Araguaína,Loteamento Lago Sul,loteamento lago sul,,,dne,True
