Uf,CityIbgeCode,City,Neighborhood,NormalizedName,Latitude,Longitude,Source,IsActive
TO,1700251,Abreulândia,Setor Central,setor central,-9.624749,-49.157626,mapbox_geocoding,True
TO,1700301,Aguiarnópolis,Setor Central,setor central,-6.560927,-47.477128,mapbox_geocoding,True
TO,1700350,Aliança do Tocantins,Centro,centro,-11.306063,-48.938569,mapbox_geocoding,True
TO,1700400,Almas,Centro,centro,-11.606457,-47.057381,mapbox_geocoding,True
TO,1700707,Alvorada,Jorge Figueiras,jorge figueiras,-12.4788946,-49.1253648,cep_aberto,True
TO,1700707,Alvorada,Setor Central,setor central,-12.482312,-49.122404,mapbox_geocoding,True
TO,1701002,Ananás,Setor Central,setor central,-6.366766,-48.074092,mapbox_geocoding,True
TO,1701051,Angico,Setor Central,setor central,-6.388848,-47.866596,mapbox_geocoding,True
TO,1701101,Aparecida do Rio Negro,Setor Central,setor central,-9.950577,-47.973988,mapbox_geocoding,True
TO,1701309,Aragominas,Setor Central,setor central,-12.224082,-47.291696,mapbox_geocoding,True
TO,1701903,Araguacema,Setor Central,setor central,-8.808275,-49.556314,mapbox_geocoding,True
TO,1702000,Araguaçu,Setor Central,setor central,-12.930868,-49.829899,mapbox_geocoding,True
TO,1702109,Araguaína,Área Rural de Araguaína,area rural de araguaina,-7.1927733,-48.204827,cep_aberto,True
TO,1702109,Araguaína,Bairro da Cimba,bairro da cimba,-7.190562,-48.178986,mapbox_geocoding,True
TO,1702109,Araguaína,Barra da Grota,barra da grota,-7.2031573,-48.3145088,cep_aberto,True
TO,1702109,Araguaína,Barra do Grota,barra do grota,,,dne,True
TO,1702109,Araguaína,Boa Sorte,boa sorte,-9.597352,-46.676612,mapbox_geocoding,True
TO,1702109,Araguaína,Brasilândia,brasilandia,,,dne,True
TO,1702109,Araguaína,Cocalândia,cocalandia,,,dne,True
TO,1702109,Araguaína,Cocalinho,cocalinho,,,dne,True
TO,1702109,Araguaína,Conjunto Residencial Patrocínio,conjunto residencial patrocinio,-7.1943549,-48.203086,cep_aberto,True
TO,1702109,Araguaína,Conjunto Urbanístico,conjunto urbanistico,-7.184479,-48.221263,mapbox_geocoding,True
TO,1702109,Araguaína,Correinha,correinha,,,dne,True
TO,1702109,Araguaína,Daiara,daiara,-7.2766271,-48.2653656,cep_aberto,True
TO,1702109,Araguaína,Dom Orione,dom orione,-7.215039,-48.182083,mapbox_geocoding,True
TO,1702109,Araguaína,Eldorado,eldorado,-7.2025246,-48.2092177,cep_aberto,True
TO,1702109,Araguaína,Escondido,escondido,,,dne,True
TO,1702109,Araguaína,Ilha Barreira Branca,ilha barreira branca,,,dne,True
TO,1702109,Araguaína,Jardim Beira Lago,jardim beira lago,-19.979208,-44.262997,mapbox_geocoding,True
TO,1702109,Araguaína,Jardim Bounganville,jardim bounganville,-7.1927733,-48.204827,cep_aberto,True
TO,1702109,Araguaína,Jardim Califórnia,jardim california,-10.336575,-48.315802,mapbox_geocoding,True
TO,1702109,Araguaína,Jardim das Palmeiras,jardim das palmeiras,-7.187069,-48.2068006,cep_aberto,True
TO,1702109,Araguaína,Jardim dos Ipês I,jardim dos ipes i,-8.851293,-48.498917,mapbox_geocoding,True
TO,1702109,Araguaína,Jardim dos Ipês II,jardim dos ipes ii,-7.1927733,-48.204827,cep_aberto,True
TO,1702109,Araguaína,Jardim dos Ipês III,jardim dos ipes iii,-7.213151,-48.213839,mapbox_geocoding,True
TO,1702109,Araguaína,Jardim Esplanada,jardim esplanada,-7.1927733,-48.204827,cep_aberto,True
TO,1702109,Araguaína,Jardim Filadélfia,jardim filadelfia,-7.207252,-48.218279,mapbox_geocoding,True
TO,1702109,Araguaína,Jardim Flores,jardim flores,-7.2030612,-48.2209495,cep_aberto,True
TO,1702109,Araguaína,Jardim Garavelo Sul,jardim garavelo sul,-7.190604,-48.208733,mapbox_geocoding,True
TO,1702109,Araguaína,Jardim Goiás,jardim goias,-7.1927733,-48.204827,cep_aberto,True
TO,1702109,Araguaína,Jardim Itália,jardim italia,-7.193026,-48.228835,mapbox_geocoding,True
TO,1702109,Araguaína,Jardim Mansões Palmeiras,jardim mansoes palmeiras,-7.187069,-48.2068006,cep_aberto,True
TO,1702109,Araguaína,Jardim Paulista,jardim paulista,-7.218435,-48.201896,mapbox_geocoding,True
